degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,score_recomputed,fuzzy_state_rebuilt,labels_preserved,backtest_version,group_type,group_value,source_id,split,rollout_horizon_months,target,rows,rmse,mae,bias,simulation_90_coverage,simulation_90_mean_width,persistence_rmse,persistence_mae,rmse_relative_improvement,mae_relative_improvement
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,all,4608,0.12813326580290335,0.05893357438209507,0.004279902098239094,0.057291666666666664,0.0,0.18376335919852718,0.07514564959481948,0.30272679841210526,0.21574203297381653
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,delta_yF,512,0.08922992872738361,0.04380939795560287,0.016810275286851282,0.03515625,0.0,0.15378601213441614,0.06635917136587002,0.41977864248542646,0.3398139691338129
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,delta_yN,512,0.08245184809408315,0.03637410733249127,0.01350436260488544,0.2890625,0.0,0.1609216737274963,0.06777887296608054,0.48762745139162195,0.4633415142400724
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,delta_yT,512,0.23213719677549063,0.1467228963739045,0.026895811943661186,0.130859375,0.0,0.39700186021468314,0.23804409539838484,0.4152742844833022,0.38363143967779323
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,irc1,512,0.1453004282411067,0.09618143652204675,-0.015017625053065104,0.0,0.0,0.1685905184077403,0.09913708375193897,0.13814590753144226,0.02981373990471466
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,sigma_F,512,0.04070247579377429,0.015059711120250145,0.0006277918520564063,0.0,0.0,0.04070247579377429,0.015059711120250145,0.0,0.0
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,sigma_N,512,0.1052441145403313,0.029993919070130763,1.9627256925143846e-05,0.0,0.0,0.1052441145403313,0.029993919070130763,0.0,0.0
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,sigma_T,512,0.08246631007713943,0.044113670482678585,-0.004002414210176603,0.0,0.0,0.08324034596858722,0.04350608348479844,0.009298806755799457,-0.013965564105361155
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,yF,512,0.09368503408957392,0.039929361800204476,0.0017170619409190599,0.009765625,0.0,0.0949359196576417,0.03945982713330576,0.013176104182470968,-0.011899055343362374
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,yN,512,0.08226033046725247,0.036803869012913146,0.0067250335909662794,0.0,0.0,0.08846892850031014,0.03674409937447107,0.07017828901404534,-0.0016266458957925826
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,overall,all,all,test,1,yT,512,0.20985205175657556,0.13759523629067985,-0.023778431381936346,0.05078125,0.0,0.24548482541418226,0.13936506644008376,0.14515265290832965,0.012699238012883212
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,aquamatch_chla,aquamatch_chla,test,1,all,2610,0.10799088203169203,0.03553863525312835,0.0034739391452510596,0.06628352490421456,0.0,0.1585310423793647,0.044033326197202946,0.3188029271057846,0.19291504134916315
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,aquamatch_chla,aquamatch_chla,test,1,delta_yF,290,0.010045765729352008,0.009538204711059045,0.009538204711059045,0.0,0.0,0.0,0.0,,
pipe_grud_raw_predictor_recomputed_degradation_v0,control_observed,control,core,evaluated,,True,False,True,pipe_grud_rollout_backtest_v0,source,aquamatch_chla,aquamatch_chla,test,1,delta_yN,290,0.0004159282235150855,0.000257827778314722,0.000257827778314722,0.41724137931034483,0.0,0.0,0.0,,
