degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,split,rollout_horizon_months,source_id,target_event,alert_policy,score_column,threshold,score_recomputed,rows,control_rows,rows_retained_rate,positive_rows,positive_rate,predicted_positive_rows,alert_rate,tn,fp,fn,tp,precision,recall,specificity,f1,f2,mcc,balanced_accuracy,pr_auc,roc_auc,brier,delta_positive_rate_vs_control,delta_alert_rate_vs_control,delta_precision_vs_control,delta_recall_vs_control,delta_specificity_vs_control,delta_f1_vs_control,delta_f2_vs_control,delta_mcc_vs_control,delta_balanced_accuracy_vs_control,delta_pr_auc_vs_control,delta_roc_auc_vs_control,delta_brier_vs_control
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,test,1,all,bloom_h,closest_pr,rollout_probability_bloom_calibrated,0.2926829268292683,True,461,461,1.0,60,0.1301518438177874,29,0.06290672451193059,382,19,50,10,0.3448275862068966,0.16666666666666666,0.9526184538653366,0.2247191011235955,0.18587360594795535,0.16530774928516453,0.5596425602660017,0.23791190274659005,0.6364921030756443,0.11338105944867483,0.0,-0.08026030368763558,-0.2915360501567398,-0.5333333333333333,0.012468827930174564,-0.44194756554307113,-0.5004009038559663,-0.4496691351729837,-0.2604322527015793,-0.45110898584163817,-0.2958437240232752,0.05025962510809119
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,test,1,all,bloom_h,fbeta,rollout_probability_bloom_calibrated,0.1538461538461538,True,461,461,1.0,60,0.1301518438177874,73,0.15835140997830802,349,52,39,21,0.2876712328767123,0.35,0.8703241895261845,0.3157894736842105,0.3354632587859425,0.2030638892346018,0.6101620947630922,0.23791190274659005,0.6364921030756443,0.11338105944867483,0.0,-0.06724511930585683,-0.2123287671232877,-0.5166666666666667,0.0,-0.31835686777920413,-0.4203506947024297,-0.3902153256694786,-0.2583333333333334,-0.45110898584163817,-0.2958437240232752,0.05025962510809119
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,test,1,all,bloom_h,fixed,probability_bloom_mean,0.3,True,461,461,1.0,60,0.1301518438177874,14,0.03036876355748373,392,9,55,5,0.35714285714285715,0.08333333333333333,0.9775561097256857,0.13513513513513514,0.0984251968503937,0.11939112205604341,0.5304447215295095,0.24435987124930572,0.6669368246051537,0.11120501172781216,0.0,-0.05206073752711497,-0.3796992481203007,-0.38333333333333336,0.0024937655860348684,-0.43629343629343625,-0.40517192545176456,-0.421041743707143,-0.19041978387364933,-0.47156651071155253,-0.26735245220282633,0.04109442718336059
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,test,1,all,irc_alert,closest_pr,alert_probability_irc,0.359375,True,512,512,1.0,173,0.337890625,164,0.3203125,261,78,87,86,0.524390243902439,0.49710982658959535,0.7699115044247787,0.5103857566765578,0.5023364485981308,0.27068071254558945,0.633510665507187,0.43060141821161707,0.633510665507187,0.322265625,0.0,0.033203125,-0.3191471710635474,-0.21965317919075145,-0.1622418879056048,-0.2646142433234422,-0.23663852160449128,-0.4077516399122151,-0.19094753354817817,-0.26971811982758703,-0.19094753354817806,0.181640625
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,test,1,all,irc_alert,fbeta,alert_probability_irc,0.1171875,True,512,512,1.0,173,0.337890625,164,0.3203125,261,78,87,86,0.524390243902439,0.49710982658959535,0.7699115044247787,0.5103857566765578,0.5023364485981308,0.27068071254558945,0.633510665507187,0.43060141821161707,0.633510665507187,0.322265625,0.0,0.033203125,-0.3191471710635474,-0.21965317919075145,-0.1622418879056048,-0.2646142433234422,-0.23663852160449128,-0.4077516399122151,-0.19094753354817817,-0.26971811982758703,-0.19094753354817806,0.181640625
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,test,1,all,irc_alert,fixed,alert_probability_irc,0.5,True,512,512,1.0,173,0.337890625,164,0.3203125,261,78,87,86,0.524390243902439,0.49710982658959535,0.7699115044247787,0.5103857566765578,0.5023364485981308,0.27068071254558945,0.633510665507187,0.43060141821161707,0.633510665507187,0.322265625,0.0,0.033203125,-0.3191471710635474,-0.21965317919075145,-0.1622418879056048,-0.2646142433234422,-0.23663852160449128,-0.4077516399122151,-0.19094753354817817,-0.26971811982758703,-0.19094753354817806,0.181640625
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,test,1,aquamatch_chla,bloom_h,closest_pr,rollout_probability_bloom_calibrated,0.2926829268292683,True,290,290,1.0,25,0.08620689655172414,0,0.0,265,0,25,0,0.0,0.0,1.0,0.0,0.0,,0.5,0.08091745036572623,0.45562264150943405,0.0793593170197215,0.0,-0.08275862068965517,-0.5833333333333334,-0.56,0.037735849056603765,-0.5714285714285714,-0.5645161290322581,,-0.26113207547169814,-0.47463540065974147,-0.4628679245283018,0.025247742199746057
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,test,1,aquamatch_chla,bloom_h,fbeta,rollout_probability_bloom_calibrated,0.1538461538461538,True,290,290,1.0,25,0.08620689655172414,0,0.0,265,0,25,0,0.0,0.0,1.0,0.0,0.0,,0.5,0.08091745036572623,0.45562264150943405,0.0793593170197215,0.0,-0.15517241379310345,-0.4222222222222222,-0.76,0.09811320754716979,-0.5428571428571428,-0.6551724137931035,,-0.3309433962264151,-0.47463540065974147,-0.4628679245283018,0.025247742199746057
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,test,1,aquamatch_chla,bloom_h,fixed,probability_bloom_mean,0.3,True,290,290,1.0,25,0.08620689655172414,0,0.0,265,0,25,0,0.0,0.0,1.0,0.0,0.0,,0.5,0.0903842653453332,0.5253584905660378,0.07892714468967413,0.0,-0.05517241379310345,-0.625,-0.4,0.02264150943396226,-0.4878048780487805,-0.4310344827586207,,-0.18867924528301883,-0.552341058556353,-0.3975849056603773,0.026052510127142388
pipe_grud_raw_predictor_recomputed_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,test,1,aquamatch_chla,irc_alert,closest_pr,alert_probability_irc,0.359375,True,290,290,1.0,68,0.23448275862068965,44,0.15172413793103448,187,35,59,9,0.20454545454545456,0.1323529411764706,0.8423423423423423,0.16071428571428573,0.14240506329113922,-0.02988398622424577,0.4873476417594064,0.23052046837543794,0.4873476417594065,0.32413793103448274,0.0,-0.03793103448275861,-0.5772727272727273,-0.5,-0.10360360360360366,-0.538472706155633,-0.5150872914489218,-0.6548667270043519,-0.3018018018018019,-0.3500714549142542,-0.30180180180180183,0.196551724137931
