mifal_degradation_version,scenario_id,scenario_family,scenario_tier,seed,surface,split,horizon_months,mifal_variable,rows,present_rows,coverage_rate
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,1,Tw,30,14,0.4666666666666667
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,1,TP,30,29,0.9666666666666667
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,1,TN,30,24,0.8
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,1,Secchi,30,28,0.9333333333333333
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,1,Turb,30,13,0.43333333333333335
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,1,DOb,30,14,0.4666666666666667
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,1,Chl,30,29,0.9666666666666667
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,1,Chl_prev,30,30,1.0
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,2,Tw,30,12,0.4
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,2,TP,30,30,1.0
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,2,TN,30,20,0.6666666666666666
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,2,Secchi,30,27,0.9
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,2,Turb,30,12,0.4
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,2,DOb,30,12,0.4
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,2,Chl,30,27,0.9
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,2,Chl_prev,30,28,0.9333333333333333
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,3,Tw,30,12,0.4
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,3,TP,30,29,0.9666666666666667
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,3,TN,30,26,0.8666666666666667
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,3,Secchi,30,28,0.9333333333333333
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,3,Turb,30,12,0.4
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,3,DOb,30,11,0.36666666666666664
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,3,Chl,30,28,0.9333333333333333
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,test,3,Chl_prev,30,27,0.9
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,validation,1,Tw,30,13,0.43333333333333335
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,validation,1,TP,30,24,0.8
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,validation,1,TN,30,19,0.6333333333333333
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,validation,1,Secchi,30,26,0.8666666666666667
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,validation,1,Turb,30,12,0.4
mifal_controlled_degradation_v0,control_observed,control,core,,observable_current_chla,validation,1,DOb,30,13,0.43333333333333335
