mifal_degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,surface,split,horizon_months,source_id,target_event,score_column,threshold,score_recomputed,rows,control_rows,rows_retained_rate,positive_rows,positive_rate,predicted_positive_rows,alert_rate,mean_probability,tn,fp,fn,tp,precision,recall,specificity,macro_f1,fbeta,mcc,pr_auc,roc_auc,brier,rmse_risk,mae_risk,calibration_bias,absolute_calibration_bias,interval_coverage_risk,interval_mean_width,winkler_score_risk,mean_uncertainty,mean_data_reliability,mean_confidence,mean_observation_reliability,delta_positive_rate_vs_control,delta_mean_probability_vs_control,delta_alert_rate_vs_control,delta_precision_vs_control,delta_recall_vs_control,delta_specificity_vs_control,delta_macro_f1_vs_control,delta_fbeta_vs_control,delta_mcc_vs_control,delta_pr_auc_vs_control,delta_roc_auc_vs_control,delta_brier_vs_control,delta_rmse_risk_vs_control,delta_mae_risk_vs_control,delta_calibration_bias_vs_control,delta_absolute_calibration_bias_vs_control,delta_interval_coverage_risk_vs_control,delta_interval_mean_width_vs_control,delta_winkler_score_risk_vs_control,delta_mean_uncertainty_vs_control,delta_mean_data_reliability_vs_control,delta_mean_confidence_vs_control,delta_mean_observation_reliability_vs_control
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_current_chla,test,1,all,bloom_h,mifal_probability_bloom_calibrated,0.108695652173913,True,30,30,1.0,2,0.06666666666666667,6,0.2,0.1299135230810637,24,4,0,2,0.3333333333333333,1.0,0.8571428571428571,0.7115384615384616,0.7142857142857143,0.5345224838248488,0.75,0.9821428571428571,0.028541055674667866,0.34084359849516455,0.23359608541688723,0.06324685641439702,0.06324685641439702,0.7333333333333333,0.661365390685418,1.6586100283818077,0.661365390685418,0.04243404962980837,0.17652507559926398,0.026070787301661978,0.0,-0.00047767944880708346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.738316738318136e-05,-8.407955430406178e-05,-0.0004776794488071112,-0.00047767944880708346,-0.00047767944880708346,0.0,-0.003107695929762011,0.029756337859868198,-0.003107695929762011,-0.015229513956775624,-0.00092419323072368,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_current_chla,test,1,wqp,bloom_h,mifal_probability_bloom_calibrated,0.108695652173913,True,30,30,1.0,2,0.06666666666666667,6,0.2,0.1299135230810637,24,4,0,2,0.3333333333333333,1.0,0.8571428571428571,0.7115384615384616,0.7142857142857143,0.5345224838248488,0.75,0.9821428571428571,0.028541055674667866,0.34084359849516455,0.23359608541688723,0.06324685641439702,0.06324685641439702,0.7333333333333333,0.661365390685418,1.6586100283818077,0.661365390685418,0.04243404962980837,0.17652507559926398,0.026070787301661978,0.0,-0.00047767944880708346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.738316738318136e-05,-8.407955430406178e-05,-0.0004776794488071112,-0.00047767944880708346,-0.00047767944880708346,0.0,-0.003107695929762011,0.029756337859868198,-0.003107695929762011,-0.015229513956775624,-0.00092419323072368,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_current_chla,test,2,all,bloom_h,mifal_probability_bloom_calibrated,0.1,True,30,30,1.0,8,0.26666666666666666,24,0.8,0.19296051314406587,5,17,1,7,0.2916666666666667,0.875,0.22727272727272727,0.3973214285714286,0.625,0.11306675421666136,0.5614583333333333,0.7613636363636364,0.15849245449129143,0.46068107986540136,0.35536101283556143,-0.07370615352260079,0.07370615352260079,0.6,0.684024068133706,2.600676670597838,0.684024068133706,0.04694477457916013,0.16538979624919037,0.024884474302764935,0.0,-0.0007742633144093292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005681818181818121,-0.00011910970436102009,-2.9249747621695743e-05,0.0,-0.0007742633144093292,0.0007742633144093292,0.0,-0.0012730100980269388,0.010250059460139571,-0.0012730100980269388,-0.01568395329242546,-0.0018017276472877264,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_current_chla,test,2,wqp,bloom_h,mifal_probability_bloom_calibrated,0.1,True,30,30,1.0,8,0.26666666666666666,24,0.8,0.19296051314406587,5,17,1,7,0.2916666666666667,0.875,0.22727272727272727,0.3973214285714286,0.625,0.11306675421666136,0.5614583333333333,0.7613636363636364,0.15849245449129143,0.46068107986540136,0.35536101283556143,-0.07370615352260079,0.07370615352260079,0.6,0.684024068133706,2.600676670597838,0.684024068133706,0.04694477457916013,0.16538979624919037,0.024884474302764935,0.0,-0.0007742633144093292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005681818181818121,-0.00011910970436102009,-2.9249747621695743e-05,0.0,-0.0007742633144093292,0.0007742633144093292,0.0,-0.0012730100980269388,0.010250059460139571,-0.0012730100980269388,-0.01568395329242546,-0.0018017276472877264,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_current_chla,test,3,all,bloom_h,mifal_probability_bloom_calibrated,0.1109989909182643,True,30,30,1.0,5,0.16666666666666666,17,0.5666666666666667,0.14574514189763435,12,13,1,4,0.23529411764705882,0.8,0.48,0.49760765550239233,0.5405405405405406,0.21057989315866538,0.6934782608695652,0.852,0.09703056090088444,0.3966771963653996,0.29250994286402976,-0.020921524769032307,0.020921524769032307,0.7333333333333333,0.6760334632974373,1.881058870341669,0.6760334632974373,0.04163625187647298,0.16872212285468494,0.024354294385403916,0.0,-0.003169028797523038,-0.033333333333333326,-0.04248366013071897,-0.19999999999999996,0.0,-0.044107973169758063,-0.11735419630156463,-0.15456847851144534,-0.0009661835748792091,-0.04800000000000004,0.0007742566867610795,0.004305704168292512,0.001575125980198877,-0.003169028797523038,0.003169028797523038,0.0,-0.0026572823035637683,0.0009468397929446315,-0.0026572823035637683,-0.016418637895427586,-0.001257067050647126,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_current_chla,test,3,wqp,bloom_h,mifal_probability_bloom_calibrated,0.1109989909182643,True,30,30,1.0,5,0.16666666666666666,17,0.5666666666666667,0.14574514189763435,12,13,1,4,0.23529411764705882,0.8,0.48,0.49760765550239233,0.5405405405405406,0.21057989315866538,0.6934782608695652,0.852,0.09703056090088444,0.3966771963653996,0.29250994286402976,-0.020921524769032307,0.020921524769032307,0.7333333333333333,0.6760334632974373,1.881058870341669,0.6760334632974373,0.04163625187647298,0.16872212285468494,0.024354294385403916,0.0,-0.003169028797523038,-0.033333333333333326,-0.04248366013071897,-0.19999999999999996,0.0,-0.044107973169758063,-0.11735419630156463,-0.15456847851144534,-0.0009661835748792091,-0.04800000000000004,0.0007742566867610795,0.004305704168292512,0.001575125980198877,-0.003169028797523038,0.003169028797523038,0.0,-0.0026572823035637683,0.0009468397929446315,-0.0026572823035637683,-0.016418637895427586,-0.001257067050647126,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_current_chla,validation,1,all,bloom_h,mifal_probability_bloom_calibrated,0.108695652173913,True,30,30,1.0,4,0.13333333333333333,11,0.36666666666666664,0.16488559638241154,18,8,1,3,0.2727272727272727,0.75,0.6923076923076923,0.6000000000000001,0.5555555555555556,0.31200964472696996,0.45151515151515154,0.673076923076923,0.10593638017170474,0.32602651546245115,0.2210620554852656,0.03155226304907821,0.03155226304907821,0.8333333333333334,0.6736587472359786,1.609835427550371,0.6736587472359786,0.036585146880072465,0.16887900254930904,0.020148261679252336,0.0,-0.00047710864678660037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037037037037036535,-0.019230769230769273,0.00026079109768498143,0.0004912339295023438,0.00015903621559551495,-0.00047710864678660037,-0.00047710864678660037,0.0,-0.0028035336440972447,0.014946610307278618,-0.0028035336440972447,-0.01604517960252074,-0.0011625255949132829,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_current_chla,validation,1,wqp,bloom_h,mifal_probability_bloom_calibrated,0.108695652173913,True,30,30,1.0,4,0.13333333333333333,11,0.36666666666666664,0.16488559638241154,18,8,1,3,0.2727272727272727,0.75,0.6923076923076923,0.6000000000000001,0.5555555555555556,0.31200964472696996,0.45151515151515154,0.673076923076923,0.10593638017170474,0.32602651546245115,0.2210620554852656,0.03155226304907821,0.03155226304907821,0.8333333333333334,0.6736587472359786,1.609835427550371,0.6736587472359786,0.036585146880072465,0.16887900254930904,0.020148261679252336,0.0,-0.00047710864678660037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037037037037036535,-0.019230769230769273,0.00026079109768498143,0.0004912339295023438,0.00015903621559551495,-0.00047710864678660037,-0.00047710864678660037,0.0,-0.0028035336440972447,0.014946610307278618,-0.0028035336440972447,-0.01604517960252074,-0.0011625255949132829,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_current_chla,validation,2,all,bloom_h,mifal_probability_bloom_calibrated,0.1,True,30,30,1.0,4,0.13333333333333333,16,0.5333333333333333,0.1277711167179761,12,14,2,2,0.125,0.5,0.46153846153846156,0.4,0.3125,-0.026207120918047958,0.3471920289855073,0.5288461538461539,0.09961483022755878,0.45179373644588994,0.3192187250457387,-0.005562216615357218,0.005562216615357218,0.7666666666666667,0.6701279840255422,2.04652758512606,0.6701279840255422,0.035978242116588954,0.170644468347096,0.017312580514542614,0.0,-0.0003871316572046368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013586956521739468,0.009615384615384692,-5.955485218051004e-05,-6.590453117139017e-05,-0.0003871316572046646,-0.0003871316572046368,0.0003871316572046368,0.0,-0.0023410411510454976,-0.002340938902981371,-0.0023410411510454976,-0.01635150494103079,-0.0014501542482191765,0.0
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_current_chla,validation,2,wqp,bloom_h,mifal_probability_bloom_calibrated,0.1,True,30,30,1.0,4,0.13333333333333333,16,0.5333333333333333,0.1277711167179761,12,14,2,2,0.125,0.5,0.46153846153846156,0.4,0.3125,-0.026207120918047958,0.3471920289855073,0.5288461538461539,0.09961483022755878,0.45179373644588994,0.3192187250457387,-0.005562216615357218,0.005562216615357218,0.7666666666666667,0.6701279840255422,2.04652758512606,0.6701279840255422,0.035978242116588954,0.170644468347096,0.017312580514542614,0.0,-0.0003871316572046368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013586956521739468,0.009615384615384692,-5.955485218051004e-05,-6.590453117139017e-05,-0.0003871316572046646,-0.0003871316572046368,0.0003871316572046368,0.0,-0.0023410411510454976,-0.002340938902981371,-0.0023410411510454976,-0.01635150494103079,-0.0014501542482191765,0.0
