mifal_degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,surface,split,horizon_months,source_id,target_event,score_column,threshold,score_recomputed,rows,control_rows,rows_retained_rate,positive_rows,positive_rate,predicted_positive_rows,alert_rate,mean_probability,tn,fp,fn,tp,precision,recall,specificity,macro_f1,fbeta,mcc,pr_auc,roc_auc,brier,rmse_risk,mae_risk,calibration_bias,absolute_calibration_bias,interval_coverage_risk,interval_mean_width,winkler_score_risk,mean_uncertainty,mean_data_reliability,mean_confidence,mean_observation_reliability,delta_positive_rate_vs_control,delta_mean_probability_vs_control,delta_alert_rate_vs_control,delta_precision_vs_control,delta_recall_vs_control,delta_specificity_vs_control,delta_macro_f1_vs_control,delta_fbeta_vs_control,delta_mcc_vs_control,delta_pr_auc_vs_control,delta_roc_auc_vs_control,delta_brier_vs_control,delta_rmse_risk_vs_control,delta_mae_risk_vs_control,delta_calibration_bias_vs_control,delta_absolute_calibration_bias_vs_control,delta_interval_coverage_risk_vs_control,delta_interval_mean_width_vs_control,delta_winkler_score_risk_vs_control,delta_mean_uncertainty_vs_control,delta_mean_data_reliability_vs_control,delta_mean_confidence_vs_control,delta_mean_observation_reliability_vs_control
mifal_controlled_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,observable_no_current_chla,test,1,all,bloom_h,mifal_probability_bloom_calibrated,0.1496598639455782,True,4673,4673,1.0,852,0.18232398887224482,4142,0.8863684998930024,0.2506286673794806,418,3403,113,739,0.1784162240463544,0.8673708920187794,0.10939544621826747,0.24402536720535228,0.48940397350993375,-0.02826660636111681,0.17893450740941264,0.48833110325566764,0.15995458152183747,0.4375790559858114,0.3643993914960655,0.06830467850723576,0.06830467850723576,0.6912047934945431,0.6785810505849622,2.2721375376323905,0.6785810505849622,0.05309667586837084,0.1692286682176205,0.0,0.0,0.1308325532377277,0.5598116841429488,-0.20624956887631926,0.17840375586854462,-0.6448573671813661,-0.4164257736099475,-0.1054480735107392,-0.3931902293591386,-0.1818368113788007,-0.255455550190263,0.025532203447424046,-0.0144982008370112,0.03905408744088068,0.1308325532377277,0.005776803776743819,0.004065910549967855,0.02043235492265294,-0.10603316083842884,0.02043235492265294,-0.00014603158733906413,-0.01079060450815783,0.0
mifal_controlled_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,observable_no_current_chla,test,1,wqp,bloom_h,mifal_probability_bloom_calibrated,0.1496598639455782,True,4673,4673,1.0,852,0.18232398887224482,4142,0.8863684998930024,0.2506286673794806,418,3403,113,739,0.1784162240463544,0.8673708920187794,0.10939544621826747,0.24402536720535228,0.48940397350993375,-0.02826660636111681,0.17893450740941264,0.48833110325566764,0.15995458152183747,0.4375790559858114,0.3643993914960655,0.06830467850723576,0.06830467850723576,0.6912047934945431,0.6785810505849622,2.2721375376323905,0.6785810505849622,0.05309667586837084,0.1692286682176205,0.0,0.0,0.1308325532377277,0.5598116841429488,-0.20624956887631926,0.17840375586854462,-0.6448573671813661,-0.4164257736099475,-0.1054480735107392,-0.3931902293591386,-0.1818368113788007,-0.255455550190263,0.025532203447424046,-0.0144982008370112,0.03905408744088068,0.1308325532377277,0.005776803776743819,0.004065910549967855,0.02043235492265294,-0.10603316083842884,0.02043235492265294,-0.00014603158733906413,-0.01079060450815783,0.0
mifal_controlled_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,observable_no_current_chla,test,2,all,bloom_h,mifal_probability_bloom_calibrated,0.1111111111111111,True,4710,4710,1.0,863,0.18322717622080678,4155,0.8821656050955414,0.22954220150285748,430,3417,125,738,0.1776173285198556,0.8551564310544612,0.11177540940992982,0.24475341745635748,0.48507953200999077,-0.03967751911861372,0.17833252134754968,0.48248352917398724,0.15702160683185812,0.44352105415480353,0.3640081384997175,0.0463150252820507,0.0463150252820507,0.6870488322717622,0.6825088282468043,2.262013667828837,0.6825088282468043,0.05314078606434283,0.16716013371694652,0.0,0.0,0.10396755150753362,0.5197452229299364,-0.18032057423351291,0.1471610660486674,-0.6033272680010398,-0.3945956126211795,-0.10708949299485504,-0.38017435483010176,-0.15239166896855577,-0.20947384622891657,0.01861856696821307,-0.013549434116538417,0.029924263091756054,0.10396755150753362,-0.011337500943432222,0.004670912951167727,0.020403784104659817,-0.10881739778504373,0.020403784104659817,-0.00014400370361539877,-0.010775970672562002,0.0
mifal_controlled_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,observable_no_current_chla,test,2,wqp,bloom_h,mifal_probability_bloom_calibrated,0.1111111111111111,True,4710,4710,1.0,863,0.18322717622080678,4155,0.8821656050955414,0.22954220150285748,430,3417,125,738,0.1776173285198556,0.8551564310544612,0.11177540940992982,0.24475341745635748,0.48507953200999077,-0.03967751911861372,0.17833252134754968,0.48248352917398724,0.15702160683185812,0.44352105415480353,0.3640081384997175,0.0463150252820507,0.0463150252820507,0.6870488322717622,0.6825088282468043,2.262013667828837,0.6825088282468043,0.05314078606434283,0.16716013371694652,0.0,0.0,0.10396755150753362,0.5197452229299364,-0.18032057423351291,0.1471610660486674,-0.6033272680010398,-0.3945956126211795,-0.10708949299485504,-0.38017435483010176,-0.15239166896855577,-0.20947384622891657,0.01861856696821307,-0.013549434116538417,0.029924263091756054,0.10396755150753362,-0.011337500943432222,0.004670912951167727,0.020403784104659817,-0.10881739778504373,0.020403784104659817,-0.00014400370361539877,-0.010775970672562002,0.0
mifal_controlled_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,observable_no_current_chla,test,3,all,bloom_h,mifal_probability_bloom_calibrated,0.135593220338983,True,4757,4757,1.0,883,0.18562118982552028,4159,0.8742905192348118,0.2339202723522463,451,3423,147,736,0.17696561673479203,0.8335220838052095,0.1164171399070728,0.24682355157641817,0.47848134182811086,-0.058710082099637455,0.17844205343416733,0.4750557042887187,0.16005046585552127,0.4445285035234124,0.3654910929992745,0.04829908252672602,0.04829908252672602,0.6853058650409922,0.6820858600123617,2.2793624168182673,0.6820858600123617,0.053442398800266286,0.1674266495822298,0.0,0.0,0.10251978661843453,0.5127180996426319,-0.17070880186985912,0.1562853907134768,-0.5939597315436241,-0.38111712860333063,-0.0908255888649584,-0.3723797378938064,-0.14340048917630518,-0.2307655765912775,0.0202075545971806,-0.010504563840467385,0.03169528035661778,0.10251978661843453,-0.005921621564982493,0.00483498002943028,0.019927262288719105,-0.10736832822410047,0.019927262288719105,-0.00014135551998509938,-0.01052907605534345,0.0
mifal_controlled_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,observable_no_current_chla,test,3,wqp,bloom_h,mifal_probability_bloom_calibrated,0.135593220338983,True,4757,4757,1.0,883,0.18562118982552028,4159,0.8742905192348118,0.2339202723522463,451,3423,147,736,0.17696561673479203,0.8335220838052095,0.1164171399070728,0.24682355157641817,0.47848134182811086,-0.058710082099637455,0.17844205343416733,0.4750557042887187,0.16005046585552127,0.4445285035234124,0.3654910929992745,0.04829908252672602,0.04829908252672602,0.6853058650409922,0.6820858600123617,2.2793624168182673,0.6820858600123617,0.053442398800266286,0.1674266495822298,0.0,0.0,0.10251978661843453,0.5127180996426319,-0.17070880186985912,0.1562853907134768,-0.5939597315436241,-0.38111712860333063,-0.0908255888649584,-0.3723797378938064,-0.14340048917630518,-0.2307655765912775,0.0202075545971806,-0.010504563840467385,0.03169528035661778,0.10251978661843453,-0.005921621564982493,0.00483498002943028,0.019927262288719105,-0.10736832822410047,0.019927262288719105,-0.00014135551998509938,-0.01052907605534345,0.0
mifal_controlled_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,observable_no_current_chla,validation,1,all,bloom_h,mifal_probability_bloom_calibrated,0.1496598639455782,True,3049,3049,1.0,410,0.13447031813709412,2710,0.8888160052476222,0.2511494820674548,313,2326,26,384,0.14169741697416974,0.9365853658536586,0.11860553239863585,0.22818101978612387,0.4413793103448276,0.059895554704801145,0.14123911314547713,0.5275834342276731,0.1318437563567008,0.4036488153996646,0.33819183341611797,0.11667916393036068,0.11667916393036068,0.7369629386684159,0.678938639207963,1.927723734041811,0.678938639207963,0.050271828591708784,0.1685440583293586,0.0,0.0,0.11667916393036068,0.512955067235159,-0.11571968599267143,0.2170731707317074,-0.5589238347859038,-0.3550668501374345,-0.08805356833428213,-0.21976801164252555,-0.09587309022085444,-0.18251092893649667,0.02525697816086407,-0.011911232001732497,0.03584627172804761,0.11667916393036068,0.11667916393036068,0.008855362413906165,0.018428555358241505,-0.08337310169380463,0.018428555358241505,-0.00011201772233731394,-0.009709113176542022,0.0
mifal_controlled_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,observable_no_current_chla,validation,1,wqp,bloom_h,mifal_probability_bloom_calibrated,0.1496598639455782,True,3049,3049,1.0,410,0.13447031813709412,2710,0.8888160052476222,0.2511494820674548,313,2326,26,384,0.14169741697416974,0.9365853658536586,0.11860553239863585,0.22818101978612387,0.4413793103448276,0.059895554704801145,0.14123911314547713,0.5275834342276731,0.1318437563567008,0.4036488153996646,0.33819183341611797,0.11667916393036068,0.11667916393036068,0.7369629386684159,0.678938639207963,1.927723734041811,0.678938639207963,0.050271828591708784,0.1685440583293586,0.0,0.0,0.11667916393036068,0.512955067235159,-0.11571968599267143,0.2170731707317074,-0.5589238347859038,-0.3550668501374345,-0.08805356833428213,-0.21976801164252555,-0.09587309022085444,-0.18251092893649667,0.02525697816086407,-0.011911232001732497,0.03584627172804761,0.11667916393036068,0.11667916393036068,0.008855362413906165,0.018428555358241505,-0.08337310169380463,0.018428555358241505,-0.00011201772233731394,-0.009709113176542022,0.0
mifal_controlled_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,observable_no_current_chla,validation,2,all,bloom_h,mifal_probability_bloom_calibrated,0.1111111111111111,True,3158,3158,1.0,441,0.1396453451551615,2763,0.8749208359721342,0.22825052189693132,360,2357,35,406,0.14694173000361926,0.9206349206349206,0.13249907986750092,0.2423978381778561,0.4484205875855975,0.05567338647822264,0.1464155594668669,0.5261476201325824,0.129282795949521,0.413270911485356,0.33976242032000004,0.08860517674176982,0.08860517674176982,0.7317922735908803,0.6821757999047539,1.9539342939657918,0.6821757999047539,0.050674364259674747,0.1668910815103603,0.0,0.0,0.08860517674176985,0.4594680177327422,-0.08705217243540514,0.22448979591836726,-0.49760765550239233,-0.30792227302689246,-0.05060411982662616,-0.17380106716151572,-0.07351094831209112,-0.149274701906281,0.016129496321245204,-0.011667159814640227,0.02612749823309457,0.08860517674176985,0.08860517674176979,0.008233058898036716,0.017533414916908407,-0.08289009781663004,0.017533414916908407,-0.00010595560375767366,-0.009244045364074777,0.0
mifal_controlled_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,observable_no_current_chla,validation,2,wqp,bloom_h,mifal_probability_bloom_calibrated,0.1111111111111111,True,3158,3158,1.0,441,0.1396453451551615,2763,0.8749208359721342,0.22825052189693132,360,2357,35,406,0.14694173000361926,0.9206349206349206,0.13249907986750092,0.2423978381778561,0.4484205875855975,0.05567338647822264,0.1464155594668669,0.5261476201325824,0.129282795949521,0.413270911485356,0.33976242032000004,0.08860517674176982,0.08860517674176982,0.7317922735908803,0.6821757999047539,1.9539342939657918,0.6821757999047539,0.050674364259674747,0.1668910815103603,0.0,0.0,0.08860517674176985,0.4594680177327422,-0.08705217243540514,0.22448979591836726,-0.49760765550239233,-0.30792227302689246,-0.05060411982662616,-0.17380106716151572,-0.07351094831209112,-0.149274701906281,0.016129496321245204,-0.011667159814640227,0.02612749823309457,0.08860517674176985,0.08860517674176979,0.008233058898036716,0.017533414916908407,-0.08289009781663004,0.017533414916908407,-0.00010595560375767366,-0.009244045364074777,0.0
