mifal_degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,surface,input_rows,output_rows,rows_retained_rate,affected_rows,affected_cells,metrics_rows,operation_types
mifal_controlled_degradation_v0,control_observed,control,core,evaluated,,observable_no_current_chla,23531,23531,1.0,0,0,12,
mifal_controlled_degradation_v0,ablate_chlorophyll_memory,feature_family_ablation,core,evaluated,,observable_no_current_chla,23531,23531,1.0,20823,77823,12,set_variables_missing
mifal_controlled_degradation_v0,ablate_nutrients,feature_family_ablation,core,evaluated,,observable_no_current_chla,23531,23531,1.0,22718,116041,12,set_variables_missing
mifal_controlled_degradation_v0,ablate_light,feature_family_ablation,core,evaluated,,observable_no_current_chla,23531,23531,1.0,23322,101226,12,set_variables_missing
mifal_controlled_degradation_v0,ablate_physicochemical,feature_family_ablation,core,evaluated,,observable_no_current_chla,23531,23531,1.0,11193,75655,12,set_variables_missing
mifal_controlled_degradation_v0,random_dropout_mcar_10,random_value_dropout,core,evaluated,20260612.0,observable_no_current_chla,23531,23531,1.0,9281,37387,12,random_value_dropout
mifal_controlled_degradation_v0,random_dropout_mcar_10,random_value_dropout,core,evaluated,20260613.0,observable_no_current_chla,23531,23531,1.0,9227,37087,12,random_value_dropout
mifal_controlled_degradation_v0,random_dropout_mcar_10,random_value_dropout,core,evaluated,20260614.0,observable_no_current_chla,23531,23531,1.0,9333,37487,12,random_value_dropout
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,evaluated,20260612.0,observable_no_current_chla,23531,23531,1.0,17317,93630,12,random_value_dropout
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,evaluated,20260613.0,observable_no_current_chla,23531,23531,1.0,17190,92381,12,random_value_dropout
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,evaluated,20260614.0,observable_no_current_chla,23531,23531,1.0,17368,93455,12,random_value_dropout
mifal_controlled_degradation_v0,random_dropout_mcar_50,random_value_dropout,core,evaluated,20260612.0,observable_no_current_chla,23531,23531,1.0,22327,185996,12,random_value_dropout
mifal_controlled_degradation_v0,random_dropout_mcar_50,random_value_dropout,core,evaluated,20260613.0,observable_no_current_chla,23531,23531,1.0,22275,185376,12,random_value_dropout
mifal_controlled_degradation_v0,random_dropout_mcar_50,random_value_dropout,core,evaluated,20260614.0,observable_no_current_chla,23531,23531,1.0,22383,186092,12,random_value_dropout
mifal_controlled_degradation_v0,temporal_blocks_1m_rate_10,temporal_block_missingness,core,evaluated,20260612.0,observable_no_current_chla,23531,23531,1.0,318,4611,12,temporal_block_dropout
mifal_controlled_degradation_v0,temporal_blocks_1m_rate_10,temporal_block_missingness,core,evaluated,20260613.0,observable_no_current_chla,23531,23531,1.0,260,3671,12,temporal_block_dropout
mifal_controlled_degradation_v0,temporal_blocks_1m_rate_10,temporal_block_missingness,core,evaluated,20260614.0,observable_no_current_chla,23531,23531,1.0,317,4775,12,temporal_block_dropout
mifal_controlled_degradation_v0,temporal_blocks_3m_rate_10,temporal_block_missingness,core,evaluated,20260612.0,observable_no_current_chla,23531,23531,1.0,751,11288,12,temporal_block_dropout
mifal_controlled_degradation_v0,temporal_blocks_3m_rate_10,temporal_block_missingness,core,evaluated,20260613.0,observable_no_current_chla,23531,23531,1.0,580,8147,12,temporal_block_dropout
mifal_controlled_degradation_v0,temporal_blocks_3m_rate_10,temporal_block_missingness,core,evaluated,20260614.0,observable_no_current_chla,23531,23531,1.0,677,10230,12,temporal_block_dropout
mifal_controlled_degradation_v0,temporal_blocks_6m_rate_25,temporal_block_missingness,core,evaluated,20260612.0,observable_no_current_chla,23531,23531,1.0,2371,36821,12,temporal_block_dropout
mifal_controlled_degradation_v0,temporal_blocks_6m_rate_25,temporal_block_missingness,core,evaluated,20260613.0,observable_no_current_chla,23531,23531,1.0,2156,33283,12,temporal_block_dropout
mifal_controlled_degradation_v0,temporal_blocks_6m_rate_25,temporal_block_missingness,core,evaluated,20260614.0,observable_no_current_chla,23531,23531,1.0,2278,34391,12,temporal_block_dropout
mifal_controlled_degradation_v0,site_retention_75,site_retention,core,evaluated,20260612.0,observable_no_current_chla,23531,17588,0.7474395478305215,0,0,12,stratified_site_retention
mifal_controlled_degradation_v0,site_retention_75,site_retention,core,evaluated,20260613.0,observable_no_current_chla,23531,17888,0.7601886872636097,0,0,12,stratified_site_retention
mifal_controlled_degradation_v0,site_retention_75,site_retention,core,evaluated,20260614.0,observable_no_current_chla,23531,17922,0.761633589732693,0,0,12,stratified_site_retention
mifal_controlled_degradation_v0,site_retention_50,site_retention,core,evaluated,20260612.0,observable_no_current_chla,23531,11913,0.5062683268879351,0,0,12,stratified_site_retention
mifal_controlled_degradation_v0,site_retention_50,site_retention,core,evaluated,20260613.0,observable_no_current_chla,23531,11705,0.49742892354766055,0,0,12,stratified_site_retention
mifal_controlled_degradation_v0,site_retention_50,site_retention,core,evaluated,20260614.0,observable_no_current_chla,23531,11548,0.490756873911011,0,0,12,stratified_site_retention
mifal_controlled_degradation_v0,site_retention_25,site_retention,core,evaluated,20260612.0,observable_no_current_chla,23531,6168,0.26212230674429476,0,0,12,stratified_site_retention
mifal_controlled_degradation_v0,site_retention_25,site_retention,core,evaluated,20260613.0,observable_no_current_chla,23531,6242,0.2652670944711232,0,0,12,stratified_site_retention
mifal_controlled_degradation_v0,site_retention_25,site_retention,core,evaluated,20260614.0,observable_no_current_chla,23531,6050,0.2571076452339467,0,0,12,stratified_site_retention
