mifal_input_audit_version,mifal_variable,role,adapter_status,panel_columns_expected,panel_columns_found,panel_units,mifal_units,rows,present_rows,missing_rows,coverage_rate,adapter_note,split,horizon_months
mifal_input_audit_v0,Tw,minimum_temperature,direct_observable,mean_temperature_C,mean_temperature_C,deg C,deg C,2000,507,1493,0.2535,Origin-month water temperature maps directly to MIFAL water temperature.,test,1
mifal_input_audit_v0,TP,minimum_nutrients,direct_observable,mean_TP_ugL,mean_TP_ugL,ug/L,ug/L,2000,787,1213,0.3935,Total phosphorus maps directly to MIFAL TP.,test,1
mifal_input_audit_v0,TN,optional_nutrients,unit_transform_observable,mean_TN_ugL,mean_TN_ugL,ug/L,mg/L,2000,436,1564,0.218,Adapter must divide by 1000 before passing TN to MIFAL.,test,1
mifal_input_audit_v0,Secchi,minimum_light,direct_observable,mean_secchi_depth_m,mean_secchi_depth_m,m,m,2000,777,1223,0.3885,Secchi depth maps directly to transparency/light availability.,test,1
mifal_input_audit_v0,Turb,light_support,direct_observable,mean_turbidity_NTU,mean_turbidity_NTU,NTU,NTU,2000,250,1750,0.125,Turbidity can support light limitation when Secchi is absent.,test,1
mifal_input_audit_v0,DOb,optional_internal_loading,qualified_observable,mean_DO_mgL,mean_DO_mgL,mg/L,mg/L,2000,419,1581,0.2095,Panel DO is not guaranteed to be bottom oxygen; treat as qualified evidence unless depth policy is added.,test,1
mifal_input_audit_v0,Chl,minimum_biological_observation,direct_observable,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1927,73,0.9635,Origin-month Chl-a can assimilate the analysis state before forecasting.,test,1
mifal_input_audit_v0,Chl_prev,minimum_biological_memory,constructible_from_origin,mean_chlorophyll_a_ugL,mean_chlorophyll_a_ugL,ug/L,ug/L,2000,1927,73,0.9635,First adapter can seed biological memory from origin-month Chl-a; later versions should audit explicit lags.,test,1
mifal_input_audit_v0,Wind,minimum_hydrodynamics,unavailable_in_freeze,,,m/s,m/s,2000,0,2000,0.0,No wind or mixing column is present in the current frozen monthly panel.,test,1
mifal_input_audit_v0,Residence,optional_hydrodynamics,unavailable_in_freeze,,,days,days,2000,0,2000,0.0,No lake-specific residence-time column is present in the current frozen monthly panel.,test,1
mifal_input_audit_v0,Flushing,optional_hydrodynamics,unavailable_in_freeze,,,day^-1,day^-1,2000,0,2000,0.0,No flushing-rate column is present in the current frozen monthly panel.,test,1
mifal_input_audit_v0,Strat,optional_hydrodynamics,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,No stratification index is present in the current frozen monthly panel.,test,1
mifal_input_audit_v0,Phyco,optional_biological_proxy,unavailable_in_freeze,,,source-specific,normalized_or_configured,2000,0,2000,0.0,Phyco signals were reserved for future extension and are not in the current canonical panel.,test,1
mifal_input_audit_v0,Sat,optional_spatial_bloom_proxy,unavailable_in_freeze,,,"[0,1]","[0,1]",2000,0,2000,0.0,Satellite bloom index is not in the current frozen monthly panel.,test,1
