mifal_observable_version,surface,source_id,site_id,origin_year_month,horizon_months,split,bloom_h,target_risk_chla_h,risk_interval_lo,risk_interval_hi,risk_conservative,uncertainty,interval_confidence,data_reliability,confidence,alert_class,observation_reliability,top_factor,recommended_sampling,payload_variables,has_Tw,has_TP,has_TN,has_Secchi,has_Turb,has_DOb,has_Chl,has_Chl_prev
mifal_observable_v0,observable_current_chla,wqp,wqp:WIDNR_WQX-10056417,2021-05,3,validation,1,1.0,0.0,0.7459024063315407,0.6153694852235211,0.7459024063315407,0.2540975936684593,0.08372607066939508,0.137686093376434,high,0.03424597024187637,Nutrients,,"Chl,TP",False,True,False,False,False,False,True,False
mifal_observable_v0,observable_current_chla,wqp,wqp:21FLTLHR_WQX-TLHRHAB0016,2022-09,1,test,0,0.3931973235514857,0.0,0.7358814396086293,0.6071021876771192,0.7358814396086293,0.2641185603913707,0.06514864712380267,0.14066276364057745,high,0.029756510842839923,Nutrients,,"Chl,DOb,Secchi,TP,Tw",True,True,False,True,False,True,True,False
mifal_observable_v0,observable_current_chla,wqp,wqp:21FLKWAT_WQX-PAL-GREENCAY-1,2022-11,1,test,1,1.0,0.0,0.7350144099471725,0.6063868882064173,0.7350144099471725,0.2649855900528275,0.06877835117013864,0.14160543101025366,high,0.0290975372061133,Nutrients,,"Chl,Secchi,TN,TP",False,True,True,True,False,False,True,False
mifal_observable_v0,observable_current_chla,wqp,wqp:21FLKWAT_WQX-LAK-DORAWEST-1,2023-05,2,test,1,1.0,0.0,0.7345201679276016,0.6059791385402713,0.7345201679276016,0.26547983207239845,0.058313250146081595,0.14048041196438799,high,0.031412114029326754,Light,,"Chl,Secchi,TN,TP",False,True,True,True,False,False,True,False
mifal_observable_v0,observable_current_chla,wqp,wqp:21FLORL_WQX-LAKE OF WOODS,2023-01,3,test,1,1.0,0.0,0.7298568638796461,0.6021319127007081,0.7298568638796461,0.2701431361203539,0.0634330455107556,0.1436395689841473,high,0.022143970679498137,Theta,,"Chl,DOb,Secchi,TP,Turb,Tw",True,True,False,True,True,True,True,False
mifal_observable_v0,observable_current_chla,wqp,wqp:21FLORL_WQX-DOT,2022-11,3,test,0,0.0,0.0,0.7297541460935506,0.6020471705271793,0.7297541460935506,0.2702458539064494,0.06570877313798426,0.14400168870613456,high,0.022070903339660664,Theta,,"Chl,DOb,Secchi,TP,Turb,Tw",True,True,False,True,True,True,True,False
mifal_observable_v0,observable_current_chla,wqp,wqp:UMC-7383/0.1,2023-05,1,test,1,1.0,0.0,0.7292804402467834,0.6016563632035963,0.7292804402467834,0.2707195597532166,0.09013158334378342,0.147559971157953,high,0.033082976603142744,Theta,,"Chl,DOb,Secchi,TN,TP,Tw",True,True,True,True,False,True,True,False
mifal_observable_v0,observable_current_chla,wqp,wqp:21FLCEN_WQX-G4CE0153,2023-06,2,test,0,0.8863400689801484,0.0,0.7265779863308983,0.5994268387229911,0.7265779863308983,0.2734220136691017,0.06433425019337077,0.14550620695243247,high,0.03043611169297067,Theta,,"Chl,DOb,Secchi,TP,Turb,Tw",True,True,False,True,True,True,True,False
mifal_observable_v0,observable_current_chla,wqp,wqp:21IOWA_WQX-14000565,2024-06,1,test,0,0.0,0.0,0.725072076080439,0.5981844627663622,0.725072076080439,0.274927923919561,0.08080768060655345,0.14857210589273784,high,0.021824405737603803,Theta,,"Chl,DOb,Secchi,TP,Turb,Tw",True,True,False,True,True,True,True,False
mifal_observable_v0,observable_current_chla,wqp,wqp:21FLPOLK_WQX-CONFUSION1,2022-12,3,test,0,0.0,0.0,0.7192658260085967,0.5933943064570922,0.7192658260085967,0.2807341739914033,0.0636965878888132,0.14930799148922005,high,0.031251378523469375,Light,,"Chl,DOb,Secchi,TP,Turb,Tw",True,True,False,True,True,True,True,False
