split,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,all,50000,0.11111921072150194,0.05944335930294461,-1.9233032419162326,0.9100800000000001,0.36862485809326173
train,yN,50000,0.0436145021991174,0.01815273920059204,-2.6354259106445315,0.9377,0.14383788665771485
train,yF,50000,0.11915588209173959,0.06475785690307617,-1.6268313232421876,0.89694,0.3927556414794922
train,yT,50000,0.19409130242665007,0.10976443313598633,-1.1389291357421876,0.87038,0.6119410864257813
train,sigma_N,50000,0.05286351197257995,0.010948922004699707,-2.4443850268554685,0.96376,0.17912025177001953
train,sigma_F,50000,0.03738700342553228,0.016939872283935547,-2.7850537255859376,0.90338,0.12967036682128907
train,sigma_T,50000,0.05769523706347287,0.027418987312316893,-2.3536334252929687,0.88604,0.18919512115478515
train,delta_yN,50000,0.06838661671314547,0.02497771265029907,-2.187349875488281,0.93644,0.22993273742675782
train,delta_yF,50000,0.16519746558806145,0.09518251770019531,-1.29957896484375,0.9053,0.5611036804199219
train,delta_yT,50000,0.2616813750132183,0.1668471925354004,-0.8385417895507813,0.89078,0.8800669506835938
validation,all,7079,0.13707885394519628,0.08131683363560255,-1.2857592692678077,0.8437946351493463,0.36905876399527293
validation,yN,7079,0.0885697338946867,0.05345823360981451,-1.0871147654760118,0.7550501483260348,0.1442425293106702
validation,yF,7079,0.12262101365684949,0.07329667424529197,-1.598032617656537,0.8855770589066252,0.3922840586690718
validation,yT,7079,0.19869513709138262,0.12067254146355527,-1.1130231244868185,0.8648114140415313,0.6122038962898626
validation,sigma_N,7079,0.11939878093424948,0.052417520716258034,-0.5400292937710791,0.8505438621274192,0.1799492812422747
validation,sigma_F,7079,0.04959372427887544,0.022277916230493928,-2.4491710875697486,0.8879785280406837,0.13027188575508603
validation,sigma_T,7079,0.07981834580011898,0.042010034506461395,-1.8955613206479993,0.807034891933889,0.18957670847395244
validation,delta_yN,7079,0.13555763405698157,0.08119400720640771,-0.8071284773053717,0.7645147619720299,0.23149237139007098
validation,delta_yF,7079,0.1705191210161621,0.1067898046130059,-1.26887063216247,0.892640203418562,0.5614788272586612
validation,delta_yT,7079,0.26893619477746017,0.17973477012913414,-0.8129021043342324,0.8860008475773414,0.8800293175678062
test,all,7582,0.13215531125470142,0.07854029965912905,-1.272364256016454,0.8487499633635217,0.36927985099636623
test,yN,7582,0.08883759322195571,0.05610310990462609,-1.0809564935095044,0.735953574254814,0.1445019540105008
test,yF,7582,0.11906187359537071,0.07056790862288459,-1.6282092803576729,0.8913215510419414,0.3920310142957828
test,yT,7582,0.18648818542004314,0.11058432846451711,-1.1790888209482573,0.8840675283566342,0.6129470458919974
test,sigma_N,7582,0.13817236925127035,0.06343081128908569,0.28265664219636144,0.8324980216301767,0.1801998306471639
test,sigma_F,7582,0.039415832062212344,0.02030525016331855,-2.73350360279692,0.8818253758902664,0.13028762322307355
test,sigma_T,7582,0.07016274925594089,0.03643400855883229,-2.110214213273419,0.8537325243998944,0.18904214394623986
test,delta_yN,7582,0.13476744965599582,0.08385387029222686,-0.8085210020829555,0.7490108150883672,0.23131849670812657
test,delta_yF,7582,0.16316347447844926,0.10103891544246447,-1.3106816965242516,0.9050382484832498,0.5615340796098077
test,delta_yT,7582,0.24932827435107446,0.16454449419420586,-0.8827598368514656,0.9053020311263519,0.8816564706346033
