target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
delta_yF,0.0,7079,0.1263716161916242,0.2086545518192466,balanced,1.781248974262245
delta_yF,0.1,7079,0.11769428730078346,0.19387478060578803,balanced,1.6569187288575165
delta_yF,0.2,7079,0.10945616322126846,0.17964222953348422,balanced,1.5379845529042782
delta_yF,0.35,7079,0.09800760522705802,0.15963841654026817,balanced,1.3716974863285707
delta_yF,0.5,7079,0.08783652840032469,0.14185275254251253,balanced,1.2239031095174995
delta_yF,0.65,7079,0.07986717261842355,0.1272189868810214,balanced,1.104984094134518
delta_yF,0.8,7079,0.07530453387315807,0.11692658479489562,balanced,1.028352338715608
delta_yF,0.9,7079,0.07437861378305055,0.11308444029348778,balanced,1.004971124894413
delta_yF,1.0,7079,0.07508149128846654,0.11197119470656186,balanced,1.0047249973457837
delta_yN,0.0,7079,0.09300383411401543,0.15875524748196743,balanced,1.7532081554820829
delta_yN,0.1,7079,0.08655418388451841,0.14706679933434985,balanced,1.6276253199184203
delta_yN,0.2,7079,0.0803598462398619,0.13582477133593773,balanced,1.50691786367816
delta_yN,0.35,7079,0.07175156504004196,0.1200720395371262,balanced,1.3384065184776275
delta_yN,0.5,7079,0.064345388766786,0.10617637697703135,balanced,1.1914076493908152
delta_yN,0.65,7079,0.058765026081212916,0.09495658278138838,balanced,1.0762301620856536
delta_yN,0.8,7079,0.05686040092346476,0.08744875055785724,balanced,1.0152459384156547
delta_yN,0.9,7079,0.057591698166003485,0.08501291406055561,balanced,1.0073246856733071
delta_yN,1.0,7079,0.059302288388983646,0.08486117408975219,balanced,1.0214726543065158
delta_yT,0.0,7079,0.20399671032664837,0.32936052738207194,balanced,1.6805250361006148
delta_yT,0.1,7079,0.19206114713881947,0.30746093377068534,balanced,1.5750258227973073
delta_yT,0.2,7079,0.18075107143901636,0.28639269429337405,balanced,1.474192261735908
delta_yT,0.35,7079,0.16484659784745154,0.2567949055543567,balanced,1.3324765789299065
delta_yT,0.5,7079,0.15038476634924822,0.23042242619302186,balanced,1.205090533497827
delta_yT,0.65,7079,0.13793831933166098,0.20850275031433868,balanced,1.0975785518502739
delta_yT,0.8,7079,0.130462549486846,0.1925625140444665,balanced,1.0254324749228108
delta_yT,0.9,7079,0.13104482349795057,0.18604199371184263,balanced,1.0098719417773876
delta_yT,1.0,7079,0.13449409119505923,0.1832419228300983,balanced,1.0154509540250083
sigma_F,0.0,7079,0.02224389380832095,0.04968554902674053,balanced,1.0069798115256348
sigma_F,0.1,7079,0.02231325094840304,0.04948145355273176,balanced,1.0064562839410165
sigma_F,0.2,7079,0.022451662650164246,0.04931285812561905,balanced,1.0078472044818954
sigma_F,0.35,7079,0.022780772841133324,0.04912730661898649,balanced,1.0133516448083792
sigma_F,0.5,7079,0.023235662152898868,0.049023349342520665,balanced,1.0225159267244124
sigma_F,0.65,7079,0.02378817866929323,0.049001506467509746,balanced,1.0347125569443825
sigma_F,0.8,7079,0.02443176616566854,0.04906188715383969,balanced,1.0497952779755317
sigma_F,0.9,7079,0.02489636223571148,0.04914768862021335,balanced,1.0611140033437487
sigma_F,1.0,7079,0.02538226111862413,0.04926971939766991,balanced,1.0732812505027742
sigma_N,0.0,7079,0.05241752933826061,0.11939879334565438,balanced,1.0080722900482126
sigma_N,0.1,7079,0.0524699489584345,0.1191211238264364,balanced,1.007390755434192
sigma_N,0.2,7079,0.05256690364686222,0.11886271450699974,balanced,1.00721598870765
sigma_N,0.35,7079,0.05279166281837951,0.11851147083930529,balanced,1.0078652887753616
sigma_N,0.5,7079,0.05311711216094147,0.11820421083941787,balanced,1.009662213329063
sigma_N,0.65,7079,0.05352516675470306,0.11794128768948858,balanced,1.0124357569288436
sigma_N,0.8,7079,0.05401692321061718,0.11772298815699825,balanced,1.0161976001890842
sigma_N,0.9,7079,0.05439028232712954,0.11760237974919178,balanced,1.0192457762795253
sigma_N,1.0,7079,0.054797725028145665,0.11750177650342261,balanced,1.0227041957140441
sigma_T,0.0,7079,0.04201006145021945,0.0798183263902169,balanced,1.0141018913803417
sigma_T,0.1,7079,0.04234098468666815,0.07943917705630835,balanced,1.0155984470888273
sigma_T,0.2,7079,0.04271951107710057,0.07909461648006437,balanced,1.0178843540287124
sigma_T,0.35,7079,0.043352670530795306,0.07864361263764927,balanced,1.0225152904725272
sigma_T,0.5,7079,0.04406076434777102,0.07827280684670807,balanced,1.0285546366795129
sigma_T,0.65,7079,0.04482839632579913,0.07798334571669237,balanced,1.0358265336228716
sigma_T,0.8,7079,0.045648466245756594,0.07777613271607532,balanced,1.0442522942790924
sigma_T,0.9,7079,0.04621894481845925,0.07768402384048788,balanced,1.050448815214489
sigma_T,1.0,7079,0.04680525338789521,0.07762889782014619,balanced,1.0570719462450429
yF,0.0,7079,0.0725987371473532,0.12597896647852574,balanced,1.0833310943640146
yF,0.1,7079,0.07171312923029935,0.12324377538116656,balanced,1.064702533363029
yF,0.2,7079,0.07109767990877508,0.12074117644342672,balanced,1.0490383507559218
yF,0.35,7079,0.07061249611320124,0.11745553892215194,balanced,1.030759871856036
yF,0.5,7079,0.07058408122595496,0.11477410589549764,balanced,1.0184462828178196
yF,0.65,7079,0.07097391752826913,0.11273999541706393,balanced,1.0120195023664165
yF,0.8,7079,0.07173015014113873,0.1113886767395951,balanced,1.0112724217057587
yF,0.9,7079,0.07240462138131103,0.11087997460382946,balanced,1.0137523483261384
yF,1.0,7079,0.07321399139606914,0.11069045116080897,balanced,1.0186296267121142
yN,0.0,7079,0.05311739884252719,0.09483473620006136,balanced,1.0783987738586527
yN,0.1,7079,0.05253081059688262,0.09261960124933341,balanced,1.0594760525029714
yN,0.2,7079,0.052209763864387075,0.09060727606756833,balanced,1.044315174327183
yN,0.35,7079,0.0521930463402634,0.08799912245657919,balanced,1.0284913819546437
yN,0.5,7079,0.052609450804646664,0.08592260419957991,balanced,1.0200096329138022
yN,0.65,7079,0.053426356449657986,0.08441696407565874,balanced,1.0187931038820999
yN,0.8,7079,0.054561524998082464,0.08351308049326311,balanced,1.0242394116711404
yN,0.9,7079,0.05546969777363339,0.08325502123715944,balanced,1.0313897316129856
yN,1.0,7079,0.056468925362910434,0.08327597076199357,balanced,1.0410879676476246
yT,0.0,7079,0.11728491785162871,0.20924250177615733,balanced,1.0746644382131927
yT,0.1,7079,0.11750940246625141,0.20463668290121015,balanced,1.0629720044204998
yT,0.2,7079,0.11832234953432909,0.2003924562310295,balanced,1.0547813365608012
yT,0.35,7079,0.12021565400269227,0.19475523682690668,balanced,1.0473706441193853
yT,0.5,7079,0.12260596087666314,0.19006129670064245,balanced,1.0446693598900825
yT,0.65,7079,0.12538968433951872,0.18638191905132753,balanced,1.0464316572835874
yT,0.8,7079,0.12847964408994142,0.183778037748818,balanced,1.052453224997402
yT,0.9,7079,0.13066280950747533,0.1826631282347963,balanced,1.0586983352085912
yT,1.0,7079,0.1329374317396056,0.18205624696975875,balanced,1.0667285878469817
