target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
delta_yF,0.0,7079,0.1263716161916242,0.2086545518192466,balanced,1.2035055988507541
delta_yF,0.1,7079,0.12401419471323633,0.20452465686954444,balanced,1.1803581546223367
delta_yF,0.2,7079,0.121789621050571,0.2004540123545996,balanced,1.1580064521522346
delta_yF,0.35,7079,0.11863050637297044,0.19446728896299748,balanced,1.1256607696245586
delta_yF,0.5,7079,0.11562636356970772,0.18863572233204387,balanced,1.0944956344744066
delta_yF,0.65,7079,0.11278320433208036,0.18297415247795368,balanced,1.0645827082438264
delta_yF,0.8,7079,0.11011900661321393,0.17749885989193642,balanced,1.0360539034634297
delta_yF,0.9,7079,0.10842061113513009,0.17396085858769728,balanced,1.017727646306143
delta_yF,1.0,7079,0.106789761502993,0.1705191510380948,balanced,1.0
delta_yN,0.0,7079,0.09300383411401543,0.15875524748196743,balanced,1.1582895825070065
delta_yN,0.1,7079,0.09170488092686803,0.1562944724268499,balanced,1.141214022625979
delta_yN,0.2,7079,0.09042918505279976,0.15386116606170855,balanced,1.1243830007499382
delta_yN,0.35,7079,0.0885565539911181,0.1502656202993024,balanced,1.0995891158210964
delta_yN,0.5,7079,0.0867392648696091,0.14673964068532702,balanced,1.0753926240364144
delta_yN,0.65,7079,0.08498592945222279,0.14328835441341597,balanced,1.0518654689032347
delta_yN,0.8,7079,0.08331104725291961,0.13991728792623878,balanced,1.029117323842345
delta_yN,0.9,7079,0.08223774588399392,0.13771740066588037,balanced,1.014393624392821
delta_yN,1.0,7079,0.08119400235653125,0.1355576534363123,balanced,1.0
delta_yT,0.0,7079,0.20399671032664837,0.32936052738207194,balanced,1.1798327949075964
delta_yT,0.1,7079,0.20081667867079345,0.3227130089658539,balanced,1.1586274322124068
delta_yT,0.2,7079,0.19793947330048603,0.3161785881025164,balanced,1.138474762681422
delta_yT,0.35,7079,0.19399528648914263,0.3066048265523578,balanced,1.109703212319906
delta_yT,0.5,7079,0.19034148872462786,0.297327919536193,balanced,1.0822913930215767
delta_yT,0.65,7079,0.18690099283739206,0.28837652113436635,balanced,1.0560781309394676
delta_yT,0.8,7079,0.1836912346721487,0.27978186662821125,balanced,1.0311700023244557
delta_yT,0.9,7079,0.18166716352393522,0.27426692714937145,balanced,1.015286041629151
delta_yT,1.0,7079,0.17973490592567476,0.2689362118091532,balanced,1.0
sigma_F,0.0,7079,0.02224389380832095,0.04968554902674053,balanced,1.0054381282430245
sigma_F,0.1,7079,0.022277930375966905,0.049593779711368524,balanced,1.005269659591527
sigma_F,0.2,7079,0.022333393563050842,0.049510429738733444,balanced,1.0056684679594703
sigma_F,0.35,7079,0.022461322930458997,0.04940128451908176,balanced,1.0074337685276906
sigma_F,0.5,7079,0.022637087707045322,0.049311303382432704,balanced,1.0104692684143326
sigma_F,0.65,7079,0.022851234001701776,0.049240593098882394,balanced,1.0145635484535196
sigma_F,0.8,7079,0.023102424460997233,0.049189236860530255,balanced,1.019687393800838
sigma_F,0.9,7079,0.023285700214298148,0.049165782725140536,balanced,1.0235684878428577
sigma_F,1.0,7079,0.023480915555106598,0.04915097046542039,balanced,1.0278058724215566
sigma_N,0.0,7079,0.05241752933826061,0.11939879334565438,balanced,1.0015047736751919
