split,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
test,all,7582,0.10974440467618403,0.06766491880478083,7582,0.14750285896434898,0.08407848801705714,-0.03775845428816495,-0.01641356921227631,0.25598455889787913,0.19521722618211762
test,delta_yF,7582,0.11125001082861619,0.07540113207093331,7582,0.20073986918889436,0.11963815604066572,-0.08948985836027817,-0.044237023969732406,0.4458001229246047,0.36975681867493826
test,delta_yN,7582,0.08520655368550296,0.05929644420385298,7582,0.15745170532467637,0.09602681762017791,-0.0722451516391734,-0.03673037341632493,0.4588400709296789,0.38250120462814186
test,delta_yT,7582,0.17168188599698236,0.11539812020090758,7582,0.30757187173614936,0.18693415813719935,-0.135889985739167,-0.07153603793629178,0.4418153876429255,0.38268039746801263
test,sigma_F,7582,0.03938537204788947,0.02041332100979164,7582,0.039509345228048616,0.02025226815310351,-0.000123973180159144,0.00016105285668813196,0.003137819152495914,-0.007952336768928857
test,sigma_N,7582,0.13763428151690232,0.0635149871979122,7582,0.1381723700255101,0.06343081246374732,-0.0005380885086077869,8.417473416487409e-05,0.00389432784939885,-0.0013270322560188326
test,sigma_T,7582,0.07016274925594089,0.03643400855883229,7582,0.07016275779036485,0.03643402677543646,-8.534423959205562e-09,-1.8216604169563055e-08,1.2163752149972586e-07,4.999887682424538e-07
test,yF,7582,0.10938123800286258,0.07101142378162816,7582,0.12235731782178053,0.06972551372946802,-0.012976079818917949,0.0012859100521601385,0.10605070501641961,-0.018442460777691995
test,yN,7582,0.08557815600599498,0.057194201872676445,7582,0.09553779330623863,0.05668835822061447,-0.009959637300243643,0.0005058436520619727,0.10424814050622705,-0.00892323693858583
test,yT,7582,0.1774193947449645,0.11032063034649292,7582,0.19602270025747787,0.10757628101310136,-0.01860330551251338,0.0027443493333915575,0.09490383250550953,-0.025510728829316306
train,all,112470,0.09034895740759183,0.050621150380417576,112470,0.12480269243796228,0.06121762086460509,-0.034453735030370455,-0.010596470484187513,0.27606563894843006,0.17309510455533236
train,delta_yF,112470,0.10674749921101973,0.06707696060800675,112470,0.20312358988929077,0.11235339921721355,-0.09637609067827105,-0.0452764386092068,0.4744702017663201,0.40298236568413537
train,delta_yN,112470,0.04366875947648303,0.025232867884235274,112470,0.07833244217771304,0.02252227810991598,-0.03466368270123001,0.0027105897743192955,0.4425201326238293,-0.12035149202450762
train,delta_yT,112470,0.1800203817319542,0.11826144510389403,112470,0.3195911181305937,0.1796232074597173,-0.1395707363986395,-0.061361762355823274,0.43671656839226386,0.3416137771038545
train,sigma_F,112470,0.0375799211847006,0.017118517439068823,112470,0.037719046445623614,0.01700122501947359,-0.0001391252609230162,0.00011729241959523157,0.003688461772849465,-0.006899056948007108
train,sigma_N,112470,0.05343320161399239,0.011889778867110873,112470,0.05374778923353848,0.011115003533744946,-0.00031458761954608616,0.000774775333365927,0.00585303366021582,-0.0697053609577112
train,sigma_T,112470,0.05793660384370765,0.027475373225815405,112470,0.057936608107166054,0.02747537763605778,-4.263458405762144e-09,-4.41024237615717e-09,7.358833292200973e-08,1.6051616958921476e-07
train,yF,112470,0.10781676980180561,0.0646396177042068,112470,0.12303416850179363,0.06435533474262656,-0.015217398699988019,0.0002842829615802428,0.12368433001411452,-0.004417395429876374
train,yN,112470,0.04130449023682989,0.013892336293221622,112470,0.04671574890235536,0.012828231162046384,-0.00541125866552547,0.0010641051311752383,0.11583371331231383,-0.08295026163260144
train,yT,112470,0.18463298956783342,0.11000345629819862,112470,0.20302372055358595,0.10368453090064969,-0.01839073098575253,0.006318925397548927,0.09058414916053364,-0.060943762224315884
validation,all,7079,0.11300616598841311,0.06981894516798565,7079,0.15285879993141757,0.08700496754554611,-0.039852633943004465,-0.017186022377560464,0.2607153396525745,0.19752920853126893
validation,delta_yF,7079,0.11197118327658134,0.07508147512221171,7079,0.20865455511896802,0.12637161249738238,-0.09668337184238668,-0.05129013737517067,0.46336573762916883,0.40586755491652116
validation,delta_yN,7079,0.08501290177923682,0.05759166852786962,7079,0.15875524487033807,0.09300383590745932,-0.07374234309110125,-0.0354121673795897,0.4645033501181624,0.3807602883694552
validation,delta_yT,7079,0.18604199733249802,0.13104478254343835,7079,0.3293605282824525,0.20399671741411973,-0.14331853094995448,-0.07295193487068138,0.4351417933937961,0.357613278269506
validation,sigma_F,7079,0.049481423093502654,0.02231325714546739,7079,0.049685549207374356,0.022243895153124468,-0.00020412611387170265,6.936199234292353e-05,0.0041083598174538475,-0.003118248484154569
validation,sigma_N,7079,0.11886268588869098,0.052566912807739966,7079,0.11939879356576141,0.05241752965408295,-0.0005361076770704354,0.00014938315365701366,0.004490059414002058,-0.002849870160666333
validation,sigma_T,7079,0.07981834580011898,0.042010034506461395,7079,0.0798183286950686,0.04201006240027146,1.710505038998722e-08,-2.789381006729208e-08,-2.1429978138647771e-07,6.639792581482058e-07
validation,yF,7079,0.11138868399628167,0.07173017600714647,7079,0.12597896583275048,0.07259873645060445,-0.014590281836468807,-0.000868560443457983,0.11581522153340144,0.011963850693860821
validation,yN,7079,0.08441695051073347,0.053426323039398,7079,0.09483473592883976,0.053117398770957835,-0.010417785418106285,0.0003089242684401611,0.10985200007224546,-0.005815877200091107
validation,yT,7079,0.19006132221807398,0.12260587681213801,7079,0.20924249788120478,0.11728491966191246,-0.019181175663130795,0.005320957150225555,0.09166959798970048,-0.04536778611916893
