split,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
test,all,7582,0.13215531125470142,0.07854029965912905,7582,0.14750285896434898,0.08407848801705714,-0.015347547709647552,-0.005538188357928089,0.10404915414796814,0.06586926678325314
test,delta_yF,7582,0.16316347447844926,0.10103891544246447,7582,0.20073986918889436,0.11963815604066572,-0.037576394710445105,-0.01859924059820124,0.18718949485359115,0.1554624478822563
test,delta_yN,7582,0.13476744965599582,0.08385387029222686,7582,0.15745170532467637,0.09602681762017791,-0.022684255668680542,-0.012172947327951045,0.1440711970816958,0.12676612252318534
test,delta_yT,7582,0.24932827435107446,0.16454449419420586,7582,0.30757187173614936,0.18693415813719935,-0.0582435973850749,-0.022389663942993493,0.18936581247273218,0.11977299475979514
test,sigma_F,7582,0.039415832062212344,0.02030525016331855,7582,0.039509345228048616,0.02025226815310351,-9.351316583627173e-05,5.298201021504065e-05,0.0023668619486481523,-0.00261610254291056
test,sigma_N,7582,0.13817236925127035,0.06343081128908569,7582,0.1381723700255101,0.06343081246374732,-7.742397556409486e-10,-1.1746616318530911e-09,5.603433996956152e-09,1.8518785842833824e-08
test,sigma_T,7582,0.07016274925594089,0.03643400855883229,7582,0.07016275779036485,0.03643402677543646,-8.534423959205562e-09,-1.8216604169563055e-08,1.2163752149972586e-07,4.999887682424538e-07
test,yF,7582,0.11906187359537071,0.07056790862288459,7582,0.12235731782178053,0.06972551372946802,-0.003295444226409816,0.0008423948934165731,0.026932955748587045,-0.012081587475784387
test,yN,7582,0.08883759322195571,0.05610310990462609,7582,0.09553779330623863,0.05668835822061447,-0.006700200084282917,-0.0005852483159883848,0.07013140928225096,0.010323959528176312
test,yT,7582,0.18648818542004314,0.11058432846451711,7582,0.19602270025747787,0.10757628101310136,-0.009534514837434727,0.003008047451415752,0.04863985051175727,-0.02796199518227825
train,all,50000,0.11111921072150194,0.05944335930294461,50000,0.1248449298433782,0.06123490618368968,-0.013725719121876256,-0.0017915468807450721,0.10994214293760743,0.02925695477299943
train,delta_yF,50000,0.16519746558806145,0.09518251770019531,50000,0.2022009018635997,0.11186797377765179,-0.03700343627553826,-0.016685456077456473,0.18300331964147204,0.1491531089194518
train,delta_yN,50000,0.06838661671314547,0.02497771265029907,50000,0.07934493873418755,0.02274239585697651,-0.010958322021042077,0.0022353167933225615,0.13810990588515556,-0.09828853597396382
train,delta_yT,50000,0.2616813750132183,0.1668471925354004,50000,0.32030509859264245,0.17999399881690742,-0.058623723579424136,-0.013146806281507023,0.18302463444074177,0.073040247830041
train,sigma_F,50000,0.03738700342553228,0.016939872283935547,50000,0.037445020556455356,0.016813713578448436,-5.801713092307842e-05,0.00012615870548711092,0.001549395088076044,-0.0075033219103255834
train,sigma_N,50000,0.05286351197257995,0.010948922004699707,50000,0.05286352825944245,0.010948915025412181,-1.6286862497549848e-08,6.979287526381883e-09,3.080926119349724e-07,-6.374410167750062e-07
train,sigma_T,50000,0.05769523706347287,0.027418987312316893,50000,0.05769523115147189,0.02741898964176952,5.912000979046983e-09,-2.3294526273198723e-09,-1.0246949117034882e-07,8.495763913091941e-08
train,yF,50000,0.11915588209173959,0.06475785690307617,50000,0.12257975664877176,0.0639690606841445,-0.003423874557032164,0.0007887962189316727,0.027931810689122222,-0.012330902009433216
train,yN,50000,0.0436145021991174,0.01815273920059204,50000,0.04674666921357769,0.012769173685014248,-0.0031321670144602853,0.005383565515577792,0.06700299865536814,-0.42160641309906227
train,yT,50000,0.19409130242665007,0.10976443313598633,50000,0.2044232235702551,0.1045899345868826,-0.010331921143605038,0.005174498549103734,0.05054181693820232,-0.049474154176904005
validation,all,7079,0.13707885394519628,0.08131683363560255,7079,0.15285879993141757,0.08700496754554611,-0.01577994598622129,-0.005688133909943563,0.103232172392438,0.06537711662228814
validation,delta_yF,7079,0.1705191210161621,0.1067898046130059,7079,0.20865455511896802,0.12637161249738238,-0.038135434102805926,-0.01958180788437648,0.18276827975819818,0.1549541665046182
validation,delta_yN,7079,0.13555763405698157,0.08119400720640771,7079,0.15875524487033807,0.09300383590745932,-0.0231976108133565,-0.011809828701051614,0.14612185463417565,0.12698216784093325
validation,delta_yT,7079,0.26893619477746017,0.17973477012913414,7079,0.3293605282824525,0.20399671741411973,-0.06042433350499232,-0.024261947284985597,0.18345954756659158,0.1189330279061946
validation,sigma_F,7079,0.04959372427887544,0.022277916230493928,7079,0.049685549207374356,0.022243895153124468,-9.182492849891394e-05,3.4021077369460195e-05,0.0018481214349802383,-0.0015294568300768788
validation,sigma_N,7079,0.11939878093424948,0.052417520716258034,7079,0.11939879356576141,0.05241752965408295,-1.263151193364731e-08,-8.937824917676362e-09,1.0579262617666432e-07,1.7051213547565895e-07
validation,sigma_T,7079,0.07981834580011898,0.042010034506461395,7079,0.0798183286950686,0.04201006240027146,1.710505038998722e-08,-2.789381006729208e-08,-2.1429978138647771e-07,6.639792581482058e-07
validation,yF,7079,0.12262101365684949,0.07329667424529197,7079,0.12597896583275048,0.07259873645060445,-0.0033579521759009856,0.0006979377946875198,0.026654863799715572,-0.009613635564613313
validation,yN,7079,0.0885697338946867,0.05345823360981451,7079,0.09483473592883976,0.053117398770957835,-0.006265002034153061,0.00034083483885667676,0.06606231327363078,-0.006416632718148647
validation,yT,7079,0.19869513709138262,0.12067254146355527,7079,0.20924249788120478,0.11728491966191246,-0.010547360789822158,0.003387621801642815,0.05040735460828952,-0.02888369460803684
