epoch,train_loss,validation_loss,validation_rmse_all,validation_mae_all,validation_selection_objective,validation_blend_selection_metric,epoch_seconds,best_validation_loss,best_validation_objective
1,-1.0282875923005128,-1.4904433428727566,0.1516037185356786,0.08735198805163073,0.9978888949263236,balanced,0.7032951210021565,-1.4904433428727566,0.9978888949263236
2,-2.058306038478242,-1.3682651404759223,0.14818698988932621,0.0859957329155996,0.9789186761677324,balanced,0.610795484000846,-1.3682651404759223,0.9789186761677324
3,-2.122507822985245,-1.4414087532940414,0.14336754024419088,0.0842167423702922,0.9529307923002384,balanced,0.6084629310025775,-1.4414087532940414,0.9529307923002384
4,-2.1924447743068263,-1.4872524676172725,0.1341666768600768,0.07981537515956069,0.8975410668376416,balanced,0.6087983370016445,-1.4872524676172725,0.8975410668376416
5,-2.2808967621705687,-1.5549862672589159,0.12379821458141989,0.07467705880397552,0.834097035960985,balanced,0.6109918180009117,-1.5549862672589159,0.834097035960985
6,-2.365498191752603,-1.625685931060388,0.11846577486848828,0.0723041226306986,0.803017879661376,balanced,0.6093742510020093,-1.625685931060388,0.803017879661376
7,-2.4146963968927344,-1.6715105251667106,0.1170784695062587,0.07101680399778003,0.7910820535812317,balanced,0.6076190430030692,-1.6715105251667106,0.7910820535812317
8,-2.437187098871711,-1.60690164235979,0.1164401289780699,0.07025111879608402,0.7845938080324126,balanced,0.6088055030013493,-1.60690164235979,0.7845938080324126
9,-2.446380014136345,-1.6253500688141695,0.11535530661252309,0.07030103659850985,0.7813322296690298,balanced,0.6117190589975507,-1.6253500688141695,0.7813322296690298
10,-2.4566229266464057,-1.6277554472517641,0.11538717888354941,0.0705787591152386,0.7830324989193307,balanced,0.6246857119986089,-1.6253500688141695,0.7813322296690298
11,-2.4639500795157314,-1.6117909360629115,0.11572394332496515,0.07003179528825454,0.7809907621139094,balanced,0.6620680590021948,-1.6117909360629115,0.7809907621139094
12,-2.4654711120232715,-1.6175327309445315,0.11563647283699321,0.07033913621002694,0.7824708730852298,balanced,0.6460798870029976,-1.6117909360629115,0.7809907621139094
13,-2.478258990613982,-1.6150259546749268,0.11529966344438641,0.07033106954823994,0.7813228145836564,balanced,0.6469179779996921,-1.6117909360629115,0.7809907621139094
14,-2.4892384889698818,-1.6504391480138838,0.11427579234596702,0.07033140308202718,0.7779756565716871,balanced,0.6520151859986072,-1.6504391480138838,0.7779756565716871
15,-2.5009110867675064,-1.5969232832716926,0.11428996617263452,0.06980637788072794,0.7750048051167089,balanced,0.6439233600031002,-1.5969232832716926,0.7750048051167089
16,-2.5160022657458345,-1.5751474267059942,0.113828893389165,0.07010131994366797,0.7751916120115544,balanced,0.6476129279981251,-1.5969232832716926,0.7750048051167089
17,-2.5374528125009292,-1.6182745175941597,0.11362750045315624,0.06994060598026947,0.7736092664802676,balanced,0.6417029209987959,-1.6182745175941597,0.7736092664802676
18,-2.564738770295241,-1.6142254239473155,0.11335026848036933,0.06972111133467006,0.7714410512977583,balanced,0.6512438060017303,-1.6142254239473155,0.7714410512977583
19,-2.605191102447198,-1.5605885328453701,0.11300616598841311,0.06981894516798565,0.7708777259080782,balanced,0.6451590760007093,-1.5605885328453701,0.7708777259080782
20,-2.656967070537895,-1.5694554486270005,0.1137571000502192,0.07055632517346817,0.7775715998160313,balanced,0.6523175639995316,-1.5605885328453701,0.7708777259080782
