calibration_version,target_event,split,rollout_horizon_months,score_column,threshold,rows,positive_rows,positive_rate,predicted_positive_rows,predicted_positive_rate,tn,fp,fn,tp,precision,recall,specificity,macro_f1,fbeta,pr_auc,roc_auc,brier
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,1,rollout_probability_bloom_calibrated,0.15714285714285714,4673,852,0.18232398887224482,1274,0.2726300021399529,3208,613,191,661,0.5188383045525903,0.7758215962441315,0.8395707929861292,0.7552338413990614,0.705894916702264,0.6405089968472603,0.9041393743249868,0.09457211554271006
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,2,rollout_probability_bloom_calibrated,0.14482758620689654,4710,863,0.18322717622080678,1729,0.3670912951167728,2870,977,111,752,0.4349334875650665,0.8713789107763615,0.7460358721081362,0.710451517715724,0.7257286238177957,0.5879222527378468,0.8849890104130742,0.10157155335938933
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,3,rollout_probability_bloom_calibrated,0.140625,4757,883,0.18562118982552028,1840,0.38679840235442503,2809,1065,108,775,0.421195652173913,0.8776896942242356,0.725090345895715,0.6982482539781081,0.7213328369322412,0.5592765943144244,0.875683112026572,0.10562814498157304
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,1,rollout_probability_bloom_calibrated,0.15714285714285714,3049,410,0.13447031813709412,814,0.26697277795998686,2157,482,78,332,0.40786240786240785,0.8097560975609757,0.8173550587343691,0.7137941484896516,0.6764466177669112,0.5734763335609759,0.9002943650126156,0.07489375126728559
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,2,rollout_probability_bloom_calibrated,0.14482758620689654,3158,441,0.1396453451551615,1152,0.3647878404053198,1945,772,61,380,0.3298611111111111,0.8616780045351474,0.7158630842841369,0.6503581530406624,0.6515775034293553,0.5466093036095465,0.8786989952403487,0.08175428216295572
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,3,rollout_probability_bloom_calibrated,0.140625,3184,457,0.14353015075376885,1207,0.3790829145728643,1916,811,61,396,0.328086164043082,0.8665207877461707,0.7026035936927026,0.6452936944008372,0.6523887973640858,0.5052956752422442,0.866796015852497,0.08820115338985059
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,1,alert_probability_irc,0.109375,6145,2549,0.41480878763222134,3786,0.6161106590724166,2237,1359,122,2427,0.6410459587955626,0.952138093369949,0.6220800889877642,0.7587604216575646,0.867901587755686,0.9012800498046621,0.9254051077196188,0.1059335607741304
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,2,alert_probability_irc,0.125,6145,2661,0.43303498779495525,4466,0.7267697314890155,1596,1888,83,2578,0.5772503358710255,0.9688087185268696,0.4580941446613088,0.6708456282534676,0.8530774321641297,0.8629737369842704,0.8906524851244599,0.13285471308609642
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,3,alert_probability_irc,0.1640625,6145,2733,0.44475183075671276,4644,0.7557363710333604,1434,1978,67,2666,0.5740740740740741,0.9754848152213684,0.42028135990621335,0.6532722095931869,0.8558038007190549,0.8547439265765092,0.8788942644050464,0.14243390523291294
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,1,alert_probability_irc,0.109375,5069,2232,0.44032353521404616,3375,0.6658117971986585,1583,1254,111,2121,0.6284444444444445,0.9502688172043011,0.5579837856891082,0.7276481533373506,0.861984881736162,0.8702612265293851,0.9029380700244971,0.12162643796853423
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,2,alert_probability_irc,0.125,5069,2267,0.4472282501479582,3881,0.7656342473860722,1104,1698,84,2183,0.5624838959031178,0.9629466254962505,0.39400428265524623,0.6317665504033343,0.8429222333770947,0.8216978186140718,0.8597659463732976,0.15071506616890043
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,3,alert_probability_irc,0.1640625,5069,2270,0.4478200828565792,4030,0.7950286052475833,966,1833,73,2197,0.5451612903225806,0.9678414096916299,0.34512325830653806,0.6004237491418314,0.8379099923722348,0.7909842630368411,0.829674931103462,0.16819893525982071
