split,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,all,378557,0.11903398066094084,0.07370824970452462,-2.8905678577895966,0.9540990891434813,0.3529579647618832
train,yN,378557,0.03995232651914475,0.009173886058624386,-4.3415516535825684,0.9866413776525067,0.06063458479143848
train,yF,378557,0.08162687029747845,0.03006533964468467,-3.2458764588653013,0.9560330412593083,0.1758634228136345
train,yT,378557,0.36393715352999884,0.3121882141472988,-0.5131828064787606,0.9085765155577628,1.2237741850756623
train,sigma_N,378557,0.04122226286682951,0.005243056400966277,-4.385213926341896,0.9909683350195612,0.0644392315963899
train,sigma_F,378557,0.045884957322062866,0.012699038479860513,-3.262380580653048,0.9842533621092728,0.15572830487710645
train,sigma_T,378557,0.11182015653482091,0.08329062825038645,-1.939414344832561,0.9153839448220479,0.3301276619613468
train,delta_yN,378557,0.0391095989413751,0.009839044288259565,-4.3087633329369455,0.9873387627226548,0.06397467392870224
train,delta_yF,378557,0.08004392244212122,0.03341375556264821,-3.194853146297385,0.9629593429787324,0.20156487937984505
train,delta_yT,378557,0.26770857749463595,0.1674612845079927,-0.8238744701179052,0.8947371201694857,0.9005147384328227
validation,all,22087,0.13451948723263774,0.08218267392225354,-2.568861409831903,0.9446230311445145,0.40369778539454815
validation,yN,22087,0.06640931052596642,0.025202878405478194,-3.54613078118191,0.9256576266582153,0.09349645829737233
validation,yF,22087,0.08413754958629296,0.03452782461014654,-3.337523021310259,0.9868701045864083,0.268803045760135
validation,yT,22087,0.35005708573145916,0.29932758419209404,-0.5515502730722894,0.922307239552678,1.2250723103699293
validation,sigma_N,22087,0.08526779586403486,0.01969647179767351,-2.9962263253673505,0.9703898220672794,0.09798318200822316
validation,sigma_F,22087,0.04892513176679256,0.014611799342271648,-3.257674120116613,0.994159460316023,0.22261964293049133
validation,sigma_T,22087,0.14373764406732148,0.10287477520315613,-1.8065615752567263,0.8969076832525921,0.40113424001577924
validation,delta_yN,22087,0.06464570488899234,0.025853418637872116,-3.651911808894231,0.9330375333906823,0.09697418275067064
validation,delta_yF,22087,0.08377825202052801,0.038029022137349204,-3.2085733693922047,0.9930728482817948,0.3128782897471151
validation,delta_yT,22087,0.28371691064235194,0.17952029097424035,-0.7636014138955466,0.8792049621949564,0.9143187166712178
test,all,17420,0.13594043089319363,0.08399649346448097,-2.3102110409070558,0.9390611047327465,0.45124647795264394
test,yN,17420,0.08340544725063363,0.0364452842729921,-2.9880687183682326,0.8964408725602755,0.12605749014187626
test,yF,17420,0.091030589044551,0.04138963969785776,-3.0058453250013453,0.9822617680826636,0.359449378713264
test,yT,17420,0.335376559688241,0.2893342220687428,-0.5855233473837992,0.9380597014925374,1.2136117508162314
test,sigma_N,17420,0.09624982392778761,0.027819940608623518,-2.6469710164995335,0.9491963260619977,0.13213077461952183
test,sigma_F,17420,0.05149793990389392,0.0174741983687426,-2.9901884199420565,0.9929965556831228,0.29031206474785964
test,sigma_T,17420,0.1576449060829557,0.11352861975966584,-1.6496311262198622,0.8742250287026406,0.47263394518916835
test,delta_yN,17420,0.0813535162032612,0.03705092845088989,-3.1301039650848073,0.9059701492537313,0.1305727944445254
test,delta_yF,17420,0.09101462211835867,0.04593450275819693,-2.87457768016513,0.9895522388059701,0.4206449580931636
test,delta_yT,17420,0.23589047381905973,0.14699110519461736,-0.9209897694987353,0.9228473019517796,0.9158051448081856
