split,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,all,50000,0.1467090358181426,0.08526031007554796,-0.7323120213487413,0.971451111111111,1.4069191851128473
train,yN,50000,0.04409739991133059,0.00672360595703125,-0.9976459020996093,0.99976,1.2062115576171875
train,yF,50000,0.08903952083283917,0.028392930603027344,-0.6909228399658203,0.99976,1.6233044921875
train,yT,50000,0.3812218878715628,0.3358302105712891,-0.4478174597167969,0.84192,1.1119193701171874
train,sigma_N,50000,0.04270533560800207,0.005452340469360352,-0.6406614929199219,1.0,1.7290577319335938
train,sigma_F,50000,0.04527179104803857,0.012583083114624024,-0.5186665356445312,1.0,1.9532218530273437
train,sigma_T,50000,0.2055641148179889,0.14658946960449218,-0.796385082397461,0.99468,1.3121515161132813
train,delta_yN,50000,0.07334536079552564,0.011692320404052735,-0.9963675366210938,0.99682,1.1938856030273437
train,delta_yF,50000,0.1454939113535917,0.04900006561279297,-0.7914740051269531,0.99194,1.4126212939453124
train,delta_yT,50000,0.2936420001244041,0.17107876434326172,-0.7108673376464844,0.91818,1.119899248046875
validation,all,20000,0.16651842818592427,0.09831801030900744,-0.7115802234225803,0.9733111111111111,1.4214628099229598
validation,yN,20000,0.07199436095460592,0.02406529541015625,-0.9752263244628906,0.9995,1.221059765625
validation,yF,20000,0.0916584322149684,0.03411961822509765,-0.684591845703125,0.99985,1.6333692993164062
validation,yT,20000,0.3672735396203672,0.324574560546875,-0.49040552673339843,0.8767,1.127776251220703
validation,sigma_N,20000,0.08541876912824702,0.01970307273864746,-0.6222652282714843,1.0,1.745576904296875
validation,sigma_F,20000,0.048955458969257196,0.014671000480651855,-0.5118387969970704,1.0,1.9662850830078125
validation,sigma_T,20000,0.2469713197960825,0.17993890914916993,-0.7344617263793946,0.99265,1.3276701538085938
validation,delta_yN,20000,0.11972400477105838,0.04154605407714844,-0.953943212890625,0.9935,1.2094610290527343
validation,delta_yF,20000,0.15039518179987738,0.05827191772460937,-0.7807626342773437,0.9935,1.4274411743164062
validation,delta_yT,20000,0.3162747864188544,0.18797166442871094,-0.6507267150878906,0.9041,1.1345256286621093
test,all,17420,0.17409691533439126,0.10439040431837629,-0.7065044195284906,0.977025130756474,1.4321131004881442
test,yN,17420,0.09068556100542187,0.036437968134743204,-0.9548773081239685,0.9986796785304248,1.2343140279110756
test,yF,17420,0.09907833185221333,0.04070764973024003,-0.6761494160245946,0.9997129735935706,1.6426890604257858
test,yT,17420,0.3667677081537552,0.3240027829508557,-0.49433030348557694,0.8908725602755454,1.1367368853598594
test,sigma_N,17420,0.09624982392778761,0.027819940608623518,-0.6130905028736277,1.0,1.7562085577595794
test,sigma_F,17420,0.05149793990389392,0.0174741983687426,-0.5044961712527357,1.0,1.9801675684827067
test,sigma_T,17420,0.2657507462691383,0.19661688996237264,-0.7021910683843217,0.9900688863375431,1.3358156329044382
test,delta_yN,17420,0.1493525653848267,0.06141123722396132,-0.9186258975181185,0.9898392652123995,1.2200109891311173
test,delta_yF,17420,0.16306219627385857,0.069007697034238,-0.7646611350548937,0.9917336394948335,1.435780567471387
test,delta_yT,17420,0.2844273652386258,0.1660352748516096,-0.7301179730385782,0.9323191733639495,1.1472946149473486
