split,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
test,all,17420,0.17409691533439126,0.10439040431837629,17420,0.19629651924743374,0.12986079666957837,-0.022199603913042487,-0.025470392351202076,0.11309219337231173,0.19613611655263205
test,delta_yF,17420,0.16306219627385857,0.069007697034238,17420,0.1630622050559579,0.06900768979213148,-8.782099325532755e-09,7.2421065117067585e-09,5.385735659909058e-08,-1.0494636950638117e-07
test,delta_yN,17420,0.1493525653848267,0.06141123722396132,17420,0.14935259401327203,0.06141122394188189,-2.8628445336575936e-08,1.3282079429355331e-08,1.9168361638253103e-07,-2.1628097563932566e-07
test,delta_yT,17420,0.2844273652386258,0.1660352748516096,17420,0.28442734997570734,0.16603524404047254,1.5262918429126415e-08,3.081113705838412e-08,-5.366192256275638e-08,-1.8556986040188935e-07
test,sigma_F,17420,0.05149793990389392,0.0174741983687426,17420,0.05149794458534569,0.017474223848094387,-4.681451774846135e-09,-2.5479351788149085e-08,9.090560434092147e-08,1.4581106439773393e-06
test,sigma_N,17420,0.09624982392778761,0.027819940608623518,17420,0.09624982610397069,0.027819951371538407,-2.1761830809596816e-09,-1.0762914889189679e-08,2.260973519691279e-08,3.8687755939792297e-07
test,sigma_T,17420,0.2657507462691383,0.19661688996237264,17420,0.42287995520194344,0.3878072453409139,-0.15712920893280513,-0.19119035537854123,0.3715692999867283,0.49300356730176476
test,yF,17420,0.09907833185221333,0.04070764973024003,17420,0.09907832230036724,0.04070776553874907,9.551846091859773e-09,-1.1580850904635565e-07,-9.640702295000779e-08,2.8448751120009123e-06
test,yN,17420,0.09068556100542187,0.036437968134743204,17420,0.0906855726973068,0.03643796115919285,-1.1691884932440999e-08,6.975550352616988e-09,1.28927728906411e-07,-1.9143635183488146e-07
test,yT,17420,0.3667677081537552,0.3240027829508557,17420,0.4094349032930327,0.3620458649932308,-0.042667195139277525,-0.03804308204237511,0.10420996059718093,0.10507807358354003
train,all,50000,0.1467090358181426,0.08526031007554796,50000,0.1766936958362477,0.11955228979899887,-0.029984660018105097,-0.03429197972345091,0.16969852759146326,0.2868366618582162
train,delta_yF,50000,0.1454939113535917,0.04900006561279297,50000,0.14549395263671175,0.049000090780423215,-4.128312006135282e-08,-2.5167630243738692e-08,2.837445770989114e-07,5.136241554432752e-07
train,delta_yN,50000,0.07334536079552564,0.011692320404052735,50000,0.07334537244963371,0.011692319229771523,-1.165410806747147e-08,1.1742812121989799e-09,1.58893569945048e-07,-1.0043184667837077e-07
train,delta_yT,50000,0.2936420001244041,0.17107876434326172,50000,0.2936419596811074,0.17107872838440605,4.044329671160085e-08,3.5958855670870093e-08,-1.3772996459879888e-07,-2.1018893471122953e-07
train,sigma_F,50000,0.04527179104803857,0.012583083114624024,50000,0.04527181381522371,0.012583105363617595,-2.276718513716247e-08,-2.224899357111676e-08,5.028997784380018e-07,1.7681639728970892e-06
train,sigma_N,50000,0.04270533560800207,0.005452340469360352,50000,0.04270533972418152,0.005452341876563808,-4.11617945283993e-09,-1.407203456191275e-09,9.638559204597966e-08,2.5809156653216456e-07
train,sigma_T,50000,0.2055641148179889,0.14658946960449218,50000,0.44749677784125014,0.4257987451845361,-0.24193266302326125,-0.27920927558004394,0.5406355419816834,0.6557306209510739
