split,target,rows,rmse,mae
train,all,378557,0.17640008204618324,0.11934338341007909
train,yN,378557,0.04348358174627022,0.006663063825571275
train,yF,378557,0.08936965373702793,0.02849713672224933
train,yT,378557,0.4083200936562149,0.364318546551222
train,sigma_N,378557,0.04122226605749145,0.005243058703222287
train,sigma_F,378557,0.04588496612695152,0.01269906253216614
train,sigma_T,378557,0.4472246099812921,0.42535126738382134
train,delta_yN,378557,0.07282056873303237,0.01164747379480895
train,delta_yF,378557,0.14689128304428692,0.04906364164059999
train,delta_yT,378557,0.2923837153330817,0.17060719953705067
validation,all,22087,0.19146598129617817,0.12659679991900577
validation,yN,22087,0.07188778284957195,0.02407862550210902
validation,yF,22087,0.0914036280320771,0.03401176659484653
validation,yT,22087,0.40729358233166885,0.35806381733673304
validation,sigma_N,22087,0.08526782862026627,0.01969648484265973
validation,sigma_F,22087,0.048925153751488946,0.014611831893657161
validation,sigma_T,22087,0.4329137843591967,0.40196889551909565
validation,delta_yN,22087,0.12002908976697779,0.041589937017229725
validation,delta_yF,22087,0.1499019871545891,0.05795078672068996
validation,delta_yT,22087,0.3155709947997667,0.1873990538440312
test,all,17420,0.19629651924743374,0.12986079666957837
test,yN,17420,0.0906855726973068,0.03643796115919285
test,yF,17420,0.09907832230036724,0.04070776553874907
test,yT,17420,0.4094349032930327,0.3620458649932308
test,sigma_N,17420,0.09624982610397069,0.027819951371538407
test,sigma_F,17420,0.05149794458534569,0.017474223848094387
test,sigma_T,17420,0.42287995520194344,0.3878072453409139
test,delta_yN,17420,0.14935259401327203,0.06141122394188189
test,delta_yF,17420,0.1630622050559579,0.06900768979213148
test,delta_yT,17420,0.28442734997570734,0.16603524404047254
