split,target,rows,rmse,mae
train,all,50000,0.1766936958362477,0.11955228979899887
train,yN,50000,0.04409740123796336,0.006723606904192834
train,yF,50000,0.08903953751089597,0.02839298752297269
train,yT,50000,0.4091511076292619,0.365248682944506
train,sigma_N,50000,0.04270533972418152,0.005452341876563808
train,sigma_F,50000,0.04527181381522371,0.012583105363617595
train,sigma_T,50000,0.44749677784125014,0.4257987451845361
train,delta_yN,50000,0.07334537244963371,0.011692319229771523
train,delta_yF,50000,0.14549395263671175,0.049000090780423215
train,delta_yT,50000,0.2936419596811074,0.17107872838440605
validation,all,20000,0.1917110980851234,0.12683141070328657
validation,yN,20000,0.0719943624193634,0.024065298495311558
validation,yF,20000,0.09165845396701444,0.03411968401979916
validation,yT,20000,0.4077739239263032,0.3586977368596336
validation,sigma_N,20000,0.08541881804359959,0.019703083917398945
validation,sigma_F,20000,0.04895546488242562,0.0146710340782426
validation,sigma_T,20000,0.4332048534953644,0.40243608287710947
validation,delta_yN,20000,0.11972402549391038,0.04154604714676503
validation,delta_yF,20000,0.15039517413237022,0.05827202172401923
validation,delta_yT,20000,0.31627480640575917,0.18797170721129952
test,all,17420,0.19629651924743374,0.12986079666957837
test,yN,17420,0.0906855726973068,0.03643796115919285
test,yF,17420,0.09907832230036724,0.04070776553874907
test,yT,17420,0.4094349032930327,0.3620458649932308
test,sigma_N,17420,0.09624982610397069,0.027819951371538407
test,sigma_F,17420,0.05149794458534569,0.017474223848094387
test,sigma_T,17420,0.42287995520194344,0.3878072453409139
test,delta_yN,17420,0.14935259401327203,0.06141122394188189
test,delta_yF,17420,0.1630622050559579,0.06900768979213148
test,delta_yT,17420,0.28442734997570734,0.16603524404047254
