calibration_version,target_event,split,rollout_horizon_months,score_column,threshold,rows,positive_rows,positive_rate,predicted_positive_rows,predicted_positive_rate,tn,fp,fn,tp,precision,recall,specificity,macro_f1,fbeta,pr_auc,roc_auc,brier
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,1,rollout_probability_bloom_calibrated,0.1,461,60,0.1301518438177874,454,0.9848156182212582,5,396,2,58,0.1277533039647577,0.9666666666666667,0.012468827930174564,0.12509536888685435,0.41786743515850144,0.18889126459190003,0.5996674979218619,0.1128450752153758
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,2,rollout_probability_bloom_calibrated,0.10843373493975904,460,62,0.13478260869565217,453,0.9847826086956522,7,391,0,62,0.1368653421633554,1.0,0.017587939698492462,0.13767230013184706,0.442225392296719,0.21090485052522573,0.5927621980872103,0.11468942218952585
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,3,rollout_probability_bloom_calibrated,0.15920398009950248,467,62,0.13276231263383298,332,0.7109207708779444,120,285,15,47,0.14156626506024098,0.7580645161290323,0.2962962962962963,0.341511562323745,0.4051724137931034,0.16649949499226407,0.5608124253285544,0.11473949580974928
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,1,rollout_probability_bloom_calibrated,0.1,445,57,0.12808988764044943,443,0.9955056179775281,2,386,0,57,0.12866817155756208,1.0,0.005154639175257732,0.11912820512820513,0.4247391952309985,0.14856635448760397,0.5534680774100199,0.11089379181373951
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,2,rollout_probability_bloom_calibrated,0.10843373493975904,451,66,0.14634146341463414,449,0.9955654101995566,2,383,0,66,0.14699331848552338,1.0,0.005194805194805195,0.133323298462156,0.4628330995792427,0.17250820175819206,0.5737898465171193,0.12366084526270736
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,3,rollout_probability_bloom_calibrated,0.15920398009950248,460,68,0.14782608695652175,306,0.6652173913043479,140,252,14,54,0.17647058823529413,0.7941176470588235,0.35714285714285715,0.4007952831482243,0.46712802768166095,0.18727407489175604,0.5994522809123648,0.12371256672196547
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,1,alert_probability_irc,0.046875,512,173,0.337890625,504,0.984375,5,334,3,170,0.3373015873015873,0.9826589595375722,0.014749262536873156,0.26551705055785185,0.7107023411371237,0.5310631501713282,0.6394700496189063,0.21685504913330078
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,2,alert_probability_irc,0.09375,512,178,0.34765625,506,0.98828125,4,330,2,176,0.34782608695652173,0.9887640449438202,0.011976047904191617,0.2690746474028208,0.7224958949096881,0.5374205229604472,0.6016954854336272,0.21283769607543945
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,3,alert_probability_irc,0.1328125,512,181,0.353515625,506,0.98828125,4,327,2,179,0.35375494071146246,0.988950276243094,0.012084592145015106,0.2724225657505432,0.7276422764227642,0.5007994234982097,0.5777319690874797,0.2235114574432373
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,1,alert_probability_irc,0.046875,512,184,0.359375,506,0.98828125,6,322,0,184,0.36363636363636365,1.0,0.018292682926829267,0.28463073852295406,0.7407407407407408,0.5464816172039704,0.6392000265111346,0.21347832679748535
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,2,alert_probability_irc,0.09375,512,179,0.349609375,506,0.98828125,6,327,0,179,0.35375494071146246,1.0,0.018018018018018018,0.27901298365738647,0.7324058919803601,0.5313366039232373,0.6512909557602294,0.20982623100280762
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,3,alert_probability_irc,0.1328125,512,180,0.3515625,507,0.990234375,5,327,0,180,0.35502958579881655,1.0,0.015060240963855422,0.2768455288766797,0.7334963325183373,0.47072574181579774,0.5978915662650602,0.22369623184204102
