split,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,all,112470,0.1401022432987274,0.09129981140332762,-1.726750921797703,0.9283156990012151,0.4479194176745502
train,yN,112470,0.07150867128259955,0.02576682695846849,-2.5413122796287344,0.9448830799324264,0.1791691695042289
train,yF,112470,0.1480437425123291,0.09622435625303032,-1.4196523282944897,0.900355650395661,0.4872717859311094
train,yT,112470,0.302270533830342,0.25339038516824974,-0.6958373288106863,0.9100382324175336,0.9891174669147884
train,sigma_N,112470,0.07475570751392759,0.01735868690553809,-2.543576585971971,0.9645060905130257,0.18316230044700288
train,sigma_F,112470,0.08076570859602736,0.04386775913138469,-1.956666745246649,0.9445985596158976,0.29132287870081325
train,sigma_T,112470,0.13331828640649393,0.10064705711073735,-1.512215091667674,0.9426513736996532,0.4538725669727205
train,delta_yN,112470,0.07234499319451265,0.03158196978137855,-2.4889096282880296,0.9452120565484129,0.1876727997149066
train,delta_yF,112470,0.14709239649111197,0.1009116239862314,-1.422058610160626,0.9045701075842447,0.4885685168171582
train,delta_yT,112470,0.2308201498612023,0.15194963733492994,-0.9605296981104684,0.8980261403040811,0.7711172740682237
validation,all,7079,0.1631807400779172,0.11156055245487267,-0.7550897712178823,0.8677622388598514,0.48013150180616004
validation,yN,7079,0.11505757600109455,0.07292821673724523,-0.4309486144510833,0.7276451476197203,0.21064746876627835
validation,yF,7079,0.14354741104924795,0.10003451301411967,-1.431902337266254,0.919762678344399,0.5164953308062359
validation,yT,7079,0.2979371512536787,0.2440498762673654,-0.708752331044617,0.9167961576493855,1.0165211881919674
validation,sigma_N,7079,0.14587030030826334,0.058681665865912544,1.610505180719933,0.8975844045769177,0.2157036611161203
validation,sigma_F,7079,0.0822053028821964,0.04466137951385977,-1.9480837323366207,0.9663794321231812,0.3170812407158276
validation,sigma_T,7079,0.17518481105134717,0.13265949286449966,-1.0661983562738382,0.8550642746150586,0.4860945075291465
validation,delta_yN,7079,0.11804779895003782,0.07750668440149369,-0.5131097118099087,0.7334369261195084,0.21997228095147178
validation,delta_yF,7079,0.14323874920556093,0.10245507018413562,-1.4269507729176967,0.9225879361491736,0.523141601493524
validation,delta_yT,7079,0.247537559999828,0.17106807324522244,-0.8803672655808553,0.8706031925413193,0.815526236684869
test,all,7582,0.15246036202068436,0.10458688007268535,-0.900998669788152,0.8857088425803804,0.49144238326330036
test,yN,7582,0.12439307039407542,0.08168451102419536,-0.3797620261636833,0.7367449221841202,0.22533751024604945
test,yF,7582,0.1365371684499658,0.09380374788703405,-1.4588941183168194,0.9257451859667634,0.5257441249757856
test,yT,7582,0.2807822383230713,0.22469233032645164,-0.7593387653066062,0.9283830123977842,1.0186780297136722
test,sigma_N,7582,0.1450513958042241,0.06344136384256091,0.8785673688376872,0.8725929833816934,0.2290568350487792
test,sigma_F,7582,0.0748176677611355,0.04051207489842823,-1.9706787817775653,0.9754682141915062,0.3262580583794266
test,sigma_T,7582,0.1334746869143452,0.10594112041033657,-1.477540447101276,0.9394618834080718,0.49557074906800236
test,delta_yN,7582,0.12709050615380446,0.08669113766955247,-0.48273418711282684,0.7351622263255078,0.23399398107385297
test,delta_yF,7582,0.13711362280614808,0.09735971590171418,-1.4451517574518598,0.9319440780796624,0.535335684665367
test,delta_yT,7582,0.21288290157938944,0.14715591869389466,-1.0134553137004172,0.9258770772883145,0.8330064761987684
