split,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,all,50000,0.19834467732972014,0.13025304200490317,-0.688930142042372,0.9772400000000001,1.4190933040364584
train,yN,50000,0.07901957315301178,0.02207478675842285,-1.0242957580566405,0.99912,1.153737412109375
train,yF,50000,0.16306199803244023,0.09524033798217774,-0.7342913439941406,0.99722,1.4775804223632814
train,yT,50000,0.36954090834530595,0.30651819580078127,-0.4836425161743164,0.91078,1.1084228991699219
train,sigma_N,50000,0.0750857452113867,0.01742914077758789,-0.6001973156738282,1.0,1.7892078979492188
train,sigma_F,50000,0.08316318994210381,0.042274657669067385,-0.4674543914794922,1.0,2.0429961181640626
train,sigma_T,50000,0.3170798862051011,0.29026121337890626,-0.5668740307617187,0.9985,1.4247070288085937
train,delta_yN,50000,0.13261114432677257,0.04765622127532959,-1.03041580078125,0.98638,1.0890936096191406
train,delta_yF,50000,0.25675789272876426,0.1614543505859375,-0.6405396600341797,0.97722,1.4699203051757812
train,delta_yT,50000,0.308781758022595,0.18936847381591798,-0.6526604614257813,0.92594,1.21617404296875
validation,all,7079,0.21440541650804523,0.1469906614462587,-0.6692578327904461,0.9770840200279386,1.4456558549666658
validation,yN,7079,0.12581644332560463,0.07366127448493535,-0.9618567779148715,0.9971747421952253,1.183059513476259
validation,yF,7079,0.15767993086542156,0.10258984393968405,-0.7287510660243988,0.9997174742195225,1.4952101671758016
validation,yT,7079,0.3290722500700135,0.2612178526047277,-0.6116204884854191,0.925554456844187,1.1364655217842827
validation,sigma_N,7079,0.14587030030826334,0.058681665865912544,-0.5572623489839005,1.0,1.82013354171449
validation,sigma_F,7079,0.08555208816847973,0.044358504190672624,-0.45605604115440473,1.0,2.0661097910633566
validation,sigma_T,7079,0.2885770940787076,0.2603412924016292,-0.6055493829681099,0.9988698968780901,1.4519646681370515
validation,delta_yN,7079,0.20602694125349877,0.12820920420157772,-0.8946652359200629,0.972312473513208,1.1213083171561573
validation,delta_yF,7079,0.24968189144583905,0.17118103441199875,-0.6379107073684048,0.9848848707444554,1.4958472641902987
validation,delta_yT,7079,0.3413718090565786,0.2226752809151904,-0.5696484462944427,0.9152422658567594,1.2408039100022956
test,all,7582,0.21352278824753712,0.14815317899283087,-0.6669200692724248,0.9793223716990533,1.4458795156892283
test,yN,7582,0.13730566333606609,0.08346063950482537,-0.9473046675359816,0.9964389343181219,1.1869900481300284
test,yF,7582,0.14928613952650294,0.09288500657782206,-0.7344898575058527,0.9986810867844896,1.4954902892438506
test,yT,7582,0.34741705391120103,0.2879348348357438,-0.5573223801283055,0.9323397520443155,1.1358298681808066
test,sigma_N,7582,0.1450513958042241,0.06344136384256091,-0.559251741506405,1.0,1.8169941259417866
test,sigma_F,7582,0.07781020620160327,0.03990275876813248,-0.4562798462075063,1.0,2.06881191421706
test,sigma_T,7582,0.29380310031167683,0.2653615514322058,-0.5971528105860302,0.9988129781060406,1.4486078510369955
test,delta_yN,7582,0.2223758359996721,0.14065685186685467,-0.8627422376032462,0.9694012134001583,1.1217781133307092
test,delta_yF,7582,0.23569500674197305,0.1538946161292782,-0.6543430900925918,0.9831179108414666,1.4941742740310109
test,delta_yT,7582,0.3129606923949147,0.20584098797805453,-0.6333939922859033,0.9351094697968874,1.2442391570908071
