target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
delta_yF,0.0,7079,0.17569407724293465,0.25977833598423916,balanced,1.0334008338914644
delta_yF,0.1,7079,0.17511996611277084,0.25862789500199534,balanced,1.029420107759687
delta_yF,0.2,7079,0.1745764544697565,0.2575077112797531,balanced,1.025589350831222
delta_yF,0.35,7079,0.17380375922071445,0.25588502331650875,balanced,1.0200828859686872
delta_yF,0.5,7079,0.17308809205222422,0.254332618002207,balanced,1.0148837379621567
delta_yF,0.65,7079,0.17244153023439707,0.2528517781377243,balanced,1.0100297519979324
delta_yF,0.8,7079,0.17185198787511918,0.2514437745771375,balanced,1.0054881715231794
delta_yF,0.9,7079,0.1715000722178936,0.2505461881278011,balanced,1.0026628061987148
delta_yF,1.0,7079,0.17118100207948908,0.2496818698633694,balanced,1.0
delta_yN,0.0,7079,0.12698013018982476,0.209784767810933,balanced,1.0091196744432602
delta_yN,0.1,7079,0.12706360087453317,0.2093546235949395,balanced,1.008404447920391
delta_yN,0.2,7079,0.12715577762634475,0.2089363737804342,balanced,1.0077523687430343
delta_yN,0.35,7079,0.12731139722862625,0.2083314672362178,balanced,1.0068971126440998
delta_yN,0.5,7079,0.12748491934151077,0.20775372484486707,balanced,1.006178273678391
delta_yN,0.65,7079,0.12767778276167846,0.20720337123013066,balanced,1.0056020624180582
delta_yN,0.8,7079,0.12789510895866074,0.2066806382228164,balanced,1.0051892079065898
delta_yN,0.9,7079,0.12804878753261187,0.20634758916403548,balanced,1.0049860706560192
delta_yN,1.0,7079,0.12820923545633708,0.20602697002462125,balanced,1.0048397543169743
delta_yT,0.0,7079,0.22049770363307736,0.3493365682035759,balanced,1.0136758522029168
delta_yT,0.1,7079,0.2206257166608543,0.3481172002429059,balanced,1.012173135890753
delta_yT,0.2,7079,0.22078204218959688,0.3469605825941546,balanced,1.0108268910292926
delta_yT,0.35,7079,0.2210945078740266,0.34534467303706035,balanced,1.0091593514044337
delta_yT,0.5,7079,0.22151121788062622,0.3438733571554546,balanced,1.0079408111676975
delta_yT,0.65,7079,0.22203777220007018,0.3425485059983373,balanced,1.0071867200941886
delta_yT,0.8,7079,0.22267523133867556,0.34137181537081007,balanced,1.0069019765521598
delta_yT,0.9,7079,0.223162303352814,0.34067043773899175,balanced,1.0069751312596136
delta_yT,1.0,7079,0.22369197237068927,0.34003600393656214,balanced,1.0072433152023375
sigma_F,0.0,7079,0.04435860603807807,0.08555212281185139,balanced,1.0
sigma_F,0.1,7079,0.045300979064605146,0.08556609239546274,balanced,1.010703855607121
sigma_F,0.2,7079,0.046692001228531906,0.0858946403109161,balanced,1.0283032996166654
sigma_F,0.35,7079,0.04953091520763989,0.08696857830971659,balanced,1.0665793975972633
sigma_F,0.5,7079,0.05302506958904501,0.08871612137607077,balanced,1.1161780255654046
sigma_F,0.65,7079,0.05707793027638278,0.09109851466790918,balanced,1.1757845749755569
sigma_F,0.8,7079,0.06154088304446636,0.09406753582394262,balanced,1.2434420701762878
sigma_F,0.9,7079,0.06474472867144183,0.09634645090824287,balanced,1.2928739501546418
sigma_F,1.0,7079,0.0680884846120016,0.09884593600251537,balanced,1.3451719642285087
sigma_N,0.0,7079,0.05868165886053545,0.14587030584957453,balanced,1.0
sigma_N,0.1,7079,0.059630209013034535,0.14587987999736676,balanced,1.0081149861955616
sigma_N,0.2,7079,0.06063611919318473,0.1459431282062554,balanced,1.0169026900754874
sigma_N,0.35,7079,0.062247411967974155,0.14613847768042063,balanced,1.0313013903618078
sigma_N,0.5,7079,0.06400345199979418,0.14645395249608625,balanced,1.0473451707917523
sigma_N,0.65,7079,0.06589739126309717,0.14688877041698783,balanced,1.0649730011490872
