epoch,train_loss,validation_loss,validation_rmse_all,validation_mae_all,validation_selection_objective,validation_blend_selection_metric,epoch_seconds,best_validation_loss,best_validation_objective
1,-0.7513475742553768,-1.1100165960495376,0.21301116130792208,0.14610235568064817,0.9739605036144258,balanced,0.8287137730003451,-1.1100165960495376,0.9739605036144258
2,-1.488992809977989,-1.2529428662646203,0.19948540984190627,0.14000216898689355,0.9229113036719441,balanced,0.6385435470001539,-1.2529428662646203,0.9229113036719441
3,-1.6344765359246487,-1.3485383228454773,0.18080581749270763,0.1262269455147415,0.8342293379075475,balanced,0.6313705840002513,-1.3485383228454773,0.8342293379075475
4,-1.79750299859685,-1.3470277798042778,0.16914993069602713,0.11615710135665257,0.7738832967486025,balanced,0.6605218570039142,-1.3470277798042778,0.7738832967486025
5,-1.9093650679085068,-1.2050499988824808,0.16549286192973395,0.11361570173112873,0.7570496138575424,balanced,0.6750085100065917,-1.2050499988824808,0.7570496138575424
6,-1.9836319946591945,-0.9998011065162598,0.1631807400779172,0.11156055245487267,0.7448831951260098,balanced,0.6640527839990682,-0.9998011065162598,0.7448831951260098
7,-2.0412106922852087,-0.7592200186818749,0.1637074712964771,0.11202036756461105,0.7476264067410153,balanced,0.6748489570018137,-0.9998011065162598,0.7448831951260098
8,-2.0738190700798613,-0.5954234251987465,0.1642441106708873,0.11310410646640766,0.7525118753464747,balanced,0.6676653739996254,-0.9998011065162598,0.7448831951260098
9,-2.102573518150169,-0.7871755002868228,0.1665450336724234,0.11522716023996774,0.7648839234611462,balanced,0.6716756499954499,-0.9998011065162598,0.7448831951260098
10,-2.130947014455998,-1.1851441521886412,0.17130578118512765,0.11852491007289633,0.7867617885070759,balanced,0.6687487680028426,-0.9998011065162598,0.7448831951260098
11,-2.1646982906871006,-1.2419301611435145,0.17236342125252538,0.11945157476872646,0.7922814795161552,balanced,0.6678394640039187,-0.9998011065162598,0.7448831951260098
12,-2.1365749686985556,-1.4305778155304614,0.17016390526584932,0.11965718162845457,0.7880493709315977,balanced,0.6655208369993488,-0.9998011065162598,0.7448831951260098
13,-2.1319224094193467,-1.4301972945778194,0.17577273560506018,0.12120360580884777,0.8058775469322208,balanced,0.6674228640040383,-0.9998011065162598,0.7448831951260098
14,-2.142752570589564,-1.5059916917205716,0.17167594077395745,0.11980173902180338,0.7919301578201305,balanced,0.6681037050002487,-0.9998011065162598,0.7448831951260098
15,-2.1751406531148647,-1.4781650590734945,0.175016264143675,0.12117227782235546,0.8040752837844127,balanced,0.6654152359988075,-0.9998011065162598,0.7448831951260098
16,-2.2202050259667225,-1.4740049568066609,0.17564140857609076,0.12180926676244523,0.8076411354953401,balanced,0.6627052170006209,-0.9998011065162598,0.7448831951260098
17,-2.2296233763618023,-1.5287971871605464,0.1750813979353793,0.121629528365327,0.8057749993514741,balanced,0.6643417110026348,-0.9998011065162598,0.7448831951260098
18,-2.248805776655255,-1.5500318960612027,0.17322292936963526,0.12118960223966058,0.8001139588667623,balanced,0.6687746069947025,-0.9998011065162598,0.7448831951260098
19,-2.2028726657295246,-1.570324549332802,0.1723544428273416,0.1212659785729977,0.7984265579935941,balanced,0.672678351002105,-0.9998011065162598,0.7448831951260098
20,-2.130667086021523,-1.5507283074856815,0.17474937898539158,0.12259520672469759,0.8083120003145399,balanced,0.6643832700065104,-0.9998011065162598,0.7448831951260098
