calibration_version,target_event,split,rollout_horizon_months,score_column,threshold,rows,positive_rows,positive_rate,predicted_positive_rows,predicted_positive_rate,tn,fp,fn,tp,precision,recall,specificity,macro_f1,fbeta,pr_auc,roc_auc,brier
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,1,rollout_probability_bloom_calibrated,0.13333333333333333,4673,852,0.18232398887224482,1449,0.31007917825807835,2943,878,281,571,0.3940648723257419,0.67018779342723,0.7702172206228736,0.6658960571652588,0.5878114062178299,0.4277018313142244,0.7802243101810725,0.12875745162981964
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,2,rollout_probability_bloom_calibrated,0.13829787234042554,4710,863,0.18322717622080678,1343,0.2851380042462845,3046,801,321,542,0.4035740878629933,0.6280417149478563,0.7917858071224331,0.6679281069523071,0.565172054223149,0.3931286856006242,0.7931236240425715,0.13490164862756526
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,3,rollout_probability_bloom_calibrated,0.13017751479289943,4757,883,0.18562118982552028,1816,0.381753205801976,2711,1163,230,653,0.3595814977973568,0.739524348810872,0.6997934950955085,0.6397404326539244,0.6105086013462977,0.37128628147292286,0.786570282120078,0.137142158983353
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,1,rollout_probability_bloom_calibrated,0.13333333333333333,3049,410,0.13447031813709412,1176,0.38570022958347,1772,867,101,309,0.2627551020408163,0.7536585365853659,0.6714664645699129,0.5875602568574316,0.5486505681818181,0.37120981394810587,0.7885040527176777,0.09785050345551966
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,2,rollout_probability_bloom_calibrated,0.13829787234042554,3158,441,0.1396453451551615,889,0.28150728309056366,2125,592,144,297,0.3340832395950506,0.673469387755102,0.7821126242178874,0.6495016120324879,0.5597436863927628,0.3965566946025613,0.796798856949233,0.09867294931732706
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,3,rollout_probability_bloom_calibrated,0.13017751479289943,3184,457,0.14353015075376885,1303,0.40923366834170855,1765,962,116,341,0.261703760552571,0.7461706783369803,0.6472313898056472,0.5767795138888889,0.5445544554455445,0.3554610950203124,0.7723847512395294,0.10542611027245677
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,1,alert_probability_irc,0.15625,6145,2792,0.45435313262815297,4736,0.7707078925956062,1303,2050,106,2686,0.5671452702702703,0.9620343839541547,0.3886072174172383,0.6304258027485572,0.8444416498993964,0.7962876951500166,0.8334886668654936,0.16838513988125509
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,2,alert_probability_irc,0.0546875,6145,2883,0.4691619202603743,5483,0.8922701383238405,645,2617,17,2866,0.522706547510487,0.9941033645508152,0.19773145309625997,0.5069501864617306,0.8421980605348223,0.7456438794849206,0.8176253298209146,0.17538448672065704
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,3,alert_probability_irc,0.0625,6145,2938,0.4781122864117168,5400,0.8787632221318145,714,2493,31,2907,0.5383333333333333,0.9894486044928523,0.2226379794200187,0.5293127751293284,0.847423041044776,0.7276193915863746,0.8047508927352798,0.18565469218813568
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,1,alert_probability_irc,0.15625,5069,2486,0.49043203787729334,4110,0.8108108108108109,911,1672,48,2438,0.5931873479318734,0.9806918744971842,0.3526906697638405,0.6268172726896064,0.8673687206489256,0.8003003054525436,0.8319161053350563,0.16692380741470828
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,2,alert_probability_irc,0.0546875,5069,2489,0.4910238705859144,4618,0.9110278161373052,436,2144,15,2474,0.5357297531398874,0.9939734833266372,0.16899224806201552,0.49195441485773594,0.8487717853712088,0.7585155674695755,0.7831958290898556,0.1908362835063622
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,3,alert_probability_irc,0.0625,5069,2480,0.4892483724600513,4552,0.8980074965476426,490,2099,27,2453,0.5388840070298769,0.9891129032258065,0.18926226342217073,0.5065930779503431,0.847498618021006,0.7272435217094806,0.7554880916781919,0.20574656170626604
