policy_version,policy_name,target_event,rollout_horizon_months,calibration_split,selection_objective,fbeta_beta,min_recall,min_precision,score_column,selected_threshold,constraint_satisfied,calibration_rows,calibration_positive_rows,calibration_positive_rate,calibration_predicted_positive_rows,calibration_predicted_positive_rate,calibration_tn,calibration_fp,calibration_fn,calibration_tp,calibration_precision,calibration_recall,calibration_specificity,calibration_f1,calibration_macro_f1,calibration_fbeta,calibration_balanced_accuracy,calibration_mcc,calibration_gmean_pr,calibration_pr_distance
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,bloom_h,1,validation,balanced_accuracy,2.0,,,rollout_probability_bloom_calibrated,0.14814814814814814,True,301,34,0.11295681063122924,151,0.5016611295681063,146,121,4,30,0.1986754966887417,0.8823529411764706,0.5468164794007491,0.32432432432432434,0.5122820662389007,0.5226480836236933,0.7145847102886098,0.2717000734536879,0.4186907078536702,0.8099146807268416
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,bloom_h,1,validation,closest_pr,2.0,,,rollout_probability_bloom_calibrated,0.14814814814814814,True,301,34,0.11295681063122924,151,0.5016611295681063,146,121,4,30,0.1986754966887417,0.8823529411764706,0.5468164794007491,0.32432432432432434,0.5122820662389007,0.5226480836236933,0.7145847102886098,0.2717000734536879,0.4186907078536702,0.8099146807268416
pipe_grud_rollout_alert_policy_2b_v0,f1,bloom_h,1,validation,f1,2.0,,,rollout_probability_bloom_calibrated,0.2222222222222222,True,301,34,0.11295681063122924,31,0.10299003322259136,248,19,22,12,0.3870967741935484,0.35294117647058826,0.9288389513108615,0.36923076923076925,0.6464403380604498,0.35928143712574856,0.6408900638907249,0.2934558164909521,0.36962466218021844,0.8912550057706383
pipe_grud_rollout_alert_policy_2b_v0,fbeta,bloom_h,1,validation,fbeta,2.0,,,rollout_probability_bloom_calibrated,0.14814814814814814,True,301,34,0.11295681063122924,151,0.5016611295681063,146,121,4,30,0.1986754966887417,0.8823529411764706,0.5468164794007491,0.32432432432432434,0.5122820662389007,0.5226480836236933,0.7145847102886098,0.2717000734536879,0.4186907078536702,0.8099146807268416
pipe_grud_rollout_alert_policy_2b_v0,gmean_pr,bloom_h,1,validation,gmean_pr,2.0,,,rollout_probability_bloom_calibrated,1.0,True,301,34,0.11295681063122924,6,0.019933554817275746,267,0,28,6,1.0,0.17647058823529413,1.0,0.3,0.6250889679715302,0.2112676056338028,0.5882352941176471,0.3996508945161231,0.42008402520840293,0.8235294117647058
pipe_grud_rollout_alert_policy_2b_v0,mcc,bloom_h,1,validation,mcc,2.0,,,rollout_probability_bloom_calibrated,1.0,True,301,34,0.11295681063122924,6,0.019933554817275746,267,0,28,6,1.0,0.17647058823529413,1.0,0.3,0.6250889679715302,0.2112676056338028,0.5882352941176471,0.3996508945161231,0.42008402520840293,0.8235294117647058
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,bloom_h,2,validation,balanced_accuracy,2.0,,,rollout_probability_bloom_calibrated,0.1282051282051282,True,327,41,0.12538226299694188,154,0.4709480122324159,160,126,13,28,0.18181818181818182,0.6829268292682927,0.5594405594405595,0.28717948717948716,0.4921736215853863,0.4402515723270441,0.6211836943544261,0.1607924737193266,0.35237553038259745,0.8774718703190229
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,bloom_h,2,validation,closest_pr,2.0,,,rollout_probability_bloom_calibrated,0.07692307692307693,True,327,41,0.12538226299694188,206,0.6299694189602446,112,174,9,32,0.1553398058252427,0.7804878048780488,0.3916083916083916,0.2591093117408907,0.40473893105472053,0.43243243243243235,0.5860480982432202,0.1180374779684517,0.3481965307965116,0.8727178509865582
pipe_grud_rollout_alert_policy_2b_v0,f1,bloom_h,2,validation,f1,2.0,,,rollout_probability_bloom_calibrated,0.14814814814814814,True,327,41,0.12538226299694188,115,0.3516819571865443,194,92,18,23,0.2,0.5609756097560976,0.6783216783216783,0.2948717948717949,0.5369941303676243,0.4121863799283154,0.619648644038888,0.16595711296838295,0.33495540292883696,0.91254721260274
pipe_grud_rollout_alert_policy_2b_v0,fbeta,bloom_h,2,validation,fbeta,2.0,,,rollout_probability_bloom_calibrated,0.1282051282051282,True,327,41,0.12538226299694188,154,0.4709480122324159,160,126,13,28,0.18181818181818182,0.6829268292682927,0.5594405594405595,0.28717948717948716,0.4921736215853863,0.4402515723270441,0.6211836943544261,0.1607924737193266,0.35237553038259745,0.8774718703190229
pipe_grud_rollout_alert_policy_2b_v0,gmean_pr,bloom_h,2,validation,gmean_pr,2.0,,,rollout_probability_bloom_calibrated,0.075,True,327,41,0.12538226299694188,326,0.9969418960244648,1,285,0,41,0.12576687116564417,1.0,0.0034965034965034965,0.22343324250681199,0.11520094181089728,0.4183673469387755,0.5017482517482518,0.020970081181888152,0.35463625190558873,0.8742331288343559
pipe_grud_rollout_alert_policy_2b_v0,mcc,bloom_h,2,validation,mcc,2.0,,,rollout_probability_bloom_calibrated,0.6666666666666666,True,327,41,0.12538226299694188,7,0.021406727828746176,284,2,36,5,0.7142857142857143,0.12195121951219512,0.993006993006993,0.20833333333333334,0.5728135313531353,0.14619883040935672,0.5574791062595941,0.2630213109880425,0.2951406680504777,0.9233646700937533
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,bloom_h,3,validation,balanced_accuracy,2.0,,,rollout_probability_bloom_calibrated,0.2073170731707317,True,342,40,0.11695906432748537,100,0.29239766081871343,228,74,14,26,0.26,0.65,0.7549668874172185,0.37142857142857144,0.6048319327731093,0.5000000000000001,0.7024834437086093,0.28611807748956314,0.41109609582188933,0.8185963596303125
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,bloom_h,3,validation,closest_pr,2.0,,,rollout_probability_bloom_calibrated,0.2073170731707317,True,342,40,0.11695906432748537,100,0.29239766081871343,228,74,14,26,0.26,0.65,0.7549668874172185,0.37142857142857144,0.6048319327731093,0.5000000000000001,0.7024834437086093,0.28611807748956314,0.41109609582188933,0.8185963596303125
pipe_grud_rollout_alert_policy_2b_v0,f1,bloom_h,3,validation,f1,2.0,,,rollout_probability_bloom_calibrated,0.2073170731707317,True,342,40,0.11695906432748537,100,0.29239766081871343,228,74,14,26,0.26,0.65,0.7549668874172185,0.37142857142857144,0.6048319327731093,0.5000000000000001,0.7024834437086093,0.28611807748956314,0.41109609582188933,0.8185963596303125
pipe_grud_rollout_alert_policy_2b_v0,fbeta,bloom_h,3,validation,fbeta,2.0,,,rollout_probability_bloom_calibrated,0.2073170731707317,True,342,40,0.11695906432748537,100,0.29239766081871343,228,74,14,26,0.26,0.65,0.7549668874172185,0.37142857142857144,0.6048319327731093,0.5000000000000001,0.7024834437086093,0.28611807748956314,0.41109609582188933,0.8185963596303125
pipe_grud_rollout_alert_policy_2b_v0,gmean_pr,bloom_h,3,validation,gmean_pr,2.0,,,rollout_probability_bloom_calibrated,0.2073170731707317,True,342,40,0.11695906432748537,100,0.29239766081871343,228,74,14,26,0.26,0.65,0.7549668874172185,0.37142857142857144,0.6048319327731093,0.5000000000000001,0.7024834437086093,0.28611807748956314,0.41109609582188933,0.8185963596303125
pipe_grud_rollout_alert_policy_2b_v0,mcc,bloom_h,3,validation,mcc,2.0,,,rollout_probability_bloom_calibrated,0.2073170731707317,True,342,40,0.11695906432748537,100,0.29239766081871343,228,74,14,26,0.26,0.65,0.7549668874172185,0.37142857142857144,0.6048319327731093,0.5000000000000001,0.7024834437086093,0.28611807748956314,0.41109609582188933,0.8185963596303125
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,irc_alert,1,validation,balanced_accuracy,2.0,,,alert_probability_irc,0.4453125,True,512,241,0.470703125,284,0.5546875,190,81,38,203,0.7147887323943662,0.8423236514522822,0.7011070110701108,0.7733333333333333,0.7674281897127588,0.813301282051282,0.7717153312611964,0.5457713232861785,0.7759403682547846,0.32589461189248564
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,irc_alert,1,validation,closest_pr,2.0,,,alert_probability_irc,0.4453125,True,512,241,0.470703125,284,0.5546875,190,81,38,203,0.7147887323943662,0.8423236514522822,0.7011070110701108,0.7733333333333333,0.7674281897127588,0.813301282051282,0.7717153312611964,0.5457713232861785,0.7759403682547846,0.32589461189248564
pipe_grud_rollout_alert_policy_2b_v0,f1,irc_alert,1,validation,f1,2.0,,,alert_probability_irc,0.4453125,True,512,241,0.470703125,284,0.5546875,190,81,38,203,0.7147887323943662,0.8423236514522822,0.7011070110701108,0.7733333333333333,0.7674281897127588,0.813301282051282,0.7717153312611964,0.5457713232861785,0.7759403682547846,0.32589461189248564
pipe_grud_rollout_alert_policy_2b_v0,fbeta,irc_alert,1,validation,fbeta,2.0,,,alert_probability_irc,0.34375,True,512,241,0.470703125,366,0.71484375,131,140,15,226,0.6174863387978142,0.9377593360995851,0.4833948339483395,0.7446457990115322,0.686471580560922,0.849624060150376,0.7105770850239623,0.46560464182212075,0.7609557011558569,0.38754432165762015
pipe_grud_rollout_alert_policy_2b_v0,fixed,irc_alert,1,validation,fixed,2.0,,,alert_probability_irc,0.5,True,512,241,0.470703125,231,0.451171875,210,61,71,170,0.7359307359307359,0.7053941908713693,0.7749077490774908,0.7203389830508474,0.7406042741341194,0.7112970711297071,0.7401509699744301,0.4817795455067918,0.7205007050719887,0.3956326060860226
pipe_grud_rollout_alert_policy_2b_v0,gmean_pr,irc_alert,1,validation,gmean_pr,2.0,,,alert_probability_irc,0.4453125,True,512,241,0.470703125,284,0.5546875,190,81,38,203,0.7147887323943662,0.8423236514522822,0.7011070110701108,0.7733333333333333,0.7674281897127588,0.813301282051282,0.7717153312611964,0.5457713232861785,0.7759403682547846,0.32589461189248564
pipe_grud_rollout_alert_policy_2b_v0,mcc,irc_alert,1,validation,mcc,2.0,,,alert_probability_irc,0.4453125,True,512,241,0.470703125,284,0.5546875,190,81,38,203,0.7147887323943662,0.8423236514522822,0.7011070110701108,0.7733333333333333,0.7674281897127588,0.813301282051282,0.7717153312611964,0.5457713232861785,0.7759403682547846,0.32589461189248564
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,irc_alert,2,validation,balanced_accuracy,2.0,,,alert_probability_irc,0.4375,True,512,240,0.46875,243,0.474609375,189,83,80,160,0.6584362139917695,0.6666666666666666,0.6948529411764706,0.6625258799171843,0.6806159898661707,0.6650041562759768,0.6807598039215685,0.36127894605541727,0.6625386599999377,0.4772598150100083
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,irc_alert,2,validation,closest_pr,2.0,,,alert_probability_irc,0.390625,True,512,240,0.46875,287,0.560546875,164,108,61,179,0.6236933797909407,0.7458333333333333,0.6029411764705882,0.6793168880455408,0.6696383232984243,0.7177225340817962,0.6743872549019607,0.35067322099693066,0.6820346856483254,0.454100613143838
pipe_grud_rollout_alert_policy_2b_v0,f1,irc_alert,2,validation,f1,2.0,,,alert_probability_irc,0.390625,True,512,240,0.46875,287,0.560546875,164,108,61,179,0.6236933797909407,0.7458333333333333,0.6029411764705882,0.6793168880455408,0.6696383232984243,0.7177225340817962,0.6743872549019607,0.35067322099693066,0.6820346856483254,0.454100613143838
pipe_grud_rollout_alert_policy_2b_v0,fbeta,irc_alert,2,validation,fbeta,2.0,,,alert_probability_irc,0.0859375,True,512,240,0.46875,511,0.998046875,1,271,0,240,0.46966731898238745,1.0,0.003676470588235294,0.6391478029294274,0.32323690512771736,0.8157715839564922,0.5018382352941176,0.04155379747380583,0.685322784520103,0.5303326810176126
pipe_grud_rollout_alert_policy_2b_v0,fixed,irc_alert,2,validation,fixed,2.0,,,alert_probability_irc,0.5,True,512,240,0.46875,189,0.369140625,212,60,111,129,0.6825396825396826,0.5375,0.7794117647058824,0.6013986013986014,0.657001821707704,0.5613577023498695,0.6584558823529412,0.3277149632313789,0.6056938825554369,0.5609699663636241
pipe_grud_rollout_alert_policy_2b_v0,gmean_pr,irc_alert,2,validation,gmean_pr,2.0,,,alert_probability_irc,0.3046875,True,512,240,0.46875,385,0.751953125,97,175,30,210,0.5454545454545454,0.875,0.35661764705882354,0.672,0.5791077694235589,0.7806691449814126,0.6158088235294118,0.2676267333093363,0.6908492797077574,0.47141973892480776
pipe_grud_rollout_alert_policy_2b_v0,mcc,irc_alert,2,validation,mcc,2.0,,,alert_probability_irc,0.4375,True,512,240,0.46875,243,0.474609375,189,83,80,160,0.6584362139917695,0.6666666666666666,0.6948529411764706,0.6625258799171843,0.6806159898661707,0.6650041562759768,0.6807598039215685,0.36127894605541727,0.6625386599999377,0.4772598150100083
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,irc_alert,3,validation,balanced_accuracy,2.0,,,alert_probability_irc,0.453125,True,512,241,0.470703125,175,0.341796875,210,61,127,114,0.6514285714285715,0.4730290456431535,0.7749077490774908,0.5480769230769231,0.6194331983805668,0.5004389815627742,0.6239683973603222,0.26091567706226715,0.5551077692192211,0.6318230983052867
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,irc_alert,3,validation,closest_pr,2.0,,,alert_probability_irc,0.28125,True,512,241,0.470703125,395,0.771484375,80,191,37,204,0.5164556962025316,0.8464730290456431,0.2952029520295203,0.6415094339622641,0.5269402839914413,0.7505518763796909,0.5708379905375818,0.16842164961371872,0.6611851613069015,0.5073318682533143
pipe_grud_rollout_alert_policy_2b_v0,f1,irc_alert,3,validation,f1,2.0,,,alert_probability_irc,0.28125,True,512,241,0.470703125,395,0.771484375,80,191,37,204,0.5164556962025316,0.8464730290456431,0.2952029520295203,0.6415094339622641,0.5269402839914413,0.7505518763796909,0.5708379905375818,0.16842164961371872,0.6611851613069015,0.5073318682533143
pipe_grud_rollout_alert_policy_2b_v0,fbeta,irc_alert,3,validation,fbeta,2.0,,,alert_probability_irc,0.1328125,True,512,241,0.470703125,512,1.0,0,271,0,241,0.470703125,1.0,0.0,0.6401062416998672,0.3200531208499336,0.8163956639566395,0.5,,0.6860780750031297,0.529296875
pipe_grud_rollout_alert_policy_2b_v0,fixed,irc_alert,3,validation,fixed,2.0,,,alert_probability_irc,0.5,True,512,241,0.470703125,124,0.2421875,232,39,156,85,0.6854838709677419,0.35269709543568467,0.8560885608856088,0.4657534246575342,0.5849252707506184,0.390625,0.6043928281606468,0.24325799366068368,0.4916992681083959,0.719667593878476
pipe_grud_rollout_alert_policy_2b_v0,gmean_pr,irc_alert,3,validation,gmean_pr,2.0,,,alert_probability_irc,0.1328125,True,512,241,0.470703125,512,1.0,0,271,0,241,0.470703125,1.0,0.0,0.6401062416998672,0.3200531208499336,0.8163956639566395,0.5,,0.6860780750031297,0.529296875
pipe_grud_rollout_alert_policy_2b_v0,mcc,irc_alert,3,validation,mcc,2.0,,,alert_probability_irc,0.4609375,True,512,241,0.470703125,165,0.322265625,215,56,132,109,0.6606060606060606,0.45228215767634855,0.7933579335793358,0.5369458128078818,0.6163693465333907,0.48272807794508416,0.6228200456278422,0.262352802199345,0.546608026345188,0.6443470190021937
