split,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,all,378557,0.09573933583295152,0.050381724903860385,-2.857280108904043,0.9458604942217713,0.2871586131038535
train,yN,378557,0.04065054499362695,0.008988813537874249,-4.3777934323990095,0.9880572806737162,0.06332372103318439
train,yF,378557,0.0879711375736568,0.029085518940921283,-2.6326433618190053,0.9828348174779492,0.3487631908488264
train,yT,378557,0.22861466166950306,0.15300839637258123,-0.975949313269467,0.8749884429557504,0.6897074647810427
train,sigma_N,378557,0.04122226286682951,0.005243056400966277,-4.143078797503889,0.9924344286329404,0.0805367228008988
train,sigma_F,378557,0.045884957322062866,0.012699038479860513,-3.1485300169768853,0.9844541244779518,0.17202694310735792
train,sigma_T,378557,0.0711180009700346,0.043371745764440986,-2.1483824937577514,0.8544182249964999,0.2249070399117209
train,delta_yN,378557,0.03826273362203102,0.0077006771791737596,-4.384565800996242,0.9892195891239628,0.06652558853390092
train,delta_yF,378557,0.08047454652755122,0.03634941123787648,-2.926212013994817,0.9720649730423688,0.24830070246926672
train,delta_yT,378557,0.22745517695126755,0.15698886622104863,-0.9783657494193204,0.874272566614803,0.690336144448483
validation,all,22087,0.11283984144851493,0.06012554383734022,-2.5674441961513543,0.9402463993399837,0.37271019013751044
validation,yN,22087,0.06725403513203584,0.025198110854279736,-3.7846438829790996,0.9539548150495767,0.12049859159587653
validation,yF,22087,0.09015934731647983,0.03448694798925547,-2.4409779510518774,0.9979173269343958,0.5709689685184052
validation,yT,22087,0.24110405407350397,0.16355066286053271,-0.9117852174426699,0.8686104948612305,0.715688747154364
validation,sigma_N,22087,0.08526779586403486,0.01969647179767351,-3.406502977969578,0.9747362702041925,0.14121170879872996
validation,sigma_F,22087,0.04892513176679256,0.014611799342271648,-3.0502938198763694,0.9942500113188754,0.2784788106066086
validation,sigma_T,22087,0.09614079819042602,0.05193469445259708,-1.926657468017103,0.8473310091909267,0.2600949017508355
validation,delta_yN,22087,0.0628206997450804,0.023926182080239198,-3.883836018146987,0.9590256712093086,0.12129169145802501
validation,delta_yF,22087,0.08442023189708843,0.04108218220126857,-2.782278138547279,0.9963326843844795,0.42730975413368866
validation,delta_yT,22087,0.23946647905119253,0.16664284295794402,-0.920022291331227,0.8700593109068683,0.7188485372210605
test,all,17420,0.10912852335841533,0.05801528488773064,-2.3577175131925654,0.9479397882382956,0.4335032394337159
test,yN,17420,0.08470778666268705,0.036706741039569564,-3.1962716037999885,0.926865671641791,0.15909906643540112
test,yF,17420,0.0978602145693554,0.04117729172504044,-2.145793735228231,0.9986222732491389,0.7415689672038694
test,yT,17420,0.20371612912372888,0.13544749578570114,-1.084220183730536,0.9110792192881745,0.724761335721109
test,sigma_N,17420,0.09624982392778761,0.027819940608623518,-3.005364845978817,0.9590700344431687,0.18531706489186336
test,sigma_F,17420,0.05149793990389392,0.0174741983687426,-2.7795515478683805,0.9926521239954076,0.35888265528717217
test,sigma_T,17420,0.07576605445245703,0.04317324865014901,-2.085516546623852,0.8975315729047072,0.28162219532595434
test,delta_yN,17420,0.07859275392613059,0.03475784149564093,-3.3582689462655173,0.9365097588978186,0.1601827590802233
test,delta_yF,17420,0.09106815305127057,0.047410419039282815,-2.478307558885261,0.996670493685419,0.5596716117639903
test,delta_yT,17420,0.20269785460842699,0.13817038727682576,-1.0861626503525044,0.9124569460390356,0.7304234991938594
