trial_id,status,return_code,elapsed_seconds,history_length,hidden_dim,mse_weight,learning_rate,random_seed,best_epoch,best_validation_objective,best_validation_loss,best_validation_rmse_all,best_validation_mae_all,sampled_train_windows,sampled_validation_windows,sampled_test_windows,model_path,report_path,manifest_path,train_rows,train_rmse,train_mae,train_nll,train_interval_90_coverage,validation_rows,validation_rmse,validation_mae,validation_nll,validation_interval_90_coverage,test_rows,test_rmse,test_mae,test_nll,test_interval_90_coverage,train_rmse_relative_improvement,train_mae_relative_improvement,validation_rmse_relative_improvement,validation_mae_relative_improvement,test_rmse_relative_improvement,test_mae_relative_improvement,selection_rank
h12_hd096_mse1_lr0p001_seed1729,completed,0,55.54149423600029,12,96,1.0,0.001,1729,20,0.7449632417292603,-3.095627568509357,0.11283984144851493,0.06012554383734022,378557,22087,17420,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd096_mse1_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd096_mse1_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd096_mse1_lr0p001_seed1729/pipe_grud_manifest.json,378557,0.0957393358329515,0.0503817249038603,-2.857280108904043,0.9458604942217712,22087,0.1128398414485149,0.0601255438373402,-2.5674441961513543,0.9402463993399836,17420,0.1091285233584153,0.0580152848877306,-2.3577175131925654,0.9479397882382956,0.2936793406324329,0.2191153272281255,0.2834612992305139,0.2266122173109653,0.2735053472988706,0.2128378428488271,1
h12_hd096_mse0p5_lr0p001_seed1729,completed,0,54.04036529100267,12,96,0.5,0.001,1729,3,0.745972213183286,-2.0282990177313662,0.11208745888164885,0.06065385547088004,378557,22087,17420,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd096_mse0p5_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd096_mse0p5_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd096_mse0p5_lr0p001_seed1729/pipe_grud_manifest.json,378557,0.095311563963389,0.051069090981493,-2.15812028874116,0.9320401771287634,22087,0.1120874588816488,0.06065385547088,-1.6857165322998195,0.9010730293838004,17420,0.1084318247531045,0.0582388180968012,-1.5079495005285817,0.8966003316749585,0.2968352441734332,0.2084615904687968,0.2882389665865055,0.2198166070469225,0.2781434363678508,0.2098049027643738,2
h12_hd128_mse0p25_lr0p001_seed1729,completed,0,61.12980297899776,12,128,0.25,0.001,1729,20,0.7508062802159714,-3.07626425312121,0.1128151013942193,0.06104626887085101,378557,22087,17420,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd128_mse0p25_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd128_mse0p25_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd128_mse0p25_lr0p001_seed1729/pipe_grud_manifest.json,378557,0.095137049692985,0.0505076114366439,-2.8171348957981777,0.950179526758483,22087,0.1128151013942193,0.061046268870851,-2.5581116986757,0.9443362863021486,17420,0.1097159064622319,0.0595377936535365,-2.353219697146654,0.9510141599693838,0.2981227299646016,0.2171641660849398,0.2836183998266722,0.2147690397413851,0.2695949976407133,0.1921801612276371,3
h12_hd096_mse0p25_lr0p001_seed1729,completed,0,52.215617841000494,12,96,0.25,0.001,1729,3,0.7568277000005876,-2.1008986356440604,0.11251577033911975,0.06213028773856656,378557,22087,17420,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd096_mse0p25_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd096_mse0p25_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd096_mse0p25_lr0p001_seed1729/pipe_grud_manifest.json,378557,0.0959703444551559,0.052586350976819,-2.1916042882216846,0.9331311621059268,22087,0.1125157703391197,0.0621302877385665,-1.7502568616942051,0.904453600156955,17420,0.1090859861052622,0.059587736811956,-1.6054483539490298,0.9019772930220692,0.2919750655720779,0.1849450261347868,0.2855191671670699,0.200825432831755,0.2737885279560009,0.1915025231811728,4
h12_hd128_mse1_lr0p001_seed1729,completed,0,60.02467378000438,12,128,1.0,0.001,1729,2,0.7618727102655865,-1.9749846975789451,0.11494397215460804,0.061715980605020565,378557,22087,17420,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd128_mse1_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd128_mse1_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd128_mse1_lr0p001_seed1729/pipe_grud_manifest.json,378557,0.0975184584031385,0.051937169987984,-2.1054742910014435,0.9337431351157156,22087,0.114943972154608,0.0617159806050205,-1.6688932627603663,0.9006856723160431,17420,0.1116025190001399,0.0600175736494583,-1.4942693524190946,0.8956180635285114,0.2805537949417586,0.195006918318976,0.2700999628174257,0.2061546166514013,0.257035367231279,0.1856704171614203,5
h12_hd128_mse0p5_lr0p001_seed1729,completed,0,61.75470929500443,12,128,0.5,0.001,1729,16,0.7645835702484811,-3.1122913881053518,0.1144471125176431,0.06238276769933274,378557,22087,17420,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd128_mse0p5_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd128_mse0p5_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd128_mse0p5_lr0p001_seed1729/pipe_grud_manifest.json,378557,0.0973073180364723,0.0524979344155488,-2.7703776053841853,0.947890424838414,22087,0.1144471125176431,0.0623827676993327,-2.5616231021871605,0.9417404908870476,17420,0.110854198201684,0.0610505081497447,-2.3705141658517745,0.9501913509376196,0.2821114911771179,0.1863154265656349,0.2732550466438959,0.1975778128591419,0.2620171175734668,0.1716553700748682,6
h06_hd128_mse0p25_lr0p001_seed1729,completed,0,82.66415163000056,6,128,0.25,0.001,1729,15,0.7665777418019202,-3.2165847310258524,0.1122463789179761,0.06051713438882532,602390,54637,40606,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd128_mse0p25_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd128_mse0p25_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd128_mse0p25_lr0p001_seed1729/pipe_grud_manifest.json,602390,0.1028352934133632,0.0546930882171551,-2.864034867646629,0.9435039315615024,54637,0.1122463789179761,0.0605171343888253,-2.702906724777709,0.9500135235991888,40606,0.1143564066044561,0.0613993572139868,-2.519749670629877,0.9523359985114406,0.27683018985894,0.1874940742367704,0.2695704983797601,0.1972740180163994,0.2609680270868582,0.1847877351546946,7
h06_hd128_mse0p5_lr0p001_seed1729,completed,0,83.06244013400283,6,128,0.5,0.001,1729,18,0.7673011143634161,-3.217583963477267,0.11248742287266948,0.060507950529963446,602390,54637,40606,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd128_mse0p5_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd128_mse0p5_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd128_mse0p5_lr0p001_seed1729/pipe_grud_manifest.json,602390,0.1032436526584948,0.0546395318998894,-2.839306145232257,0.9394019378365068,54637,0.1124874228726694,0.0605079505299634,-2.7122830746353173,0.9487099706548068,40606,0.1146902488986354,0.0612876984619639,-2.5499400334191025,0.9519994308449218,0.2739584804684283,0.1882896925965832,0.2680019344991924,0.1973958367739752,0.2588105604731812,0.1862702520450456,8
h06_hd128_mse1_lr0p001_seed1729,completed,0,84.17937638299918,6,128,1.0,0.001,1729,20,0.769078586928554,-3.1781084390842698,0.11207839456693626,0.06097662058757625,602390,54637,40606,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd128_mse1_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd128_mse1_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd128_mse1_lr0p001_seed1729/pipe_grud_manifest.json,602390,0.1028143111361664,0.0551981835094018,-2.874097658089579,0.9466702081154512,54637,0.1120783945669362,0.0609766205875762,-2.672736844214667,0.9523257540169155,40606,0.1142666781922059,0.0618047208249406,-2.5111056377312746,0.9562516759975264,0.2769777437668743,0.1799905133408101,0.2706636358777609,0.191179190265131,0.2615478998504454,0.1794056366708325,9
h03_hd128_mse0p25_lr0p001_seed1729,completed,0,145.06558933099586,3,128,0.25,0.001,1729,19,0.7699551536204563,-3.140456481409207,0.11886732887693764,0.06316749743913845,1065877,116097,86069,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd128_mse0p25_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd128_mse0p25_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd128_mse0p25_lr0p001_seed1729/pipe_grud_manifest.json,1065877,0.110680093758005,0.0570841929290073,-2.728030156415366,0.94022689505658,116097,0.1188673288769376,0.0631674974391384,-2.629851162421473,0.9369349193634058,86069,0.1251220300319549,0.0675533368274471,-2.442571538591315,0.9339431799551008,0.2691431507902418,0.1917936108273306,0.2632698242006228,0.1968198685584646,0.2547943649869461,0.1830939170939077,10
h03_hd128_mse1_lr0p001_seed1729,completed,0,145.50748914399446,3,128,1.0,0.001,1729,19,0.7702501362247174,-3.133957298134431,0.11869367692585797,0.06329854225827895,1065877,116097,86069,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd128_mse1_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd128_mse1_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd128_mse1_lr0p001_seed1729/pipe_grud_manifest.json,1065877,0.1104471081798169,0.0571906628103622,-2.728655505651508,0.9397130771707763,116097,0.1186936769258579,0.0632985422582789,-2.625423107100504,0.936380785033205,86069,0.1249092311744984,0.0677121408054437,-2.4369821594790078,0.9333545049772728,0.2706816307445343,0.1902861946066516,0.2643461050732188,0.1951536224773465,0.2560617589675301,0.1811735391864991,11
h03_hd128_mse0p5_lr0p001_seed1729,completed,0,148.29956825700356,3,128,0.5,0.001,1729,19,0.770426907419002,-3.1163583935486385,0.11883434629357237,0.0632577784682265,1065877,116097,86069,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd128_mse0p5_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd128_mse0p5_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd128_mse0p5_lr0p001_seed1729/pipe_grud_manifest.json,1065877,0.1106311598322296,0.057208526860374,-2.687725954618623,0.9353140913799414,116097,0.1188343462935723,0.0632577784682265,-2.610746042940264,0.9320501151814624,86069,0.1250179331829282,0.0675663483259335,-2.4286781433662576,0.9288929683032088,0.2694662775025294,0.1900332727623512,0.2634742476083883,0.1956719375536075,0.2554143482022283,0.1829365722052545,12
h12_hd064_mse0p5_lr0p001_seed1729,completed,0,51.36744591299794,12,64,0.5,0.001,1729,18,0.7732954466349378,-3.3077811040080367,0.11750992874696377,0.06222531580127033,378557,22087,17420,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd064_mse0p5_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd064_mse0p5_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd064_mse0p5_lr0p001_seed1729/pipe_grud_manifest.json,378557,0.0994529729401446,0.052292428323805,-3.05458474257365,0.948377655148366,22087,0.1175099287469637,0.0622253158012703,-2.795374194165098,0.9423341030168576,17420,0.1130439932155281,0.0603522408151523,-2.5370278619901763,0.9491771909682356,0.2662818389954757,0.1895006402023296,0.2538060086668754,0.1996030980632491,0.2474391289861535,0.1811295909190756,13
h06_hd096_mse0p25_lr0p001_seed1729,completed,0,83.45752709799854,6,96,0.25,0.001,1729,20,0.7746174941818644,-3.2567284601744513,0.11347657007985663,0.0611258435597405,602390,54637,40606,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd096_mse0p25_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd096_mse0p25_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd096_mse0p25_lr0p001_seed1729/pipe_grud_manifest.json,602390,0.1038363861402443,0.0548733651906287,-2.9517858338462317,0.9479967758060024,54637,0.1134765700798566,0.0611258435597405,-2.74829908194644,0.9548108424693889,40606,0.1154940391386612,0.0620172904110052,-2.574100964481429,0.958402425476257,0.2697901940248043,0.1848159276189676,0.2615651807389421,0.1891998308973289,0.2536160400739064,0.1765833052726547,14
h03_hd096_mse1_lr0p001_seed1729,completed,0,136.23884226899827,3,96,1.0,0.001,1729,20,0.7750149100880148,-3.037930829379783,0.11909668904954798,0.06385156338299253,1065877,116097,86069,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd096_mse1_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd096_mse1_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd096_mse1_lr0p001_seed1729/pipe_grud_manifest.json,1065877,0.1107747093347808,0.0577087748017669,-2.7192612211312115,0.9395205387988796,116097,0.1190966890495479,0.0638515633829925,-2.5509106490066347,0.9365147726087284,86069,0.1253073344136356,0.0680915194072138,-2.34142527329433,0.9344647253301938,0.268518373199434,0.1829506889215496,0.2618482682366326,0.1881219115873377,0.2536907234508731,0.1765858059661257,15
