source_id,rollout_horizon_months,rows,sites,first_origin_year_month,last_origin_year_month,first_forecast_year_month,last_forecast_year_month,predicted_alerts,mean_alert_probability_irc,p95_alert_probability_irc,mean_irc,p95_irc,mean_probability_bloom,predicted_alert_rate
all,1,11954,11954,1971-05,2026-03,1971-06,2026-04,3980,0.34005615275221684,1.0,0.4148475003838016,0.9113597457110882,0.12190667740234465,0.33294294796720764
aquamatch_chla,1,7732,7732,1972-04,2024-05,1972-05,2024-06,2099,0.28029010928608383,0.984375,0.38351173189643817,0.8399560011923313,0.10225053523278699,0.2714692188308329
lakebed_us_cse,1,13,13,1983-02,2023-11,1983-03,2023-12,2,0.21033653846153846,0.7249999999999994,0.3312780121681359,0.787445423007011,0.06867910033653887,0.15384615384615385
wqp,1,4209,4209,1971-05,2026-03,1971-06,2026-04,1879,0.45024798051793774,1.0,0.47266992026764515,0.9310072743892669,0.1581797231987037,0.44642432881919697
all,2,11954,11954,1971-05,2026-03,1971-07,2026-05,3683,0.3312005918520997,0.953125,0.41181089486841,0.9058082038164139,0.12705594650041363,0.30809770788020746
aquamatch_chla,2,7732,7732,1972-04,2024-05,1972-06,2024-07,1905,0.27418924599068806,0.953125,0.38305829927986584,0.8419276005029678,0.11083239415797115,0.24637868598034143
lakebed_us_cse,2,13,13,1983-02,2023-11,1983-04,2024-01,2,0.23677884615384615,0.7093749999999996,0.34449749990464906,0.8264983081817626,0.09248466211658078,0.15384615384615385
wqp,2,4209,4209,1971-05,2026-03,1971-07,2026-05,1776,0.43622297457828463,0.96875,0.46483777612884064,0.9253078877925871,0.1569656479517691,0.4219529579472559
all,3,11954,11954,1971-05,2026-03,1971-08,2026-06,3469,0.3227502300485193,0.921875,0.4080895188452416,0.8978388114273547,0.12924750097789303,0.290195750376443
aquamatch_chla,3,7732,7732,1972-04,2024-05,1972-07,2024-08,1814,0.2706022859544749,0.921875,0.38209297435464584,0.8432719376683235,0.11549321945622759,0.2346094154164511
lakebed_us_cse,3,13,13,1983-02,2023-11,1983-05,2024-02,2,0.23197115384615385,0.6874999999999997,0.35040165241214427,0.8397231096029278,0.1025140592499873,0.15384615384615385
wqp,3,4209,4209,1971-05,2026-03,1971-08,2026-06,1653,0.41882721549061536,0.9375,0.45602376077085727,0.9194111192226411,0.15459690451031882,0.39272986457590875
