rank_within_horizon,source_id,site_id,split,origin_year_month,forecast_year_month,rollout_horizon_months,alert_probability_irc,irc_mean,irc_p95,probability_bloom_mean,predicted_alert_h,alert_band,origin_irc1_rollout_basis
1,wqp,wqp:21FLKWAT_WQX-CHA-SUNAPEE-1,test,2024-06,2024-07,1,1.0,0.9172601895406842,0.9999165028333664,0.6989715210787093,True,very_high,1.0
2,wqp,wqp:21FLKWAT_WQX-CHA-WF-6-2,test,2024-06,2024-07,1,1.0,0.9204289428889751,1.0,0.696307367381814,True,very_high,0.9967573285102844
3,wqp,wqp:21FLKWAT_WQX-POL-BOCACOVE-3,test,2023-05,2023-06,1,1.0,0.9174982160329819,1.0,0.6932960920220631,True,very_high,1.0
4,wqp,wqp:21FLKWAT_WQX-CHA-WF-6-1,test,2024-06,2024-07,1,1.0,0.9157632160931826,1.0,0.692130626611853,True,very_high,1.0
5,wqp,wqp:21FLKWAT_WQX-POL-BIGBASS-3,test,2023-05,2023-06,1,1.0,0.9134282823652029,1.0,0.6870179744764201,True,very_high,1.0
6,wqp,wqp:21FLKWAT_WQX-POL-LITTLEBA-3,test,2023-05,2023-06,1,1.0,0.9148039808496833,1.0,0.6862352789425754,True,very_high,1.0
7,wqp,wqp:21FLKWAT_WQX-CHA-WF-2-3,test,2024-06,2024-07,1,1.0,0.9088980834931135,0.998860216140747,0.6844503449634365,True,very_high,0.9967573285102844
8,wqp,wqp:21FLKWAT_WQX-SAR-LAKE-M-9-3,test,2024-08,2024-09,1,1.0,0.9117147941142321,1.0,0.6745716749830586,True,very_high,0.9865973591804504
9,wqp,wqp:21FLKWAT_WQX-POL-LITTLEBA-1,test,2023-05,2023-06,1,1.0,0.9053499549627304,1.0,0.6722554562666961,True,very_high,1.0
10,wqp,wqp:21FLKWAT_WQX-POL-LITTLEBA-2,test,2023-05,2023-06,1,1.0,0.9079327760264277,1.0,0.6705783689382586,True,very_high,1.0
11,wqp,wqp:21FLKWAT_WQX-POL-GASKIN'S-3,test,2023-05,2023-06,1,1.0,0.906711945310235,1.0,0.6689281231009354,True,very_high,1.0
12,wqp,wqp:21FLKWAT_WQX-POL-FLORA-2,test,2023-05,2023-06,1,1.0,0.9051208822056651,0.9999884843826294,0.6634096004153729,True,very_high,1.0
13,wqp,wqp:21FLKWAT_WQX-POL-FLORA-1,test,2023-05,2023-06,1,1.0,0.8953754315152764,1.0,0.6624780192475193,True,very_high,1.0
14,wqp,wqp:21FLKWAT_WQX-POL-GASKIN'S-1,test,2023-05,2023-06,1,1.0,0.9021776774898171,1.0,0.6512764219945106,True,very_high,1.0
15,wqp,wqp:21FLKWAT_WQX-POL-GASKIN'S-2,test,2023-05,2023-06,1,1.0,0.8966794805601239,1.0,0.6490027673569466,True,very_high,1.0
16,wqp,wqp:21FLKWAT_WQX-POL-BOCACOVE-1,test,2023-05,2023-06,1,1.0,0.892980607226491,1.0,0.6461529049410454,True,very_high,1.0
17,wqp,wqp:21FLKWAT_WQX-POL-BOCACOVE-2,test,2023-05,2023-06,1,1.0,0.8916404815390706,1.0,0.6417156587741816,True,very_high,1.0
18,wqp,wqp:21FLKWAT_WQX-POL-FLORA-3,test,2023-05,2023-06,1,1.0,0.8933146046474576,0.9957085758447647,0.6333905512733324,True,very_high,1.0
19,wqp,wqp:21FLKWAT_WQX-SAR-LAKE-M-9-1,test,2024-08,2024-09,1,1.0,0.8811343302950263,1.0,0.615667088839084,True,very_high,0.9825332760810852
20,wqp,wqp:21FLKWAT_WQX-CHA-WF-3-2,test,2024-06,2024-07,1,1.0,0.8813697369769216,0.9990858048200607,0.6083370285474596,True,very_high,0.916920006275177
21,wqp,wqp:21FLKWAT_WQX-ORA-FAIRVIEWSO-1,test,2024-04,2024-05,1,1.0,0.883402232080698,0.9959583461284638,0.6032432780397521,True,very_high,0.9900522828102112
22,wqp,wqp:21FLKWAT_WQX-ORA-FAIRVIEWSO-2,test,2024-04,2024-05,1,1.0,0.8750560590997338,0.9935226202011108,0.5982503640136315,True,very_high,0.9872543811798096
23,wqp,wqp:21FLKWAT_WQX-CHA-WF-4-2,test,2024-06,2024-07,1,1.0,0.872019374743104,0.9998705744743347,0.5964486879167994,True,very_high,0.9687893986701965
24,wqp,wqp:21FLKWAT_WQX-CHA-WF-5-1,test,2024-06,2024-07,1,1.0,0.875260865315795,0.9803795397281647,0.5947772227953725,True,very_high,0.9718131422996521
25,wqp,wqp:21FLKWAT_WQX-CHA-WF-1-2,test,2024-06,2024-07,1,1.0,0.8796791918575764,0.9814370661973953,0.5938096428895824,True,very_high,0.9641284346580505
26,wqp,wqp:21FLKWAT-HIG-PERSIMMON-1,train,2004-07,2004-08,1,1.0,0.8706428986042738,0.9197784245014191,0.5929824418314003,True,very_high,0.9166666865348816
27,wqp,wqp:21FLKWAT-LAK-DENHAM-1,train,1999-06,1999-07,1,1.0,0.8724608169868588,0.9202701449394226,0.5901016170986821,True,very_high,0.9166666865348816
28,wqp,wqp:21FLKWAT_WQX-CHA-WF-1-1,test,2024-06,2024-07,1,1.0,0.8750445498153567,0.988208669424057,0.5874545732690583,True,very_high,0.9855955243110657
29,wqp,wqp:21FLKWAT_WQX-ORA-FAIRVIEWSO-3,test,2024-04,2024-05,1,1.0,0.8712153537198901,0.9925692141056061,0.5853465521446252,True,very_high,0.9760981202125549
30,wqp,wqp:21FLKWAT_WQX-SAR-HO6-2,test,2024-03,2024-04,1,1.0,0.8693592688068748,0.9987196266651154,0.584816450251946,True,very_high,0.9370102882385254
31,wqp,wqp:21FLSFWM-B01,train,1984-08,1984-09,1,1.0,0.8667846135795116,0.9976473778486251,0.5810051552651869,True,very_high,0.9858333468437195
32,wqp,wqp:21FLKWAT-LAK-DENHAM-3,train,1999-06,1999-07,1,1.0,0.8679221756756306,0.9196672469377518,0.5778780614348831,True,very_high,0.9166666865348816
33,wqp,wqp:21FLKWAT_WQX-SAR-HO6-1,test,2024-03,2024-04,1,1.0,0.8652438716962934,0.9946197628974914,0.5773948705931811,True,very_high,0.9825332760810852
34,wqp,wqp:21FLKWAT-GAD-TALLAVANA-1,train,2004-07,2004-08,1,1.0,0.8698350973427296,0.9196748405694961,0.5765736453208683,True,very_high,0.9166666865348816
35,wqp,wqp:21FLKWAT-HIL-HEATHER-1,train,2000-03,2000-04,1,1.0,0.8661450063809752,0.920013290643692,0.5759346871527651,True,very_high,0.9166666865348816
36,wqp,wqp:21FLKWAT_WQX-PIN-SAUNDRA-1,test,2024-08,2024-09,1,1.0,0.8713782662525773,0.9961046665906906,0.5755135463982513,True,very_high,0.9791027903556824
37,wqp,wqp:21FLKWAT-GAD-TALLAVANA-2,train,2004-07,2004-08,1,1.0,0.8635092144832015,0.9193772822618484,0.5751478312084738,True,very_high,0.9166666865348816
