target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
delta_yF,0.0,54637,0.059728542877844626,0.15583689077503293,balanced,1.5644101429121144
delta_yF,0.1,54637,0.05651456042029187,0.1464234151300249,balanced,1.4746587993408298
delta_yF,0.2,54637,0.05344689164440172,0.1373909709030843,balanced,1.388735837202884
delta_yF,0.35,54637,0.049260859320391814,0.12473697636932289,balanced,1.269707367434604
delta_yF,0.5,54637,0.04579581420950522,0.1134740353577281,balanced,1.1669071446137096
delta_yF,0.65,54637,0.043231073326419296,0.10405483629014614,balanced,1.084949654991731
delta_yF,0.8,54637,0.041733038910468985,0.0970178847961153,balanced,1.028758809392849
delta_yF,0.9,54637,0.041485766120677586,0.09392233273917609,balanced,1.009002566248944
delta_yF,1.0,54637,0.04181152891444652,0.09226115835852226,balanced,1.003926199564705
delta_yN,0.0,54637,0.041973516240568436,0.11787301021817533,balanced,1.5882239420365873
delta_yN,0.1,54637,0.039344141870671076,0.10903100989945193,balanced,1.47783310799635
delta_yN,0.2,54637,0.03688656118461262,0.10060508520436696,balanced,1.373446623803761
delta_yN,0.35,54637,0.03364100377604215,0.08900360974542515,balanced,1.232047873415551
delta_yN,0.5,54637,0.031130164644040358,0.07913085779613178,balanced,1.1159490254506588
delta_yN,0.65,54637,0.02967941585378582,0.07170449198195378,balanced,1.0359961015301007
delta_yN,0.8,54637,0.029753981483674932,0.06753640989423959,balanced,1.0060955801450935
delta_yN,0.9,54637,0.030657207097259616,0.06688900514132469,balanced,1.0164725486561266
delta_yN,1.0,54637,0.03212205748005864,0.06802219107349426,balanced,1.0496210772248573
delta_yT,0.0,54637,0.27486826987449553,0.4450254331990248,balanced,1.716454307720796
delta_yT,0.1,54637,0.25841836806963603,0.415533779111292,balanced,1.6078736012768076
delta_yT,0.2,54637,0.2424546149651621,0.38710600587665817,balanced,1.5028958448963097
delta_yT,0.35,54637,0.21973999175363507,0.34702883171872145,balanced,1.3542872535705328
delta_yT,0.5,54637,0.1992248220133206,0.3110812876814548,balanced,1.2205785344165005
delta_yT,0.65,54637,0.18239273581525856,0.28085359418514705,balanced,1.1093709497004185
delta_yT,0.8,54637,0.17232030043305346,0.2583612236240899,balanced,1.0337999744926858
delta_yT,0.9,54637,0.17081068570856,0.24873199501133897,balanced,1.0096507572801778
delta_yT,1.0,54637,0.17224520513925287,0.24402200080966407,balanced,1.0041991501431604
sigma_F,0.0,54637,0.014179847843378156,0.04591174202721033,balanced,1.0018090389044212
sigma_F,0.1,54637,0.014363606471557369,0.04579759817236103,balanced,1.0070410320539043
sigma_F,0.2,54637,0.014583932700398827,0.04574622861262876,balanced,1.0142485611088334
sigma_F,0.35,54637,0.014982690813251794,0.045787268941390284,balanced,1.0287578594047642
sigma_F,0.5,54637,0.015456189854981088,0.04596958886684044,balanced,1.0474467873088176
sigma_F,0.65,54637,0.01599605174950202,0.04629151724273148,balanced,1.0700016574900848
sigma_F,0.8,54637,0.016596553981820174,0.04675017239917286,balanced,1.0961891903212395
sigma_F,0.9,54637,0.017028502908988698,0.047129977623612644,balanced,1.1155714939989814
sigma_F,1.0,54637,0.017482312498817546,0.047567390095630185,balanced,1.136354272572664
sigma_N,0.0,54637,0.018734541780125603,0.080362056763173,balanced,1.0005262088233104
sigma_N,0.1,54637,0.018936486936674605,0.08030120513874113,balanced,1.0055368487978518
sigma_N,0.2,54637,0.01919198743546954,0.08027757123058206,balanced,1.0122086160609813
sigma_N,0.35,54637,0.019673452592099842,0.08031196195615904,balanced,1.0252724795031982
sigma_N,0.5,54637,0.020253911913057622,0.08043004817278429,balanced,1.0414996536490029
sigma_N,0.65,54637,0.0209159395178378,0.08063146260875814,balanced,1.0604227774158042
sigma_N,0.8,54637,0.021642770776724746,0.0809155817044779,balanced,1.0815905413640632
sigma_N,0.9,54637,0.02216052862086159,0.08115052361826251,balanced,1.0968721193208797
sigma_N,1.0,54637,0.02270012259502974,0.08142152580179761,balanced,1.1129610719561667
sigma_T,0.0,54637,0.05123977427937563,0.09867668073618413,balanced,1.015463612371759
sigma_T,0.1,54637,0.05163966384737724,0.09817811509036041,balanced,1.0167613637226305
sigma_T,0.2,54637,0.052051974972294954,0.09772317929219101,balanced,1.0184082371713203
sigma_T,0.35,54637,0.052701252337694404,0.09712390212423552,balanced,1.0216134326167476
sigma_T,0.5,54637,0.05338794811514161,0.09662600462103188,balanced,1.0257133419545892
sigma_T,0.65,54637,0.05410789565010908,0.09623106031357939,balanced,1.0306755265376628
sigma_T,0.8,54637,0.05486408570658587,0.09594034151395492,balanced,1.0365358166311949
sigma_T,0.9,54637,0.055386211546700946,0.09580491482269304,balanced,1.0409233068736896
sigma_T,1.0,54637,0.055922377486331665,0.09571643697811325,balanced,1.0456930506897337
yF,0.0,54637,0.03482830779938253,0.09412408972638725,balanced,1.0495938339140056
yF,0.1,54637,0.034672171295279365,0.09228533695216745,balanced,1.0366658596554403
yF,0.2,54637,0.03459806869858095,0.0906665730910101,balanced,1.026200158841899
yF,0.35,54637,0.03469080614686255,0.08867681816017665,balanced,1.0159924609069741
yF,0.5,54637,0.035058931635255086,0.08724442407978351,balanced,1.0129993274410554
yF,0.65,54637,0.03564801415240369,0.08639712134248904,balanced,1.0165950782505098
yF,0.8,54637,0.03646114112225215,0.08615217191358887,balanced,1.026924514774254
yF,0.9,54637,0.03712932686528456,0.08632656374344543,balanced,1.0375930322232654
yF,1.0,54637,0.037891714678987644,0.08676957869208243,balanced,1.051181931014439
yN,0.0,54637,0.024354690570469288,0.07129358438950475,balanced,1.0562224638215962
yN,0.1,54637,0.02434235694286801,0.06974952315092231,balanced,1.043928066338021
yN,0.2,54637,0.024400800381991106,0.0683720012732769,balanced,1.0343861777896048
yN,0.35,54637,0.024634891393551777,0.06664023270248286,balanced,1.0256896242057372
yN,0.5,54637,0.025055143619645365,0.06533770854887548,balanced,1.0241642620143228
yN,0.65,54637,0.025654799104258337,0.06449044749974235,balanced,1.0298741822444428
yN,0.8,54637,0.026426743690433054,0.06411649579006726,balanced,1.0428139878249494
yN,0.9,54637,0.02702372365228528,0.06413466569527417,balanced,1.0552178466169244
yN,1.0,54637,0.027684884322960093,0.06436691136492172,balanced,1.0706094263687982
yT,0.0,54637,0.1585982823102648,0.27394224683732193,balanced,1.0659896975979186
yT,0.1,54637,0.15907450136141787,0.2683089571951217,balanced,1.0558521441354416
yT,0.2,54637,0.15973959515973035,0.263149484731427,balanced,1.047288990397723
yT,0.35,54637,0.16116762645623758,0.256360558818083,balanced,1.0377644884897461
yT,0.5,54637,0.16311312471482595,0.2507931411618198,balanced,1.0323951104985627
yT,0.65,54637,0.16558314779220767,0.24653000632349328,balanced,1.0313741269606718
yT,0.8,54637,0.16859608962699626,0.24363963066090244,balanced,1.0349010053695618
yT,0.9,54637,0.17089186334888387,0.24250055410732735,balanced,1.0397852696533265
yT,1.0,54637,0.17342572160116856,0.2420028562356727,balanced,1.0467452707397453
