split,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
test,all,40606,0.11590932071605588,0.06242585050407137,40606,0.15473810443367164,0.07531701847694604,-0.038828783717615764,-0.012891167972874665,0.2509322694608792,0.17115876641904715
test,delta_yF,40606,0.09876834090779933,0.0476261621648171,40606,0.16777462421827066,0.07038734669140273,-0.06900628331047133,-0.022761184526585633,0.41130345922095973,0.3233704010235939
test,delta_yN,40606,0.08484508901387817,0.039046962455077244,40606,0.14831957360711379,0.057629119215715514,-0.06347448459323561,-0.01858215676063827,0.4279575719478148,0.32244387930140184
test,delta_yT,40606,0.22429931603775005,0.1579796393176097,40606,0.40105226373797886,0.2411846125598784,-0.1767529477002288,-0.08320497324226869,0.4407229772319838,0.344984584046014
test,sigma_F,40606,0.05466339859813437,0.01801815088386049,40606,0.05466339010592568,0.01801817549234225,8.492208693200443e-09,-2.46084817627501e-08,-1.5535459247486118e-07,1.3657588013397215e-06
test,sigma_N,40606,0.09499312990680671,0.026488755962704575,40606,0.0949931537164456,0.02648876644938315,-2.3809638885485818e-08,-1.0486678574117558e-08,2.506458408208822e-07,3.958915411994115e-07
test,sigma_T,40606,0.07983995577909928,0.04390112294391218,40606,0.07983995880527321,0.04390111030396885,-3.0261739364378926e-09,1.2639943328118797e-08,3.790299972246506e-08,-2.8791853419197216e-07
test,yF,40606,0.0965013818779952,0.042364727415627745,40606,0.10395423135036153,0.041857986446218735,-0.007452849472366324,0.00050674096940901,0.07169356528882079,-0.012106195553866321
test,yN,40606,0.0819732828400419,0.03412276099821807,40606,0.09003857954387051,0.033984027573094606,-0.008065296703828606,0.0001387334251234662,0.08957601002466793,-0.004082312634224156
test,yT,40606,0.22729999148299787,0.15228437239481524,40606,0.2520071648178048,0.14440202156051013,-0.024707173334806903,0.007882350834305107,0.0980415511307768,-0.05458615294386369
train,all,602390,0.10412427277846927,0.05523149812038212,602390,0.14220075557814615,0.06731407917521219,-0.03807648279967689,-0.012082581054830073,0.2677656855258552,0.179495600368836
train,delta_yF,602390,0.08841613248448982,0.03671679329663551,602390,0.15764638440830023,0.05510271786001793,-0.06923025192381041,-0.018385924563382415,0.4391489990947447,0.3336663830283241
train,delta_yN,602390,0.05002522787340176,0.015130763088010946,602390,0.08759266788685605,0.01604976658364713,-0.03756744001345429,-0.0009190034956361847,0.42888795283619363,0.057259617505748886
train,delta_yT,602390,0.2416006840325452,0.1709420492375233,602390,0.4382016904888491,0.2689258788048871,-0.1966010064563039,-0.09798382956736382,0.4486541488166778,0.3643525494935863
train,sigma_F,602390,0.048275041851537526,0.014045961244851284,602390,0.048275056161355814,0.01404598835809779,-1.430981828864919e-08,-2.7113246505588995e-08,2.9642261297055105e-07,1.9303195912132215e-06
train,sigma_N,602390,0.04877699783270577,0.007204622552796948,602390,0.04877700425888252,0.007204626472839014,-6.426176750451429e-09,-3.920042066125895e-09,1.3174603172315965e-07,5.441006665514452e-07
train,sigma_T,602390,0.07586439425603685,0.04411728746908159,602390,0.07586438328142402,0.04411728846686588,1.0974612829617314e-08,-9.977842857500363e-10,-1.4466093778033168e-07,2.261662764019186e-08
train,yF,602390,0.08979945902853445,0.032928382996735964,602390,0.09687809983331058,0.032349966738765196,-0.007078640804776132,0.000578416257970768,0.07306750253107473,-0.017879964534172076
train,yN,602390,0.048027070153709946,0.011064881944714156,602390,0.05279881525128069,0.00933788155581631,-0.004771745097570744,0.0017270003888978456,0.09037598807588776,-0.18494563018119933
train,yT,602390,0.2463334474932621,0.16493274125308935,602390,0.27377269863305626,0.15869259773597327,-0.027439251139794146,0.006240143517116076,0.10022639684964203,-0.0393222091398251
validation,all,54637,0.11420912983813869,0.06151799726611976,54637,0.15367174883954032,0.07538952986084069,-0.03946261900140163,-0.013871532594720924,0.25679813823559317,0.183998131044536
validation,delta_yF,54637,0.09226116679403035,0.04181152066708457,54637,0.15583689078548624,0.05972854160498289,-0.06357572399145589,-0.01791702093789832,0.40796324715544807,0.2999741908381634
validation,delta_yN,54637,0.06753641286741544,0.029753986807368887,54637,0.11787300925813712,0.041973516833983024,-0.05033659639072169,-0.012219530026614137,0.4270409036600277,0.29112476028505757
validation,delta_yT,54637,0.2440219782063895,0.17224513085190382,54637,0.44502543302352476,0.27486826971447476,-0.20100345481713527,-0.10262313886257093,0.4516673428111914,0.3733538941005191
validation,sigma_F,54637,0.04591173252270488,0.014179817611778398,54637,0.04591174306402961,0.014179847578434657,-1.0541324729773649e-08,-2.996665625885908e-08,2.2959975000453513e-07,2.1133271068748093e-06
validation,sigma_N,54637,0.08036204981273466,0.018734543944512655,54637,0.08036206052241976,0.01873454201554253,-1.0709685097087807e-08,1.9289701259916914e-09,1.3326792552936062e-07,-1.0296329231808183e-07
validation,sigma_T,54637,0.0986767163791374,0.05123978335583745,54637,0.09867668060707997,0.05123977349575359,3.577205742733014e-08,9.860083853563406e-09,-3.625178431950975e-07,-1.9243027790473242e-07
validation,yF,54637,0.08724442288083435,0.03505892822721822,54637,0.09412409065935806,0.03482830689805052,-0.00687966777852371,0.00023062132916770034,0.07309146606708508,-0.006621663517631664
validation,yN,54637,0.06533770881152162,0.025055149370980304,54637,0.0712935839735016,0.024354690351490925,-0.005955875161979984,0.0007004590194893794,0.08354012843839725,-0.028760744209030735
validation,yT,54637,0.24652998026848016,0.16558311455839364,54637,0.27394224766232583,0.15859828025485323,-0.02741226739384567,0.00698483430354041,0.10006586288813446,-0.04404104692885955
