split,target,rows,rmse,mae
train,all,1065877,0.15143881305576917,0.07063071227071374
train,yN,1065877,0.07048837768329252,0.01645082854549157
train,yF,1065877,0.11263152915539157,0.043241497721902306
train,yT,1065877,0.2627759746161429,0.14871100130131396
train,sigma_N,1065877,0.06161467386810135,0.011739605745561526
train,sigma_F,1065877,0.05267219681650523,0.017786418065164098
train,sigma_T,1065877,0.08694041226795612,0.04550959566278583
train,delta_yN,1065877,0.11414040978745794,0.02754407639291164
train,delta_yF,1065877,0.18170790965075762,0.07289106460829617
train,delta_yT,1065877,0.4199778336563172,0.2518023223929966
validation,all,116097,0.1613444552450462,0.07864673809319261
validation,yN,116097,0.08502401917671491,0.030097595159375327
validation,yF,116097,0.11246492569309516,0.04507041165520777
validation,yT,116097,0.26348397172034166,0.15226048641867543
validation,sigma_N,116097,0.08736207230820506,0.023048423112491032
validation,sigma_F,116097,0.057025215153939886,0.019086534553545677
validation,sigma_T,116097,0.10371493167839342,0.05252129362050796
validation,delta_yN,116097,0.13744380675797635,0.050688520414806454
validation,delta_yF,116097,0.18318770714608407,0.0763084442263274
validation,delta_yT,116097,0.42239344757066555,0.25873893367779643
test,all,86069,0.167902689074222,0.08269412878788995
test,yN,86069,0.10615523995787639,0.04200492737061441
test,yF,86069,0.12263346409163409,0.05337020457092232
test,yT,86069,0.2487008881497929,0.14308379063909296
test,sigma_N,86069,0.10984920936117999,0.03437712150682019
test,sigma_F,86069,0.06324967600955532,0.02274006348393401
test,sigma_T,86069,0.09677893737847257,0.049173828610767696
test,delta_yN,86069,0.17209032977634847,0.07098757668855157
test,delta_yF,86069,0.1998840485683782,0.09061972432367518
test,delta_yT,86069,0.39178240837476,0.23788992189663127
