split,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,all,1065877,0.11077470933478083,0.057708774801766914,-2.7192612211312115,0.9395205387988796,0.2811811467808485
train,yN,1065877,0.06497254193791575,0.017657080575657937,-3.8533347417378816,0.9784280925472639,0.12099761498131008
train,yF,1065877,0.10287097308657055,0.04445897802055883,-2.8277059159812983,0.9471683880973133,0.22186462745577282
train,yT,1065877,0.23558019484783888,0.15422322304633543,-1.0623719238164893,0.881995764989769,0.6790637068420792
train,sigma_N,1065877,0.06161466718115295,0.011739601959070168,-3.7636979325607345,0.9828263486312211,0.11581985493689126
train,sigma_F,1065877,0.0526721944225515,0.017786391700334907,-3.0855337708574258,0.9592954909431388,0.1213285714466714
train,sigma_T,1065877,0.07978529438950747,0.04674877423511094,-2.1361468600337354,0.8776097054350549,0.22710700088676244
train,delta_yN,1065877,0.06446604508593887,0.018697202773868733,-3.856137132172727,0.9793212537656784,0.12151629564038338
train,delta_yF,1065877,0.10379780923523149,0.04624175001011897,-2.8079484841568036,0.9549769813965401,0.2429325997772454
train,delta_yT,1065877,0.23121266382632003,0.1618259708948463,-1.0804742288638107,0.8940628233839364,0.6800000490605206
validation,all,116097,0.11909668904954798,0.06385156338299253,-2.5509106490066347,0.9365147726087285,0.32007218171354007
validation,yN,116097,0.0786875381355423,0.03070560692703769,-3.3845595122051093,0.9632376374927862,0.19102587075960728
validation,yF,116097,0.1026431494604694,0.04554882048492667,-3.03325400681919,0.9618250256251238,0.2624663310390756
validation,yT,116097,0.23537285831541346,0.15737226667203497,-0.9867452025106498,0.8741569549600765,0.6861737890194326
validation,sigma_N,116097,0.08736207556440194,0.023048421119338955,-3.037153815301482,0.9670620257198722,0.17635946129968494
validation,sigma_F,116097,0.057025204245074276,0.01908649869202013,-3.225810113172471,0.9668553020319216,0.14461080390357595
validation,sigma_T,116097,0.09697004533250238,0.05428172640957906,-1.9953579939737218,0.8776884846292324,0.25897485153469124
validation,delta_yN,116097,0.07772422376813835,0.03157636572559203,-3.3895978395725934,0.9654685306252531,0.1927549069304213
validation,delta_yF,116097,0.10484738415597068,0.04788369634526716,-2.903904249509233,0.9664504681430184,0.28124946106562143
validation,delta_yT,116097,0.23123772246841906,0.1651606680711361,-1.0018131079952608,0.8858885242512726,0.6870341598697506
test,all,86069,0.12530733441363562,0.06809151940721381,-2.34142527329433,0.9344647253301938,0.3564459588387541
test,yN,86069,0.09775642230402595,0.04215268612622641,-2.9054752264712134,0.9453577943278068,0.23837731939373258
test,yF,86069,0.11241330075068179,0.05419177403436882,-2.797788324570927,0.9559771810988857,0.31158299919181337
test,yT,86069,0.22311063406999188,0.1498341355986784,-1.016642203880191,0.887555333511485,0.706457226416204
test,sigma_N,86069,0.10984919894003072,0.03437711780097214,-2.636433002885575,0.9476698927604597,0.2184129986722391
test,sigma_F,86069,0.06324966798985414,0.022740030884541906,-3.0677374654840657,0.9647143570855942,0.16942635560249278
test,sigma_T,86069,0.09018580544721022,0.05090934947512393,-2.0198614202943337,0.8996386620037412,0.28175085434043107
test,delta_yN,86069,0.09598746179714455,0.04296918254070421,-2.9266657419921276,0.9497380009062496,0.2406694109316941
test,delta_yF,86069,0.11469277747071639,0.056909642032673416,-2.676247022900674,0.9608686054212318,0.3322580429469127
test,delta_yT,86069,0.22052074095306493,0.1587397561716351,-1.0259770511698598,0.8986627008562897,0.709078422053267
