split,target,rows,rmse,mae
train,all,602390,0.14220075557814615,0.06731407917521219
train,yN,602390,0.05279881525128069,0.00933788155581631
train,yF,602390,0.09687809983331058,0.032349966738765196
train,yT,602390,0.27377269863305626,0.15869259773597327
train,sigma_N,602390,0.04877700425888252,0.007204626472839014
train,sigma_F,602390,0.048275056161355814,0.01404598835809779
train,sigma_T,602390,0.07586438328142402,0.04411728846686588
train,delta_yN,602390,0.08759266788685605,0.01604976658364713
train,delta_yF,602390,0.15764638440830023,0.05510271786001793
train,delta_yT,602390,0.4382016904888491,0.2689258788048871
validation,all,54637,0.15367174883954032,0.07538952986084069
validation,yN,54637,0.0712935839735016,0.024354690351490925
validation,yF,54637,0.09412409065935806,0.03482830689805052
validation,yT,54637,0.27394224766232583,0.15859828025485323
validation,sigma_N,54637,0.08036206052241976,0.01873454201554253
validation,sigma_F,54637,0.04591174306402961,0.014179847578434657
validation,sigma_T,54637,0.09867668060707997,0.05123977349575359
validation,delta_yN,54637,0.11787300925813712,0.041973516833983024
validation,delta_yF,54637,0.15583689078548624,0.05972854160498289
validation,delta_yT,54637,0.44502543302352476,0.27486826971447476
test,all,40606,0.15473810443367164,0.07531701847694604
test,yN,40606,0.09003857954387051,0.033984027573094606
test,yF,40606,0.10395423135036153,0.041857986446218735
test,yT,40606,0.2520071648178048,0.14440202156051013
test,sigma_N,40606,0.0949931537164456,0.02648876644938315
test,sigma_F,40606,0.05466339010592568,0.01801817549234225
test,sigma_T,40606,0.07983995880527321,0.04390111030396885
test,delta_yN,40606,0.14831957360711379,0.057629119215715514
test,delta_yF,40606,0.16777462421827066,0.07038734669140273
test,delta_yT,40606,0.40105226373797886,0.2411846125598784
