split,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
test,all,17420,0.10912852335841533,0.05801528488773064,17420,0.1502124247613828,0.07370182161410603,-0.04108390140296747,-0.01568653672637539,0.2735053472988706,0.21283784284882715
test,delta_yF,17420,0.09106815305127057,0.047410419039282815,17420,0.1630622050559579,0.06900768979213148,-0.07199405200468732,-0.021597270752848667,0.44151280782681185,0.3129690447239297
test,delta_yN,17420,0.07859275392613059,0.03475784149564093,17420,0.14935259401327203,0.06141122394188189,-0.07075984008714144,-0.026653382446240964,0.4737771081555735,0.43401483858170753
test,delta_yT,17420,0.20269785460842699,0.13817038727682576,17420,0.385113285932532,0.23094663542988667,-0.18241543132410504,-0.0927762481530609,0.47366693902132057,0.4017215837778548
test,sigma_F,17420,0.05149793990389392,0.0174741983687426,17420,0.05149794458534569,0.017474223848094387,-4.681451774846135e-09,-2.5479351788149085e-08,9.090560434092147e-08,1.4581106439773393e-06
test,sigma_N,17420,0.09624982392778761,0.027819940608623518,17420,0.09624982610397069,0.027819951371538407,-2.1761830809596816e-09,-1.0762914889189679e-08,2.260973519691279e-08,3.8687755939792297e-07
test,sigma_T,17420,0.07576605445245703,0.04317324865014901,17420,0.0765173030200839,0.04261684134199844,-0.0007512485676268721,0.0005564073081505694,0.009818022041755548,-0.013056042884206812
test,yF,17420,0.0978602145693554,0.04117729172504044,17420,0.09907832230036724,0.04070776553874907,-0.0012181077310118443,0.0004695261862913691,0.012294391979297064,-0.01153406923906041
test,yN,17420,0.08470778666268705,0.036706741039569564,17420,0.0906855726973068,0.03643796115919285,-0.00597778603461975,0.00026877988037671274,0.06591771829652104,-0.007376369912752456
test,yT,17420,0.20371612912372888,0.13544749578570114,17420,0.24035476914360895,0.13689410210348102,-0.03663864001988007,-0.001446606317779875,0.15243566895062916,0.010567338516062261
train,all,378557,0.09573933583295152,0.050381724903860385,378557,0.13554656028138215,0.06451877807387668,-0.03980722444843063,-0.014137053170016296,0.2936793406324329,0.2191153272281255
train,delta_yF,378557,0.08047454652755122,0.03634941123787648,378557,0.14689128304428692,0.04906364164059999,-0.0664167365167357,-0.012714230402723507,0.4521489304216331,0.2591375197107776
train,delta_yN,378557,0.03826273362203102,0.0077006771791737596,378557,0.07282056873303237,0.01164747379480895,-0.034557835111001356,-0.00394679661563519,0.47456145581194104,0.33885430310169057
train,delta_yT,378557,0.22745517695126755,0.15698886622104863,378557,0.43686240294733136,0.26703906107607217,-0.20940722599606382,-0.11005019485502354,0.4793436665258424,0.41211272392720566
train,sigma_F,378557,0.045884957322062866,0.012699038479860513,378557,0.04588496612695152,0.01269906253216614,-8.80488865151463e-09,-2.4052305626354187e-08,1.9189049038750168e-07,1.894022142613347e-06
train,sigma_N,378557,0.04122226286682951,0.005243056400966277,378557,0.04122226605749145,0.005243058703222287,-3.1906619429866723e-09,-2.302256009965864e-09,7.740142035221335e-08,4.3910551841636636e-07
train,sigma_T,378557,0.0711180009700346,0.043371745764440986,378557,0.07196340219499839,0.0429372295715666,-0.0008454012249637932,0.000434516192874386,0.011747655046561297,-0.01011980039723211
train,yF,378557,0.0879711375736568,0.029085518940921283,378557,0.08936965373702793,0.02849713672224933,-0.0013985161633711385,0.000588382218671954,0.015648669373681378,-0.020647064454463966
train,yN,378557,0.04065054499362695,0.008988813537874249,378557,0.04348358174627022,0.006663063825571275,-0.002833036752643271,0.0023257497123029738,0.06515187201399925,-0.34905109318888594
train,yT,378557,0.22861466166950306,0.15300839637258123,378557,0.2714209179450492,0.15687927479863337,-0.04280625627554613,-0.0038708784260521323,0.15771170696656664,0.024674249871569732
validation,all,22087,0.11283984144851493,0.06012554383734022,22087,0.15747906055505026,0.07774307428064922,-0.04463921910653533,-0.017617530443309,0.28346129923051394,0.2266122173109653
validation,delta_yF,22087,0.08442023189708843,0.04108218220126857,22087,0.1499019871545891,0.05795078672068996,-0.06548175525750068,-0.01686860451942139,0.43683046836444833,0.29108499597640236
validation,delta_yN,22087,0.0628206997450804,0.023926182080239198,22087,0.12002908976697779,0.041589937017229725,-0.0572083900218974,-0.017663754936990527,0.4766210435566968,0.4247122309820487
validation,delta_yT,22087,0.23946647905119253,0.16664284295794402,22087,0.4657558766420877,0.28917050844107683,-0.22628939759089514,-0.12252766548313282,0.4858540899630737,0.42372116763801937
validation,sigma_F,22087,0.04892513176679256,0.014611799342271648,22087,0.048925153751488946,0.014611831893657161,-2.1984696389754088e-08,-3.255138551240544e-08,4.493536494831153e-07,2.227741582938389e-06
validation,sigma_N,22087,0.08526779586403486,0.01969647179767351,22087,0.08526782862026627,0.01969648484265973,-3.275623140785999e-08,-1.3044986219706844e-08,3.841569785216105e-07,6.623002187402138e-07
validation,sigma_T,22087,0.09614079819042602,0.05193469445259708,22087,0.09735743147643704,0.051410374907652975,-0.0012166332860110152,0.000524319544944106,0.012496563103202565,-0.010198710783298636
validation,yF,22087,0.09015934731647983,0.03448694798925547,22087,0.0914036280320771,0.03401176659484653,-0.0012442807155972763,0.00047518139440894114,0.013613034213046877,-0.013971088302156605
validation,yN,22087,0.06725403513203584,0.025198110854279736,22087,0.07188778284957195,0.02407862550210902,-0.0046337477175361075,0.0011194853521707161,0.06445806970055551,-0.04649290932626788
validation,yT,22087,0.24110405407350397,0.16355066286053271,22087,0.28678276670195624,0.16716735260592103,-0.04567871262845227,-0.003616689745388313,0.1592798380243142,0.02163514399796872
