target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
delta_yF,0.0,22087,0.05795078758591734,0.14990199007073307,balanced,1.6250285351237417
delta_yF,0.1,22087,0.05470399877184918,0.14053246925779184,balanced,1.5284033237320993
delta_yF,0.2,22087,0.051565496444529436,0.13153603729609062,balanced,1.435348992193338
delta_yF,0.35,22087,0.04718785836038483,0.1189253322671656,balanced,1.3051970104820136
delta_yF,0.5,22087,0.04335999656145638,0.10770472583243325,balanced,1.1902776129481691
delta_yF,0.65,22087,0.040357061891205616,0.09835115170707968,balanced,1.0969570692933623
delta_yF,0.8,22087,0.038428131017504884,0.0914393663077632,balanced,1.0318202708566782
delta_yF,0.9,22087,0.0379477618489447,0.0884794479346909,balanced,1.0084806319327284
delta_yF,1.0,22087,0.03813689234420066,0.08700375430071117,balanced,1.0024919848502372
delta_yN,0.0,22087,0.0415899370257126,0.12002908900066687,balanced,1.8047477622780663
delta_yN,0.1,22087,0.03870942327264544,0.11141255112400587,balanced,1.6773625208283733
delta_yN,0.2,22087,0.03593375419498478,0.10310737878841762,balanced,1.5545960518131392
delta_yN,0.35,22087,0.03202662718065588,0.09141837767356295,balanced,1.3817987071300903
delta_yN,0.5,22087,0.02854238769707676,0.08100530219684757,balanced,1.2277888572689082
delta_yN,0.65,22087,0.0257902602209859,0.07242063939567382,balanced,1.1033080945138534
delta_yN,0.8,22087,0.024335825530163717,0.06637763134019535,balanced,1.02566223114676
delta_yN,0.9,22087,0.02419207337573282,0.06412930628845105,balanced,1.0049867191160065
delta_yN,1.0,22087,0.02458096469690549,0.06349603253003487,balanced,1.0080375773323085
delta_yT,0.0,22087,0.28917051291041534,0.46575587562889964,balanced,1.8102830121408648
delta_yT,0.1,22087,0.2706352811091331,0.4330606161341187,balanced,1.6883759812926895
delta_yT,0.2,22087,0.25258426836381415,0.40145379703889744,balanced,1.5701378759645208
delta_yT,0.35,22087,0.22677978869339857,0.356715122013653,balanced,1.4020309178849202
delta_yT,0.5,22087,0.20342887974791451,0.31638625574526286,balanced,1.250230303097363
delta_yT,0.65,22087,0.1841820676140978,0.2823630794039723,balanced,1.123492890825215
delta_yT,0.8,22087,0.1724536526320276,0.25716065504862823,balanced,1.0370260471413562
delta_yT,0.9,22087,0.17054685460612792,0.24663759204005156,balanced,1.00968934609547
delta_yT,1.0,22087,0.17265165557564263,0.24194893804377648,balanced,1.0061707410974412
sigma_F,0.0,22087,0.014611832157614633,0.048925152947599373,balanced,1.0005223919730266
sigma_F,0.1,22087,0.01486839933771467,0.04887409008290279,balanced,1.0087794322208365
sigma_F,0.2,22087,0.015177127795431643,0.0489221285177093,balanced,1.01983521398264
sigma_F,0.35,22087,0.015744005472807843,0.0491792033535382,balanced,1.0418630831487665
sigma_F,0.5,22087,0.016412434676387925,0.04965500984194343,balanced,1.069603633737049
sigma_F,0.65,22087,0.017170055447867424,0.05034334818091258,balanced,1.1025704960014338
sigma_F,0.8,22087,0.017999154550857467,0.05123565275249305,balanced,1.1400699140388868
sigma_F,0.9,22087,0.018588093497567803,0.051938745249667614,balanced,1.1674156198053223
sigma_F,1.0,22087,0.019202409811965932,0.05272443731171094,balanced,1.1964747338171033
sigma_N,0.0,22087,0.01969648388753672,0.08526782422142601,balanced,1.0
sigma_N,0.1,22087,0.02026963563180636,0.08528553559357131,balanced,1.0146534527398652
sigma_N,0.2,22087,0.020869826678968077,0.08533064902487067,balanced,1.0301539870071095
sigma_N,0.35,22087,0.021820329327707885,0.08544960045154222,balanced,1.0549802427713173
sigma_N,0.5,22087,0.022834571354438955,0.08562985169339071,balanced,1.0817839925906776
sigma_N,0.65,22087,0.02391244358337875,0.08587101720667627,balanced,1.1105602042306675
sigma_N,0.8,22087,0.025037575562543133,0.086172585189097,balanced,1.1408903086688134
sigma_N,0.9,22087,0.02580664518080588,0.08640687886459818,balanced,1.1617871958550032
sigma_N,1.0,22087,0.026590972897281805,0.08666752141279759,balanced,1.1832259200873247
sigma_T,0.0,22087,0.051410376774631644,0.09735743058128786,balanced,1.046066826910141
sigma_T,0.1,22087,0.05146294591781666,0.09627899087100401,balanced,1.0405292502085912
sigma_T,0.2,22087,0.05153134794585404,0.09525326705956493,balanced,1.035441336329491
sigma_T,0.35,22087,0.05166463212461304,0.09381728323310197,balanced,1.0286833423184163
sigma_T,0.5,22087,0.051835842895093305,0.09250948463673453,balanced,1.02301318602864
sigma_T,0.65,22087,0.052057459759519004,0.09133537633356931,balanced,1.0185831161702954
sigma_T,0.8,22087,0.05232296144567771,0.09030017271310398,balanced,1.015358955968889
sigma_T,0.9,22087,0.052520513610107546,0.0896896081134486,balanced,1.0138556939013488
sigma_T,1.0,22087,0.052736400915648386,0.08914424552410018,balanced,1.0128964639456899
yF,0.0,22087,0.034011768281133274,0.09140362839115357,balanced,1.0478250048275952
yF,0.1,22087,0.033944992358587285,0.08991380763690753,balanced,1.0379337985557813
yF,0.2,22087,0.0339187832056124,0.08856730647612988,balanced,1.029497423481379
yF,0.35,22087,0.03398549156795185,0.08683065874220042,balanced,1.0200982727964247
yF,0.5,22087,0.03418183521022564,0.08545186165907241,balanced,1.0147494892202138
yF,0.65,22087,0.034516801439890554,0.084448438849625,balanced,1.0136883200447788
yF,0.8,22087,0.03499969289933982,0.08383387064456001,balanced,1.0171324882233446
yF,0.9,22087,0.03538566240821984,0.08364464632463922,balanced,1.0216908285007826
yF,1.0,22087,0.03584020825505781,0.08363336868932333,balanced,1.0283239088766525
yN,0.0,22087,0.02407862510030027,0.07188778272371833,balanced,1.0556289931254565
yN,0.1,22087,0.02459358289252909,0.07042832534914126,balanced,1.055041933898516
yN,0.2,22087,0.025153615796701483,0.06911631943733913,balanced,1.0565305425520237
yN,0.35,22087,0.026085375098734806,0.06744333816638956,balanced,1.0629481429924335
yN,0.5,22087,0.027119318529064178,0.06614784845814954,balanced,1.0744053040276385
yN,0.65,22087,0.028292841178799745,0.06525234377430798,balanced,1.0918524007079067
yN,0.8,22087,0.029615449458502353,0.06477341187526504,balanced,1.1156150452703217
yN,0.9,22087,0.030563358032790297,0.06469045317392809,balanced,1.1346574587518528
yN,1.0,22087,0.03155482819768288,0.06479764625945653,balanced,1.1560741471283669
yT,0.0,22087,0.16716735372829608,0.28678276425476923,balanced,1.101312969011286
yT,0.1,22087,0.16630802559551433,0.27924775533242174,balanced,1.0830649112668604
yT,0.2,22087,0.1656924470670141,0.2722545377800441,balanced,1.0666794418799492
yT,0.35,22087,0.16527068355351496,0.2628742543644543,balanced,1.0459229998282726
yT,0.5,22087,0.16552939833589542,0.2549545388465546,balanced,1.0302584641697219
yT,0.65,22087,0.16653055783529694,0.24863500610940129,balanced,1.0201632490131247
yT,0.8,22087,0.16828070992163094,0.24403999679198599,balanced,1.0159153877888252
yT,0.9,22087,0.16987720191918607,0.24198476363145435,balanced,1.0164771219901731
yT,1.0,22087,0.17177292148529466,0.24076129275295688,balanced,1.0196714801196858
