epoch,train_loss,validation_loss,validation_rmse_all,validation_mae_all,validation_selection_objective,validation_blend_selection_metric,epoch_seconds,best_validation_loss,best_validation_objective
1,-1.8610655039595874,-1.6987870521001798,0.14075774820534484,0.07339330119012687,0.9189341011451417,balanced,2.9924140799994348,-1.6987870521001798,0.9189341011451417
2,-2.3315415368340515,-1.9077119123127055,0.11895839984770563,0.06439380536175573,0.791840891808312,balanced,2.702573870999913,-1.9077119123127055,0.791840891808312
3,-2.472587447546885,-1.9507410098239155,0.11857462091344992,0.06451840334321492,0.7914237285599108,balanced,2.7536044950029464,-1.9507410098239155,0.7914237285599108
4,-2.64328754667359,-2.4257430904139463,0.11557219215396437,0.06356741231077792,0.7757746985423786,balanced,2.726650258002337,-2.4257430904139463,0.7757746985423786
5,-2.7947440347641352,-2.666310244263522,0.11464346391850785,0.06328563112726665,0.7710137038333678,balanced,2.6834690129981027,-2.666310244263522,0.7710137038333678
6,-2.8994096424946316,-2.661117937866341,0.11722457785141087,0.06441833936913191,0.7864937521430887,balanced,2.6361109200006467,-2.666310244263522,0.7710137038333678
7,-2.7773484924763583,-2.820147289881998,0.1157919128973906,0.0647336527357594,0.7839729240137929,balanced,2.725779970001895,-2.666310244263522,0.7710137038333678
8,-2.7986384448128634,-2.6959891028740377,0.11718813002090293,0.06532152356584406,0.7921868052862289,balanced,2.658903146002558,-2.666310244263522,0.7710137038333678
9,-3.1325875464555564,-3.0632404049897834,0.11459184824377187,0.06230773959028373,0.7645605709782565,balanced,2.704236002995458,-3.0632404049897834,0.7645605709782565
10,-3.1616076282373173,-3.023048570444635,0.11435814174190329,0.06263530928601771,0.7659252921151551,balanced,2.7389390180032933,-3.0632404049897834,0.7645605709782565
11,-3.3144685092728237,-3.2682348552207654,0.11450808309959143,0.0623742923538049,0.7647226447029298,balanced,2.7180308509996394,-3.0632404049897834,0.7645605709782565
12,-2.9958474219654514,-3.138968866488984,0.11434868983342711,0.06295156816150639,0.7679292823838655,balanced,2.830720243000542,-3.0632404049897834,0.7645605709782565
13,-3.2782406372157205,-2.7688747946617047,0.11515965052533422,0.06411448708007933,0.777983347571817,balanced,2.877973517002829,-3.0632404049897834,0.7645605709782565
14,-2.954918064449724,-2.9922757401550353,0.11448212284356554,0.062139892680313134,0.7631326925491304,balanced,2.8364926559952437,-2.9922757401550353,0.7631326925491304
15,-3.369072299404827,-3.2970132531449194,0.11416917546485036,0.06208793349831278,0.7618049042905657,balanced,2.739356840000255,-3.2970132531449194,0.7618049042905657
16,-3.057250582324783,-2.3648713397973395,0.11434892513771379,0.06252267151597389,0.7651716059846793,balanced,2.576579173997743,-3.2970132531449194,0.7618049042905657
17,-3.253692023557122,-2.9811322320207623,0.11358310304482251,0.063464880700863,0.7687998643097474,balanced,2.715672803002235,-3.2970132531449194,0.7618049042905657
18,-3.350548959879728,-3.240222065403532,0.11314430542471582,0.06172244344829141,0.7562002882791241,balanced,2.7073388080025325,-3.240222065403532,0.7562002882791241
19,-3.255945522447099,-3.1823988944789967,0.11293212684621122,0.062293949494115014,0.7592022233749645,balanced,2.8315058980006143,-3.240222065403532,0.7562002882791241
20,-3.272897247483927,-3.07626425312121,0.1128151013942193,0.06104626887085101,0.7508062802159714,balanced,2.8314832270043553,-3.07626425312121,0.7508062802159714
