split,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,all,808970,0.1038414982032111,0.05487192066888855,-2.1854984858303603,0.9312726883155948,0.3401986628364485
train,yN,808970,0.060548886483915695,0.02376507089708518,-2.9080059687870268,0.9482873283310876,0.15617777871097085
train,yF,808970,0.12799382557035435,0.07451185564314779,-1.6780018375422594,0.8854147867040805,0.38330814997999596
train,yT,808970,0.17738496044561775,0.10090962246586997,-1.5263465312375541,0.9058259267958021,0.5140174795278994
train,sigma_N,808970,0.06437916941604341,0.01830098236005165,-2.7183403360924263,0.9709618403649085,0.1979695737539476
train,sigma_F,808970,0.04233592261493741,0.018152309559593346,-2.8328813089652973,0.9314127841576325,0.1362296543824301
train,sigma_T,808970,0.07369161250482409,0.03393367213301159,-1.9483938039907476,0.9811352707764194,0.5493131497033688
train,delta_yN,808970,0.06343850197042315,0.02540441782893431,-2.8943191457446362,0.9504270862949182,0.16494486271588676
train,delta_yF,808970,0.13144730736750038,0.08216978743832072,-1.6712685555284856,0.893171563840439,0.39902091615301455
train,delta_yT,808970,0.19335329745528368,0.11669956769398243,-1.4919288845848093,0.9148176075750646,0.5608064006005223
validation,all,91226,0.11686725510796071,0.06733725996054649,-1.5876931515370063,0.9250091957214926,0.4645779549648805
validation,yN,91226,0.08123961381129731,0.04446010319050738,-1.6010801877187861,0.9250323372722689,0.3174159291871865
validation,yF,91226,0.1302335768823016,0.07869595362538846,-1.6041531174230927,0.9007739021770109,0.43520009005686255
validation,yT,91226,0.18686906119730526,0.11668834929229674,-1.3519256520208054,0.8920044724091816,0.5847695203684993
validation,sigma_N,91226,0.09848701240717714,0.0402157922253456,-1.168728783749887,0.9429767829346897,0.391499519159973
validation,sigma_F,91226,0.046634823721580426,0.02029916707146911,-2.6278327415181457,0.9379124372437683,0.16882687732729235
validation,sigma_T,91226,0.08538765540499599,0.043977327045518204,-1.4824551216510027,0.9863744984982351,0.8350658592792984
validation,delta_yN,91226,0.08512977412772327,0.04610265408114644,-1.5694670834099222,0.9285620327538202,0.34541178426005964
validation,delta_yF,91226,0.13496441823277816,0.0863455178049612,-1.5821466873072267,0.9072194330563655,0.45579779068390247
validation,delta_yT,91226,0.2028593601864873,0.1292504753082853,-1.3014489890341878,0.9042268651480937,0.6472142243608507
test,all,86478,0.12088505948226233,0.07080428555329532,-1.505497407295766,0.9166981454499668,0.48685647332939197
test,yN,86478,0.08851439070362081,0.050382934343048684,-1.5002002682980629,0.904819722935313,0.32963927486519107
test,yF,86478,0.13280560913790115,0.0806238512158154,-1.584329808943008,0.9023797960174842,0.45036346443310543
test,yT,86478,0.18707324217591098,0.11940563869491758,-1.1917293993848146,0.8875783436249682,0.6174901984644938
test,sigma_N,86478,0.11187318300975152,0.048468880942423694,-1.228061454628439,0.9193320844607877,0.4041130708008829
test,sigma_F,86478,0.04795813888517172,0.021169818441004174,-2.548746682682301,0.9331506279053632,0.17669114647687106
test,sigma_T,86478,0.08322457317861072,0.04393764688970919,-1.340679900162469,0.986401165614376,0.8857961107809528
test,delta_yN,86478,0.09346257701936646,0.052291983881430984,-1.463884435553244,0.9076412497976364,0.3578133409819888
test,delta_yF,86478,0.13853293784260093,0.08837074469112854,-1.5593105372536946,0.9090982677675247,0.4732673962800691
test,delta_yT,86478,0.2045208833874267,0.1325870708801796,-1.1325341787558596,0.8998820509262472,0.6865342568809725
