split,target,rows,rmse,mae
train,all,808970,0.13686957796201996,0.06809924663635764
train,yN,808970,0.0640794017963948,0.023360065386464252
train,yF,808970,0.13602904209576655,0.07353671508939728
train,yT,808970,0.1970091360540094,0.0970059370218021
train,sigma_N,808970,0.0643791711532541,0.018300984483252507
train,sigma_F,808970,0.042335925549238276,0.018152312456588632
train,sigma_T,808970,0.07369160486656832,0.03393368802236455
train,delta_yN,808970,0.10912469009845158,0.04252844668308386
train,delta_yF,808970,0.22864764324186979,0.13274259892755433
train,delta_yT,808970,0.31652958680262683,0.1733324716567112
validation,all,91226,0.15329693482337348,0.08454419145534073
validation,yN,91226,0.08548606036192413,0.043923466712137746
validation,yF,91226,0.13821986635545933,0.07625602389611345
validation,yT,91226,0.20801539307505898,0.11319092859898547
validation,sigma_N,91226,0.09848700634300592,0.04021579210483095
validation,sigma_F,91226,0.04663483531706777,0.020299169412612186
validation,sigma_T,91226,0.08538765486385153,0.04397735634996347
validation,delta_yN,91226,0.1447040117937102,0.07916505900642348
validation,delta_yF,91226,0.23508642430544047,0.13922679066122906
validation,delta_yT,91226,0.337651160994843,0.20464313635577072
test,all,86478,0.15965252233405847,0.08974119744261098
test,yN,86478,0.09371203610513944,0.050016033298514805
test,yF,86478,0.14131842791565943,0.07815512451351746
test,yT,86478,0.2084226734427891,0.11539238055913757
test,sigma_N,86478,0.11187318769807264,0.04846887888242732
test,sigma_F,86478,0.04795814896395215,0.021169826637219277
test,sigma_T,86478,0.08322457005000439,0.04393767544074119
test,delta_yN,86478,0.15989967804118968,0.09067685250229497
test,delta_yF,86478,0.2434905095636865,0.14464150576647708
test,delta_yT,86478,0.3469734692260327,0.2152124993831692
