calibration_version,target_event,split,rollout_horizon_months,score_column,threshold,rows,positive_rows,positive_rate,predicted_positive_rows,predicted_positive_rate,tn,fp,fn,tp,precision,recall,specificity,macro_f1,fbeta,pr_auc,roc_auc,brier
pipe_neural_ode_rollout_alert_calibration_v0,bloom_h,test,1,rollout_probability_bloom_calibrated,0.14093959731543623,4673,852,0.18232398887224482,1453,0.31093515942649264,3048,773,172,680,0.4679972470750172,0.7981220657276995,0.7976969379743523,0.7279039009507684,0.6994445587327711,0.59788732915184,0.8908155817922452,0.10044953964534889
pipe_neural_ode_rollout_alert_calibration_v0,bloom_h,test,2,rollout_probability_bloom_calibrated,0.14285714285714285,4710,863,0.18322717622080678,1430,0.3036093418259023,3092,755,188,675,0.47202797202797203,0.7821552723059096,0.8037431765011698,0.7282173140464285,0.6913150348217943,0.5537646832600818,0.8727653728462473,0.1079505524521289
pipe_neural_ode_rollout_alert_calibration_v0,bloom_h,test,3,rollout_probability_bloom_calibrated,0.13043478260869565,4757,883,0.18562118982552028,1806,0.37965104057178894,2819,1055,132,751,0.4158361018826135,0.8505096262740657,0.7276716572018586,0.6923262729584783,0.703446983889097,0.5517098361491732,0.8618849360752727,0.11019390115316896
pipe_neural_ode_rollout_alert_calibration_v0,bloom_h,validation,1,rollout_probability_bloom_calibrated,0.14093959731543623,3049,410,0.13447031813709412,993,0.325680551000328,1999,640,57,353,0.3554884189325277,0.8609756097560975,0.7574838954149299,0.6773758043201203,0.670338017470566,0.5280799500649525,0.8905442749008772,0.08015689492689602
pipe_neural_ode_rollout_alert_calibration_v0,bloom_h,validation,2,rollout_probability_bloom_calibrated,0.14285714285714285,3158,441,0.1396453451551615,942,0.2982900569981001,2119,598,97,344,0.3651804670912951,0.780045351473923,0.7799043062200957,0.6782906859363043,0.6356245380635624,0.47437928702737847,0.8543770348281626,0.09039400470914169
pipe_neural_ode_rollout_alert_calibration_v0,bloom_h,validation,3,rollout_probability_bloom_calibrated,0.13043478260869565,3184,457,0.14353015075376885,1126,0.353643216080402,1966,761,92,365,0.3241563055062167,0.7986870897155361,0.720938760542721,0.641442151490728,0.6178063642518619,0.43140225654558795,0.8307266904662749,0.09796467006278511
pipe_neural_ode_rollout_alert_calibration_v0,irc_alert,test,1,alert_probability_irc,0.1796875,6145,2549,0.41480878763222134,3566,0.5803091944670464,2419,1177,160,2389,0.6699383062254627,0.9372302863868184,0.6726918798665183,0.7824195497234185,0.8679697718354891,0.8951821522201471,0.9243808560228421,0.10461868770341741
pipe_neural_ode_rollout_alert_calibration_v0,irc_alert,test,2,alert_probability_irc,0.1953125,6145,2661,0.43303498779495525,4105,0.6680227827502034,1881,1603,159,2502,0.6095006090133983,0.9402480270574972,0.5398966704936854,0.7103042473088704,0.8481930978371416,0.8548563372222775,0.888598752400516,0.13218328663738305
pipe_neural_ode_rollout_alert_calibration_v0,irc_alert,test,3,alert_probability_irc,0.171875,6145,2733,0.44475183075671276,4834,0.7866558177379984,1245,2167,66,2667,0.5517170045510964,0.9758507135016465,0.3648886283704572,0.6160550756106623,0.8458074337181275,0.8529131565346301,0.8780398404460441,0.1423776972672142
pipe_neural_ode_rollout_alert_calibration_v0,irc_alert,validation,1,alert_probability_irc,0.1796875,5069,2232,0.44032353521404616,3136,0.6186624580785165,1797,1040,136,2096,0.6683673469387755,0.9390681003584229,0.6334155798378569,0.7671915567678018,0.8687002652519893,0.8631869175623195,0.9038523675243803,0.11905224503415368
pipe_neural_ode_rollout_alert_calibration_v0,irc_alert,validation,2,alert_probability_irc,0.1953125,5069,2267,0.4472282501479582,3532,0.6967843756164924,1390,1412,147,2120,0.6002265005662514,0.9351565946184385,0.49607423269093504,0.6859305835923661,0.8412698412698412,0.821374755687205,0.8594117347020702,0.15092764768075556
pipe_neural_ode_rollout_alert_calibration_v0,irc_alert,validation,3,alert_probability_irc,0.171875,5069,2270,0.4478200828565792,4150,0.8187019135924245,857,1942,62,2208,0.5320481927710843,0.9726872246696036,0.30618077884958916,0.5744255026066672,0.8344671201814058,0.7907073143140408,0.8303191983291704,0.1686102994496264
