epoch,train_loss,validation_loss,validation_rmse_all,validation_mae_all,validation_selection_objective,validation_blend_selection_metric,epoch_seconds,best_validation_loss,best_validation_objective
1,-1.9691900686290704,-1.9945461626856558,0.11811607578830535,0.06886270470160237,0.7925112076065499,balanced,6.267515005998575,-1.9945461626856558,0.7925112076065499
2,-2.4349581343786637,-1.9738317250008464,0.11724928742444557,0.06812251519335294,0.7853065224637845,balanced,6.266643864000798,-1.9738317250008464,0.7853065224637845
3,-2.4795889251654804,-1.9839280278697398,0.11770533552018575,0.0678782458264902,0.7853493635517054,balanced,6.506287752003118,-1.9738317250008464,0.7853065224637845
4,-2.519858248115289,-1.9912394347298636,0.11766199663589161,0.0678651577844127,0.7851306039918329,balanced,6.509991248000006,-1.9912394347298636,0.7851306039918329
5,-2.546359320427341,-2.0079548965012566,0.11768060030024032,0.067797575020249,0.784791593533539,balanced,6.16904181299833,-2.0079548965012566,0.784791593533539
6,-2.5634299508151646,-1.9737900342378443,0.11715411240820006,0.06801982380212797,0.7843887717077178,balanced,6.211024893997092,-1.9737900342378443,0.7843887717077178
7,-2.576761755712298,-1.998309194326866,0.11731564820727505,0.06832546051074789,0.7867231998748085,balanced,6.161660779998783,-1.9737900342378443,0.7843887717077178
8,-2.5888315191681173,-1.9382406250228774,0.11733324883867041,0.0681246635641854,0.7855930803002797,balanced,6.450146339000639,-1.9737900342378443,0.7843887717077178
9,-2.595985165555019,-1.968906917738867,0.11668923966212413,0.06818660218314869,0.783858860883071,balanced,6.498590557002899,-1.968906917738867,0.783858860883071
10,-2.6039983863463463,-2.0344507168487853,0.11656031039164344,0.06813420968804962,0.7831284868064419,balanced,6.499249716001941,-2.0344507168487853,0.7831284868064419
11,-2.6145284416669763,-1.916312600748657,0.11696798670569189,0.06786365870299345,0.7828581251246667,balanced,6.165805990996887,-1.916312600748657,0.7828581251246667
12,-2.6196481516298253,-1.9687612027434913,0.11692225946137334,0.06786756036571491,0.7827320538350155,balanced,6.330519750998064,-1.9687612027434913,0.7827320538350155
13,-2.630058667013058,-2.0081610799141534,0.11684172254152883,0.06761510525074481,0.780976334661751,balanced,6.454957333000493,-2.0081610799141534,0.780976334661751
14,-2.640350415076909,-1.959734322503985,0.11685354643904773,0.06749072955567831,0.780279333828944,balanced,6.2712982580014796,-1.959734322503985,0.780279333828944
15,-2.648410442881421,-1.9450252290499943,0.11686725510796071,0.06733725996054649,0.779416417179208,balanced,6.25692936699852,-1.9450252290499943,0.779416417179208
16,-2.6560454109739884,-1.8689456515281564,0.11691711484802411,0.06786273377478498,0.7826867291572672,balanced,6.203165757000534,-1.9450252290499943,0.779416417179208
17,-2.663524481143162,-1.9115145879216973,0.11696388180060284,0.06742375434401371,0.780243112599981,balanced,6.2230741970015515,-1.9450252290499943,0.779416417179208
18,-2.6700168804593236,-1.8744938571067395,0.11663427545186243,0.06763924968153584,0.7804425079216277,balanced,6.20488438800021,-1.9450252290499943,0.779416417179208
19,-2.6755940461224474,-1.9846665256498488,0.11662449167913017,0.0678397924803524,0.781596620258143,balanced,6.245144878997962,-1.9450252290499943,0.779416417179208
20,-2.6865321505551156,-1.9518595899259257,0.11666608701279552,0.06787663886469596,0.7819502014012771,balanced,6.261227839997446,-1.9450252290499943,0.779416417179208
