policy_version,policy_name,target_event,rollout_horizon_months,calibration_split,selection_objective,fbeta_beta,min_recall,min_precision,score_column,selected_threshold,constraint_satisfied,calibration_rows,calibration_positive_rows,calibration_positive_rate,calibration_predicted_positive_rows,calibration_predicted_positive_rate,calibration_tn,calibration_fp,calibration_fn,calibration_tp,calibration_precision,calibration_recall,calibration_specificity,calibration_f1,calibration_macro_f1,calibration_fbeta,calibration_balanced_accuracy,calibration_mcc,calibration_gmean_pr,calibration_pr_distance
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,balanced_accuracy,bloom_h,1,validation,balanced_accuracy,2.0,,,rollout_probability_bloom_calibrated,0.140625,True,3049,410,0.13447031813709412,933,0.3060019678583142,2057,582,59,351,0.3762057877813505,0.8560975609756097,0.7794619173929519,0.5227103499627699,0.6939524410171367,0.6820831713952585,0.8177797391842808,0.4705103376758228,0.567511107683825,0.6401774216220484
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,closest_pr,bloom_h,1,validation,closest_pr,2.0,,,rollout_probability_bloom_calibrated,0.3484848484848485,True,3049,410,0.13447031813709412,451,0.14791734995080355,2439,200,159,251,0.5565410199556541,0.6121951219512195,0.9242137173171656,0.5830429732868757,0.7572461381614826,0.6001912960306074,0.7682044196341926,0.5154656206078484,0.5837051460991308,0.5891082162221141
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,f1,bloom_h,1,validation,f1,2.0,,,rollout_probability_bloom_calibrated,0.3484848484848485,True,3049,410,0.13447031813709412,451,0.14791734995080355,2439,200,159,251,0.5565410199556541,0.6121951219512195,0.9242137173171656,0.5830429732868757,0.7572461381614826,0.6001912960306074,0.7682044196341926,0.5154656206078484,0.5837051460991308,0.5891082162221141
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,fbeta,bloom_h,1,validation,fbeta,2.0,,,rollout_probability_bloom_calibrated,0.140625,True,3049,410,0.13447031813709412,933,0.3060019678583142,2057,582,59,351,0.3762057877813505,0.8560975609756097,0.7794619173929519,0.5227103499627699,0.6939524410171367,0.6820831713952585,0.8177797391842808,0.4705103376758228,0.567511107683825,0.6401774216220484
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,gmean_pr,bloom_h,1,validation,gmean_pr,2.0,,,rollout_probability_bloom_calibrated,0.23529411764705882,True,3049,410,0.13447031813709412,743,0.24368645457527058,2219,420,87,323,0.4347240915208614,0.7878048780487805,0.8408488063660478,0.5602775368603643,0.7288748654979273,0.677717163239614,0.8143268422074141,0.4995730827440162,0.5852159942324364,0.603791042072345
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,mcc,bloom_h,1,validation,mcc,2.0,,,rollout_probability_bloom_calibrated,0.3484848484848485,True,3049,410,0.13447031813709412,451,0.14791734995080355,2439,200,159,251,0.5565410199556541,0.6121951219512195,0.9242137173171656,0.5830429732868757,0.7572461381614826,0.6001912960306074,0.7682044196341926,0.5154656206078484,0.5837051460991308,0.5891082162221141
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,balanced_accuracy,bloom_h,2,validation,balanced_accuracy,2.0,,,rollout_probability_bloom_calibrated,0.1414141414141414,True,3158,441,0.1396453451551615,1076,0.3407219759341355,2010,707,72,369,0.3429368029739777,0.8367346938775511,0.7397865292602135,0.4864864864864865,0.662080501005277,0.6496478873239436,0.7882606115688823,0.42163136949771357,0.5356744541750869,0.6770432815332521
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,closest_pr,bloom_h,2,validation,closest_pr,2.0,,,rollout_probability_bloom_calibrated,0.3037974683544304,True,3158,441,0.1396453451551615,466,0.14756174794173527,2518,199,174,267,0.572961373390558,0.6054421768707483,0.9267574530732425,0.5887541345093715,0.7598974961694575,0.5986547085201793,0.7660998149719954,0.5201255596023243,0.5889779122925011,0.5814102376196796
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,f1,bloom_h,2,validation,f1,2.0,,,rollout_probability_bloom_calibrated,0.3037974683544304,True,3158,441,0.1396453451551615,466,0.14756174794173527,2518,199,174,267,0.572961373390558,0.6054421768707483,0.9267574530732425,0.5887541345093715,0.7598974961694575,0.5986547085201793,0.7660998149719954,0.5201255596023243,0.5889779122925011,0.5814102376196796
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,fbeta,bloom_h,2,validation,fbeta,2.0,,,rollout_probability_bloom_calibrated,0.1414141414141414,True,3158,441,0.1396453451551615,1076,0.3407219759341355,2010,707,72,369,0.3429368029739777,0.8367346938775511,0.7397865292602135,0.4864864864864865,0.662080501005277,0.6496478873239436,0.7882606115688823,0.42163136949771357,0.5356744541750869,0.6770432815332521
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,gmean_pr,bloom_h,2,validation,gmean_pr,2.0,,,rollout_probability_bloom_calibrated,0.3037974683544304,True,3158,441,0.1396453451551615,466,0.14756174794173527,2518,199,174,267,0.572961373390558,0.6054421768707483,0.9267574530732425,0.5887541345093715,0.7598974961694575,0.5986547085201793,0.7660998149719954,0.5201255596023243,0.5889779122925011,0.5814102376196796
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,mcc,bloom_h,2,validation,mcc,2.0,,,rollout_probability_bloom_calibrated,0.4,True,3158,441,0.1396453451551615,387,0.12254591513616213,2573,144,198,243,0.627906976744186,0.5510204081632653,0.9470003680529996,0.5869565217391305,0.7623193687412854,0.5648535564853556,0.7490103881081325,0.5264266043720285,0.5882087712829037,0.5831259656725403
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,balanced_accuracy,bloom_h,3,validation,balanced_accuracy,2.0,,,rollout_probability_bloom_calibrated,0.14414414414414414,True,3184,457,0.14353015075376885,1003,0.31501256281407036,2080,647,101,356,0.35493519441674976,0.7789934354485777,0.7627429409607628,0.4876712328767123,0.6676334974489511,0.6287530907806429,0.7708681882046702,0.40889365193497035,0.5258252432703404,0.6818742589194714
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,closest_pr,bloom_h,3,validation,closest_pr,2.0,,,rollout_probability_bloom_calibrated,0.3,True,3184,457,0.14353015075376885,529,0.166143216080402,2476,251,179,278,0.5255198487712666,0.6083150984682714,0.907957462412908,0.563894523326572,0.7419992869327026,0.5897327110733984,0.7581362804405897,0.4863171820013322,0.5654039781893333,0.6152629324101703
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,f1,bloom_h,3,validation,f1,2.0,,,rollout_probability_bloom_calibrated,0.3,True,3184,457,0.14353015075376885,529,0.166143216080402,2476,251,179,278,0.5255198487712666,0.6083150984682714,0.907957462412908,0.563894523326572,0.7419992869327026,0.5897327110733984,0.7581362804405897,0.4863171820013322,0.5654039781893333,0.6152629324101703
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,fbeta,bloom_h,3,validation,fbeta,2.0,,,rollout_probability_bloom_calibrated,0.12598425196850394,True,3184,457,0.14353015075376885,1130,0.3548994974874372,1969,758,85,372,0.3292035398230089,0.8140043763676149,0.7220388705537221,0.46880907372400754,0.6462430643667099,0.6288032454361054,0.7680216234606685,0.3927905735662782,0.5176612040047425,0.6961050660614254
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,gmean_pr,bloom_h,3,validation,gmean_pr,2.0,,,rollout_probability_bloom_calibrated,0.3,True,3184,457,0.14353015075376885,529,0.166143216080402,2476,251,179,278,0.5255198487712666,0.6083150984682714,0.907957462412908,0.563894523326572,0.7419992869327026,0.5897327110733984,0.7581362804405897,0.4863171820013322,0.5654039781893333,0.6152629324101703
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,mcc,bloom_h,3,validation,mcc,2.0,,,rollout_probability_bloom_calibrated,0.3,True,3184,457,0.14353015075376885,529,0.166143216080402,2476,251,179,278,0.5255198487712666,0.6083150984682714,0.907957462412908,0.563894523326572,0.7419992869327026,0.5897327110733984,0.7581362804405897,0.4863171820013322,0.5654039781893333,0.6152629324101703
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,balanced_accuracy,irc_alert,1,validation,balanced_accuracy,2.0,,,alert_probability_irc,0.4609375,True,5069,2232,0.44032353521404616,2393,0.47208522391004143,2397,440,279,1953,0.8161303802758044,0.875,0.8449065914698626,0.8445405405405405,0.85706076546345,0.8625563112799224,0.8599532957349313,0.7158771643704636,0.8450527100372668,0.22233541566183354
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,closest_pr,irc_alert,1,validation,closest_pr,2.0,,,alert_probability_irc,0.4765625,True,5069,2232,0.44032353521404616,2359,0.46537778654566975,2416,421,294,1938,0.821534548537516,0.8682795698924731,0.8516038068382094,0.8442605096928774,0.8576810029985931,0.8585097900239212,0.8599416883653412,0.7164572673325388,0.8445837225852517,0.22181115633218298
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,f1,irc_alert,1,validation,f1,2.0,,,alert_probability_irc,0.4609375,True,5069,2232,0.44032353521404616,2393,0.47208522391004143,2397,440,279,1953,0.8161303802758044,0.875,0.8449065914698626,0.8445405405405405,0.85706076546345,0.8625563112799224,0.8599532957349313,0.7158771643704636,0.8450527100372668,0.22233541566183354
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,fbeta,irc_alert,1,validation,fbeta,2.0,,,alert_probability_irc,0.2421875,True,5069,2232,0.44032353521404616,3010,0.5938054843164332,1960,877,99,2133,0.7086378737541528,0.9556451612903226,0.6908706379978851,0.8138115223197253,0.8072325585454836,0.8933657229016586,0.8232578996441038,0.6534983334504648,0.8229254857884878,0.29471891749167123
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,fixed,irc_alert,1,validation,fixed,2.0,,,alert_probability_irc,0.5,True,5069,2232,0.44032353521404616,2284,0.450581968830144,2453,384,332,1900,0.8318739054290718,0.8512544802867383,0.8646457525555163,0.8414526129317981,0.8570479002047819,0.8473064573671066,0.8579501164211274,0.7142802092152507,0.8415084010454821,0.22448076378710272
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,gmean_pr,irc_alert,1,validation,gmean_pr,2.0,,,alert_probability_irc,0.4609375,True,5069,2232,0.44032353521404616,2393,0.47208522391004143,2397,440,279,1953,0.8161303802758044,0.875,0.8449065914698626,0.8445405405405405,0.85706076546345,0.8625563112799224,0.8599532957349313,0.7158771643704636,0.8450527100372668,0.22233541566183354
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,mcc,irc_alert,1,validation,mcc,2.0,,,alert_probability_irc,0.546875,True,5069,2232,0.44032353521404616,2164,0.42690866048530285,2523,314,382,1850,0.8548983364140481,0.828853046594982,0.8893197039125837,0.8416742493175614,0.8602310640527201,0.8339343671114317,0.859086375253783,0.7207820940628243,0.8417749643852362,0.2243786363164509
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,balanced_accuracy,irc_alert,2,validation,balanced_accuracy,2.0,,,alert_probability_irc,0.4765625,True,5069,2267,0.4472282501479582,2370,0.46754783981061354,2355,447,344,1923,0.8113924050632911,0.8482576091751213,0.8404710920770878,0.8294155704119043,0.8428117663002986,0.8406189893337997,0.8443643506261045,0.6863290664027907,0.82962026350725,0.2420714316912673
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,closest_pr,irc_alert,2,validation,closest_pr,2.0,,,alert_probability_irc,0.4765625,True,5069,2267,0.4472282501479582,2370,0.46754783981061354,2355,447,344,1923,0.8113924050632911,0.8482576091751213,0.8404710920770878,0.8294155704119043,0.8428117663002986,0.8406189893337997,0.8443643506261045,0.6863290664027907,0.82962026350725,0.2420714316912673
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,f1,irc_alert,2,validation,f1,2.0,,,alert_probability_irc,0.4296875,True,5069,2267,0.4472282501479582,2510,0.4951666995462616,2277,525,282,1985,0.7908366533864541,0.8756065284516983,0.8126338329764454,0.831065522294327,0.8402669525293682,0.8572292278459145,0.8441201807140719,0.6844283018958555,0.8321428583146478,0.24335784624789986
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,fbeta,irc_alert,2,validation,fbeta,2.0,,,alert_probability_irc,0.1875,True,5069,2267,0.4472282501479582,3277,0.6464785953837049,1708,1094,84,2183,0.6661580714067745,0.9629466254962505,0.609564596716631,0.7875180375180375,0.7655483091377737,0.884163628999595,0.7862556111064407,0.5954380808336327,0.8009211365098587,0.3358919258466321
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,fixed,irc_alert,2,validation,fixed,2.0,,,alert_probability_irc,0.5,True,5069,2267,0.4472282501479582,2299,0.45354113237324917,2390,412,380,1887,0.8207916485428447,0.8323775915306573,0.8529621698786581,0.8265440210249672,0.8422023766287794,0.8300343098442862,0.8426698807046578,0.6844730992355447,0.8265643202815923,0.24538318005326787
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,gmean_pr,irc_alert,2,validation,gmean_pr,2.0,,,alert_probability_irc,0.4296875,True,5069,2267,0.4472282501479582,2510,0.4951666995462616,2277,525,282,1985,0.7908366533864541,0.8756065284516983,0.8126338329764454,0.831065522294327,0.8402669525293682,0.8572292278459145,0.8441201807140719,0.6844283018958555,0.8321428583146478,0.24335784624789986
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,mcc,irc_alert,2,validation,mcc,2.0,,,alert_probability_irc,0.4765625,True,5069,2267,0.4472282501479582,2370,0.46754783981061354,2355,447,344,1923,0.8113924050632911,0.8482576091751213,0.8404710920770878,0.8294155704119043,0.8428117663002986,0.8406189893337997,0.8443643506261045,0.6863290664027907,0.82962026350725,0.2420714316912673
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,balanced_accuracy,irc_alert,3,validation,balanced_accuracy,2.0,,,alert_probability_irc,0.390625,True,5069,2270,0.4478200828565792,2633,0.5194318405997238,2179,620,257,2013,0.7645271553361185,0.886784140969163,0.7784923186852447,0.8211299204568632,0.8268018274681641,0.8593016306667804,0.8326382298272039,0.6621440224861496,0.8233896748759592,0.2612762739136312
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,closest_pr,irc_alert,3,validation,closest_pr,2.0,,,alert_probability_irc,0.3984375,True,5069,2270,0.4478200828565792,2608,0.5144999013612153,2192,607,269,2001,0.7672546012269938,0.8814977973568282,0.7831368345837799,0.8204182041820418,0.8269391401138346,0.8560061601642711,0.8323173159703041,0.6612835884630351,0.8223948206266177,0.2611765546163916
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,f1,irc_alert,3,validation,f1,2.0,,,alert_probability_irc,0.390625,True,5069,2270,0.4478200828565792,2633,0.5194318405997238,2179,620,257,2013,0.7645271553361185,0.886784140969163,0.7784923186852447,0.8211299204568632,0.8268018274681641,0.8593016306667804,0.8326382298272039,0.6621440224861496,0.8233896748759592,0.2612762739136312
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,fbeta,irc_alert,3,validation,fbeta,2.0,,,alert_probability_irc,0.234375,True,5069,2270,0.4478200828565792,3131,0.6176760702308147,1811,988,127,2143,0.6844458639412329,0.9440528634361234,0.6470167917113254,0.7935567487502314,0.7790878529480522,0.8774875112603392,0.7955348275737244,0.6048318063685587,0.8038364744901367,0.3204754200769413
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,fixed,irc_alert,3,validation,fixed,2.0,,,alert_probability_irc,0.5,True,5069,2270,0.4478200828565792,2304,0.4545275202209509,2355,444,410,1860,0.8072916666666666,0.8193832599118943,0.8413719185423365,0.8132925229558373,0.8299029113700825,0.8169360505973295,0.8303775892271155,0.6598817965205519,0.8133149928121574,0.2641191180815305
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,gmean_pr,irc_alert,3,validation,gmean_pr,2.0,,,alert_probability_irc,0.390625,True,5069,2270,0.4478200828565792,2633,0.5194318405997238,2179,620,257,2013,0.7645271553361185,0.886784140969163,0.7784923186852447,0.8211299204568632,0.8268018274681641,0.8593016306667804,0.8326382298272039,0.6621440224861496,0.8233896748759592,0.2612762739136312
pipe_neural_ode_continuous_direct_alert_policy_2b_v2,mcc,irc_alert,3,validation,mcc,2.0,,,alert_probability_irc,0.390625,True,5069,2270,0.4478200828565792,2633,0.5194318405997238,2179,620,257,2013,0.7645271553361185,0.886784140969163,0.7784923186852447,0.8211299204568632,0.8268018274681641,0.8593016306667804,0.8326382298272039,0.6621440224861496,0.8233896748759592,0.2612762739136312
