target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
delta_yF,0.0,18186,0.11994353633869288,0.1927551329535033,balanced,1.5380993896055974
delta_yF,0.1,18186,0.11366663510867843,0.18294659341350192,balanced,1.458718427892463
delta_yF,0.2,18186,0.10768596590856613,0.1735721943592366,balanced,1.382969121590654
delta_yF,0.35,18186,0.09937098222139133,0.16049013180137625,balanced,1.2774598267541546
delta_yF,0.5,18186,0.09196849610301301,0.14885717624305986,balanced,1.18358292994427
delta_yF,0.65,18186,0.0856259022033819,0.13903754331080692,balanced,1.1037361361789353
delta_yF,0.8,18186,0.08082039972664197,0.13143826830935956,balanced,1.0426045077580417
delta_yF,0.9,18186,0.07877167362224462,0.12780613071657787,balanced,1.014978461394564
delta_yF,1.0,18186,0.07790601380676586,0.12544213220124342,balanced,1.0
delta_yN,0.0,18186,0.0867517429990736,0.14485519522375723,balanced,1.541897447269491
delta_yN,0.1,18186,0.08235314450064181,0.1376649123164321,balanced,1.4645344689288156
delta_yN,0.2,18186,0.07811643129971953,0.13078225392747558,balanced,1.3902461219578326
delta_yN,0.35,18186,0.07209779468160067,0.12114917244690235,balanced,1.2854762201872638
delta_yN,0.5,18186,0.06661111262585875,0.11253323077892163,balanced,1.1908427941018387
delta_yN,0.65,18186,0.06189622924126743,0.10518467904856334,balanced,1.1098142431538478
delta_yN,0.8,18186,0.05823361329561438,0.09938504661764136,balanced,1.0463876976170685
delta_yN,0.9,18186,0.056589268174984796,0.09652019100573841,balanced,1.0165313411992214
delta_yN,1.0,18186,0.05590904678014145,0.09454457700545107,balanced,1.0
delta_yT,0.0,18186,0.2019909697502973,0.312860496215387,balanced,1.5045326376140942
delta_yT,0.1,18186,0.19218438783127734,0.2972878733618749,balanced,1.430560260796705
delta_yT,0.2,18186,0.1830541211544294,0.2824236085900525,balanced,1.3608044839263576
delta_yT,0.35,18186,0.1703550682122409,0.26171797257154356,balanced,1.2637071795534691
delta_yT,0.5,18186,0.1587888725412491,0.24335142706563404,balanced,1.1764625306983612
delta_yT,0.65,18186,0.14861106306206312,0.22789021882404273,balanced,1.1013864366596522
