split,horizon_months,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
test,0,all,20553,0.11353366448355819,0.07023896257705808,20553,0.15237186489247284,0.0901183976342297,-0.038838200408914655,-0.019879435057171616,0.25489089102061163,0.22059241596657955
test,0,delta_yF,20553,0.12259133733063068,0.07525739550085907,20553,0.18747947895812336,0.11421805288065717,-0.06488814162749268,-0.038960657379798105,0.34610796865926063,0.34110770055331674
test,0,delta_yN,20553,0.0974703953923774,0.06008077139913128,20553,0.1432993139075354,0.08971219622833053,-0.045828918515157996,-0.029631424829199247,0.31981254665831366,0.3302942751928955
test,0,delta_yT,20553,0.1873617477804101,0.11665253747566909,20553,0.29528583437850153,0.18574777079131408,-0.10792408659809144,-0.06909523331564499,0.3654902268686307,0.37198418598128347
test,0,sigma_F,20553,0.040262375565400806,0.022556216990646697,20553,0.04237447891678531,0.022456582103663917,-0.002112103351384502,9.963488698278011e-05,0.04984375986150143,-0.004436778781510305
test,0,sigma_N,20553,0.14355857544199588,0.06917704742088089,20553,0.14367407776031715,0.06922354998495413,-0.00011550231832127555,-4.6502564073236385e-05,0.000803918981919349,0.0006717737545003659
test,0,sigma_T,20553,0.06654057173028889,0.04351195843963445,20553,0.0779111180452955,0.04239126508983447,-0.011370546315006613,0.0011206933497999796,0.14594253811626823,-0.0264368932473479
test,0,yF,20553,0.11448956094033239,0.07572636932362282,20553,0.13861726382588127,0.08176904767990947,-0.024127702885548885,-0.006042678356286649,0.17405986974216983,0.07389933633495557
test,0,yN,20553,0.08598242679511797,0.058681317621708175,20553,0.10278502941063855,0.0629502591714484,-0.01680260261552058,-0.004268941549740231,0.16347324811663147,0.06781451904929477
test,0,yT,20553,0.16354598937546944,0.11050704902137033,20553,0.23992018882917718,0.1425968547779551,-0.07637419945370774,-0.03208980575658478,0.3183316911612055,0.22503866446811513
test,1,all,7582,0.1110095741686153,0.06764641601384086,7582,0.1475028588687866,0.08407848773565602,-0.03649328470017131,-0.016432071721815156,0.24740730437390682,0.19543728918481298
test,1,delta_yF,7582,0.1214355777440394,0.07599027639201372,7582,0.2007398691888921,0.11963815604066572,-0.07930429144485271,-0.043647879648651994,0.3950599936389766,0.3648324338417237
test,1,delta_yN,7582,0.09790775107133402,0.060161504321600195,7582,0.15745170532467426,0.09602681762017791,-0.059543954253340234,-0.035865313298577714,0.37817281261296765,0.3734926782686737
test,1,delta_yT,7582,0.19442774263435353,0.12167409666922249,7582,0.3075718717361506,0.18693415813719935,-0.11314412910179705,-0.06526006146797686,0.36786240712823487,0.34910720500894
test,1,sigma_F,7582,0.038333588754489584,0.020464774062972497,7582,0.03950934460318529,0.020252267150805324,-0.0011757558486957045,0.00021250691216717285,0.029758930716378265,-0.01049299372681456
test,1,sigma_N,7582,0.1381184887094488,0.06343064702648313,7582,0.13817236974546723,0.06343081179810715,-5.388103601844385e-05,-1.6477162402550594e-07,0.00038995521403953793,2.597659076947568e-06
test,1,sigma_T,7582,0.06306986940093487,0.03857780567293462,7582,0.07016275783521964,0.036434025910764785,-0.0070928884342847665,0.0021437797621698326,0.10109192758561075,-0.05884004604433331
test,1,yF,7582,0.1061636812585953,0.06926504284560099,7582,0.12235731782177724,0.06972551372946802,-0.016193636563181943,-0.0004604708838670257,0.1323471031521728,0.0066040515047853625
test,1,yN,7582,0.08274357540553197,0.05542606714374942,7582,0.09553779330623592,0.05668835822061447,-0.012794217900703952,-0.0012622910768650547,0.13391787122080043,0.022267201176520018
test,1,yT,7582,0.15688589253881038,0.1038275299899907,7582,0.1960227002574772,0.10757628101310136,-0.039136807718666816,-0.0037487510231106608,0.1996544668921525,0.03484737516306325
test,2,all,6826,0.11434992634666938,0.0706974226579608,6826,0.15193268463914192,0.09094989380217738,-0.03758275829247254,-0.020252471144216577,0.24736453766834984,0.22267723795551836
test,2,delta_yF,6826,0.12254373915658509,0.07407802624538991,6826,0.17854819562874494,0.10976494153442531,-0.05600445647215985,-0.035686915289035406,0.313665765565113,0.32512125265281544
test,2,delta_yN,6826,0.09665558366204886,0.059873566236658037,6826,0.13543177493310934,0.08665684876931297,-0.03877619127106048,-0.026783282532654933,0.28631531477906347,0.3090728882139949
test,2,delta_yT,6826,0.18240614790899717,0.11241906044806618,6826,0.28932626793942273,0.18511536629221637,-0.10692012003042556,-0.07269630584415018,0.36954860957461283,0.39270811116455046
test,2,sigma_F,6826,0.04085992545478735,0.022846714967581803,6826,0.04298340314994802,0.022706787274654333,-0.0021234776951606707,0.00013992769292747037,0.04940227016815998,-0.006162373004817807
test,2,sigma_N,6826,0.14885420828180515,0.07314099478400281,6826,0.1489690383125498,0.07319877714621612,-0.00011483003074463927,-5.778236221330724e-05,0.0007708315234184169,0.0007893897202392567
test,2,sigma_T,6826,0.06707987227737827,0.04431752202589771,6826,0.0800767882541445,0.04394864383730202,-0.012996915976766221,0.0003688781885956907,0.1623056601061113,-0.008393391840742085
test,2,yF,6826,0.11678170911802258,0.07720547626348943,6826,0.14165099822370472,0.08378983441813405,-0.024869289105682146,-0.006584358154644615,0.1755673409827081,0.0785818255921939
test,2,yN,6826,0.08681945037321885,0.05937682526606882,6826,0.10454407289873392,0.06482659427870972,-0.01772462252551507,-0.005449769012640902,0.16954210826168917,0.08406687214217436
test,2,yT,6826,0.1671487008871812,0.11301861768449258,6826,0.24586362241191953,0.14854125066862545,-0.07871492152473833,-0.03552263298413287,0.3201568444837255,0.23914321997583587
test,3,all,6145,0.11553728850558515,0.07292850521824133,6145,0.1572064615791914,0.09664708827842414,-0.041669173073606264,-0.023718583060182805,0.2650601804469454,0.24541435735604908
test,3,delta_yF,6145,0.12405477551564896,0.07566320048395068,6145,0.18007820578114475,0.11247707906295072,-0.05602343026549579,-0.03681387857900004,0.31110611093928264,0.32730116114053953
test,3,delta_yN,6145,0.0978302173022271,0.06021132720399427,6145,0.13311257756553785,0.08531485568516811,-0.03528236026331075,-0.025103528481173844,0.26505654768753545,0.2942456888611729
test,3,delta_yT,6145,0.18387859358198666,0.11515933200535103,6145,0.2862255735632716,0.18498643706541318,-0.10234697998128495,-0.06982710506006215,0.3575745476099487,0.37747148476280207
test,3,sigma_F,6145,0.04188385527511017,0.024814049551601425,6145,0.045025890405958065,0.02489843978883776,-0.0031420351308478964,-8.43902372363349e-05,0.0697828538762695,0.003389378529419661
test,3,sigma_N,6145,0.14415141410254176,0.07186399666248443,6145,0.1443406939914012,0.0719551432038149,-0.0001892798888594449,-9.114654133046685e-05,0.0013113411306635457,0.001266713361577112
test,3,sigma_T,6145,0.07001880947488877,0.04870511860843593,6145,0.0842953510555974,0.04801162637958108,-0.014276541580708638,0.0006934922288548556,0.16936333263850428,-0.014444256134380646
test,3,yF,6145,0.12159665823662033,0.08205564408112193,6145,0.15331670716941503,0.09438421190075995,-0.0317200489327947,-0.012328567819638023,0.20689231798948066,0.13062108133721417
test,3,yN,6145,0.08891895741267355,0.061925218995748446,6145,0.10923848109106296,0.06859222329952933,-0.020319523678389406,-0.00666700430378088,0.18601067568351415,0.09719767027622545
test,3,yT,6145,0.16750231564856907,0.1159586593714839,6145,0.27922467358933384,0.17920377811976232,-0.11172235794076477,-0.06324511874827841,0.4001163525580086,0.3529229093931912
train,0,all,319652,0.09136365985989409,0.048620512218957024,319652,0.12754656554981428,0.06538255564402085,-0.03618290568992019,-0.01676204342506382,0.283683888577844,0.25636874025429274
train,0,delta_yF,319652,0.12156282064861808,0.0677116777058733,319652,0.1859365277276137,0.10532353346104252,-0.06437370707899563,-0.03761185575516922,0.3462133442294857,0.3571078041080082
train,0,delta_yN,319652,0.046784599817257445,0.014332199609035883,319652,0.07079752198160318,0.020797048046141287,-0.02401292216434573,-0.006464848437105404,0.33917743859150207,0.3108541377008023
train,0,delta_yT,319652,0.19545295006449856,0.11118705174697184,319652,0.3018326509995298,0.17616188692076828,-0.10637970093503121,-0.06497483517379644,0.352445968263377,0.3688359401089973
train,0,sigma_F,319652,0.03765948018069936,0.018700533053103232,319652,0.0396483817222825,0.01872104161571866,-0.0019889015415831407,-2.0508562615428882e-05,0.050163498614254225,0.0010954819200983653
train,0,sigma_N,319652,0.054750406648704494,0.011901463555325712,319652,0.05486677892577915,0.011845248698723556,-0.00011637227707465836,5.621485660215614e-05,0.0021209970651289837,-0.004745772590508282
train,0,sigma_T,319652,0.05265504249042334,0.030085010116576147,319652,0.06253907181015653,0.030972784167734163,-0.009884029319733187,-0.0008877740511580162,0.15804566703095826,0.028663036759958217
train,0,yF,319652,0.10714097219513724,0.06698015561912403,319652,0.13625670884894053,0.07414815793223636,-0.029115736653803292,-0.007168002313112334,0.2136829584375337,0.09667134711105212
train,0,yN,319652,0.04120380465710522,0.013412952978861485,319652,0.05034533178629768,0.014225866491459347,-0.009141527129192459,-0.0008129135125978619,0.18157646011741008,0.05714333907786238
train,0,yT,319652,0.16506286203660303,0.10327356558574156,319652,0.24569611614612547,0.13624743346236348,-0.08063325410952243,-0.03297386787662192,0.32818286008870634,0.24201459828401467
train,1,all,112470,0.09106864949799388,0.04779972092381366,112470,0.12480269237074038,0.06121762061701329,-0.03373404287274649,-0.013417899693199627,0.2702989994201066,0.21918361997673905
train,1,delta_yF,112470,0.12184905978593309,0.06868413564543455,112470,0.2031235898892998,0.11235339921721355,-0.0812745301033667,-0.043669263571779,0.40012354127681804,0.38867772471532375
train,1,delta_yN,112470,0.046456345744526006,0.013889607696774017,112470,0.07833244217771287,0.02252227810991598,-0.03187609643318687,-0.008632670413141962,0.4069335200971973,0.38329472582710095
train,1,delta_yT,112470,0.20749711419134978,0.11979965601453275,112470,0.31959111813060864,0.1796232074597173,-0.11209400393925886,-0.059823551445184545,0.3507419248536467,0.3330502349402747
train,1,sigma_F,112470,0.03661595156666243,0.017126070226766144,112470,0.03771904652174037,0.017001224309669723,-0.0011030949550779393,0.00012484591709642154,0.029245038165059162,-0.007343348621393895
train,1,sigma_N,112470,0.05366725627092989,0.011171947831290134,112470,0.053747788933282484,0.01111500316051162,-8.053266235259066e-05,5.6944670778514075e-05,0.0014983437263355415,-0.005123225783760635
train,1,sigma_T,112470,0.05167382688087287,0.027647908628278386,112470,0.05793660772627507,0.027475376490768862,-0.006262780845402202,0.00017253213750952415,0.10809712703565733,-0.006279518592492855
train,1,yF,112470,0.10266857723784813,0.06211779655811998,112470,0.1230341685018027,0.06435533474262656,-0.02036559126395457,-0.002237538184506581,0.16552793026480422,0.034768495781353145
train,1,yN,112470,0.03957647154891757,0.012520929786791597,112470,0.04671574890235408,0.012828231162046384,-0.007139277353436509,-0.0003073013752547867,0.15282378044199027,0.023955085574382917
train,1,yT,112470,0.15961324225490522,0.09723943592633545,112470,0.2030237205535874,0.10368453090064969,-0.043410478298682165,-0.006445094974314239,0.2138197358432515,0.062160622402679486
train,2,all,106375,0.09102433556055678,0.0484555416957472,106375,0.1256339805767727,0.06519122897586399,-0.03460964501621591,-0.01673568728011679,0.2754799685349982,0.25671685505902814
