split,horizon_months,target,rows,rmse,mae
train,1,all,112470,0.12480269237074038,0.06121762061701329
train,1,yN,112470,0.04671574890235408,0.012828231162046384
train,1,yF,112470,0.1230341685018027,0.06435533474262656
train,1,yT,112470,0.2030237205535874,0.10368453090064969
train,1,sigma_N,112470,0.053747788933282484,0.01111500316051162
train,1,sigma_F,112470,0.03771904652174037,0.017001224309669723
train,1,sigma_T,112470,0.05793660772627507,0.027475376490768862
train,1,delta_yN,112470,0.07833244217771287,0.02252227810991598
train,1,delta_yF,112470,0.2031235898892998,0.11235339921721355
train,1,delta_yT,112470,0.31959111813060864,0.1796232074597173
train,2,all,106375,0.1256339805767727,0.06519122897586399
train,2,yN,106375,0.050835113738425815,0.014430834828756671
train,2,yF,106375,0.13805953097925386,0.07567881698431896
train,2,yT,106375,0.2493782301183124,0.14001315338084896
train,2,sigma_N,106375,0.055059067618753746,0.011926209464406574
train,2,sigma_F,106375,0.040119356395926085,0.019120964800008737
train,2,sigma_T,106375,0.06340482945975807,0.031745274283631005
train,2,delta_yN,106375,0.06663919798319273,0.019895080287083897
train,2,delta_yF,106375,0.17646486394361743,0.10125434928747237
train,2,delta_yT,106375,0.2907456349537142,0.17265637746624884
train,3,all,100807,0.13129953678660092,0.0702312528258904
train,3,yN,100807,0.05362283942987325,0.015568913488384892
train,3,yF,100807,0.1478823136704881,0.08345877095980515
train,3,yT,100807,0.2825000383288392,0.16860402769477847
train,3,sigma_N,100807,0.05588970034376065,0.012574548392526221
train,3,sigma_F,100807,0.0412175683900975,0.020217822828158934
train,3,sigma_T,100807,0.06644330591765053,0.03405967104413918
train,3,delta_yN,100807,0.06604297052873558,0.019824002474871337
train,3,delta_yF,100807,0.17531141381808615,0.10177428058045854
train,3,delta_yT,100807,0.2927856806518773,0.17599923796989095
train,0,all,319652,0.12754656554981428,0.06538255564402085
train,0,yN,319652,0.05034533178629768,0.014225866491459347
train,0,yF,319652,0.13625670884894053,0.07414815793223636
train,0,yT,319652,0.24569611614612547,0.13624743346236348
train,0,sigma_N,319652,0.05486677892577915,0.011845248698723556
train,0,sigma_F,319652,0.0396483817222825,0.01872104161571866
train,0,sigma_T,319652,0.06253907181015653,0.030972784167734163
train,0,delta_yN,319652,0.07079752198160318,0.020797048046141287
train,0,delta_yF,319652,0.1859365277276137,0.10532353346104252
train,0,delta_yT,319652,0.3018326509995298,0.17616188692076828
validation,1,all,7079,0.15285879952628573,0.08700496712098589
validation,1,yN,7079,0.09483473592883768,0.053117398770957835
validation,1,yF,7079,0.1259789658327469,0.07259873645060445
validation,1,yT,7079,0.20924249788120428,0.11728491966191246
validation,1,sigma_N,7079,0.11939879299540233,0.05241752922880159
validation,1,sigma_F,7079,0.04968554916675755,0.022243894012504116
validation,1,sigma_T,7079,0.07981832565986487,0.04201006014513117
validation,1,delta_yN,7079,0.15875524487033646,0.09300383590745932
validation,1,delta_yF,7079,0.20865455511896702,0.12637161249738238
validation,1,delta_yT,7079,0.32936052828245466,0.20399671741411973
validation,2,all,6038,0.1580166298839279,0.09470602908706047
validation,2,yN,6038,0.1071807571539593,0.06289618171852683
validation,2,yF,6038,0.14217666075942526,0.0854342422093647
validation,2,yT,6038,0.25958806473033763,0.1620841563764729
validation,2,sigma_N,6038,0.14283788307930692,0.06585240830754002
validation,2,sigma_F,6038,0.05558685464601382,0.025707075274239394
validation,2,sigma_T,6038,0.09792028454456925,0.05721138635389297
validation,2,delta_yN,6038,0.13781273447091566,0.08378689073991127
validation,2,delta_yF,6038,0.18035666561981917,0.11229618046211856
validation,2,delta_yT,6038,0.29868976395100405,0.1970857403414776
validation,3,all,5069,0.16652488085814443,0.10318551723234322
validation,3,yN,5069,0.11304086501853941,0.06802978811825632
validation,3,yF,5069,0.15388402574091348,0.09676119531428562
validation,3,yT,5069,0.2959427798705092,0.1943015402815332
validation,3,sigma_N,5069,0.14857520287821804,0.0711505658561531
validation,3,sigma_F,5069,0.062374285632135366,0.029744648062093978
validation,3,sigma_T,5069,0.10342721652157802,0.06202117061916012
validation,3,delta_yN,5069,0.13213863963270717,0.08155213710906167
validation,3,delta_yF,5069,0.18371711682772637,0.12007578791751737
validation,3,delta_yT,5069,0.30562379560097264,0.20503282181302762
validation,0,all,18186,0.15903689047290429,0.09407184387594184
validation,0,yN,18186,0.10429087184315453,0.06052063164453518
validation,0,yF,18186,0.13960507528454708,0.08359512310799994
validation,0,yT,18186,0.2526409534290871,0.15362578852825873
validation,0,sigma_N,18186,0.13592676695589775,0.062099568299596015
validation,0,sigma_F,18186,0.05541879010743788,0.025484409284456642
validation,0,sigma_T,18186,0.09297872719669902,0.05263482241508369
validation,0,delta_yN,18186,0.1448551954083261,0.08675174220182132
validation,0,delta_yF,18186,0.19275513347885218,0.11994353631656975
validation,0,delta_yT,18186,0.312860500552137,0.20199097308515518
test,1,all,7582,0.1475028588687866,0.08407848773565602
test,1,yN,7582,0.09553779330623592,0.05668835822061447
test,1,yF,7582,0.12235731782177724,0.06972551372946802
test,1,yT,7582,0.1960227002574772,0.10757628101310136
test,1,sigma_N,7582,0.13817236974546723,0.06343081179810715
test,1,sigma_F,7582,0.03950934460318529,0.020252267150805324
test,1,sigma_T,7582,0.07016275783521964,0.036434025910764785
test,1,delta_yN,7582,0.15745170532467426,0.09602681762017791
test,1,delta_yF,7582,0.2007398691888921,0.11963815604066572
test,1,delta_yT,7582,0.3075718717361506,0.18693415813719935
test,2,all,6826,0.15193268463914192,0.09094989380217738
test,2,yN,6826,0.10454407289873392,0.06482659427870972
test,2,yF,6826,0.14165099822370472,0.08378983441813405
test,2,yT,6826,0.24586362241191953,0.14854125066862545
test,2,sigma_N,6826,0.1489690383125498,0.07319877714621612
test,2,sigma_F,6826,0.04298340314994802,0.022706787274654333
test,2,sigma_T,6826,0.0800767882541445,0.04394864383730202
test,2,delta_yN,6826,0.13543177493310934,0.08665684876931297
test,2,delta_yF,6826,0.17854819562874494,0.10976494153442531
test,2,delta_yT,6826,0.28932626793942273,0.18511536629221637
test,3,all,6145,0.1572064615791914,0.09664708827842414
test,3,yN,6145,0.10923848109106296,0.06859222329952933
test,3,yF,6145,0.15331670716941503,0.09438421190075995
test,3,yT,6145,0.27922467358933384,0.17920377811976232
test,3,sigma_N,6145,0.1443406939914012,0.0719551432038149
test,3,sigma_F,6145,0.045025890405958065,0.02489843978883776
test,3,sigma_T,6145,0.0842953510555974,0.04801162637958108
test,3,delta_yN,6145,0.13311257756553785,0.08531485568516811
test,3,delta_yF,6145,0.18007820578114475,0.11247707906295072
test,3,delta_yT,6145,0.2862255735632716,0.18498643706541318
test,0,all,20553,0.15237186489247284,0.0901183976342297
test,0,yN,20553,0.10278502941063855,0.0629502591714484
test,0,yF,20553,0.13861726382588127,0.08176904767990947
test,0,yT,20553,0.23992018882917718,0.1425968547779551
test,0,sigma_N,20553,0.14367407776031715,0.06922354998495413
test,0,sigma_F,20553,0.04237447891678531,0.022456582103663917
test,0,sigma_T,20553,0.0779111180452955,0.04239126508983447
test,0,delta_yN,20553,0.1432993139075354,0.08971219622833053
test,0,delta_yF,20553,0.18747947895812336,0.11421805288065717
test,0,delta_yT,20553,0.29528583437850153,0.18574777079131408
