split,horizon_months,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,1,all,17487,0.10875728784637867,0.05600550749210214,-2.320431036367529,0.9196037691491458,0.3403599858696806
train,1,yN,17487,0.04459733208554781,0.01331967748192426,-3.6802699813890767,0.9566535140390005,0.0978495126155867
train,1,yF,17487,0.11802748411683064,0.06499321562842889,-1.8059780513292016,0.8963801681248927,0.3756135565451858
train,1,yT,17487,0.1856366302446236,0.11407270358985425,-1.175772410774678,0.9045576714130497,0.668036783239871
train,1,sigma_N,17487,0.05424762427870794,0.011269356760376346,-3.2497709340498924,0.9759821581746441,0.15020498687068765
train,1,sigma_F,17487,0.03877108402357688,0.017421152972504253,-2.7878806301310437,0.9301195173557499,0.160220483812738
train,1,sigma_T,17487,0.05901512391521458,0.027890648680703477,-2.5040096331605266,0.9001544004117344,0.21021329214746468
train,1,delta_yN,17487,0.067424087944635,0.021288077353531304,-3.31050715258595,0.9437868130611311,0.11738823407331803
train,1,delta_yF,17487,0.15946022956881398,0.0882278277029091,-1.502041631561068,0.8757362612226225,0.4400082074083158
train,1,delta_yT,17487,0.2516359944394578,0.14556690725868737,-0.8676489023263263,0.8930634185394865,0.843704816113957
train,2,all,16759,0.1018512248455609,0.05705759869117154,-2.3434568447223283,0.9170727502966898,0.3223186017344163
train,2,yN,16759,0.04609151019408075,0.01480711803522206,-3.565223834517321,0.9508920579986873,0.09545835033721532
train,2,yF,16759,0.12595465507355047,0.07468282878381112,-1.7266112654837513,0.8823915508085208,0.3726593642169646
train,2,yT,16759,0.21189364896866555,0.15144729454923242,-1.061626477801748,0.881496509338266,0.6926871096648979
train,2,sigma_N,16759,0.054611902708715875,0.011905551959680297,-3.2093352825347576,0.973447103049108,0.14438604726677
train,2,sigma_F,16759,0.040250957356623686,0.019128463014909607,-2.7588294406119007,0.9225490781072856,0.15526284835199033
train,2,sigma_T,16759,0.06276488360255811,0.031663954460689876,-2.4231712950877142,0.8788113849275017,0.1966091533628794
train,2,delta_yN,16759,0.051658351611353605,0.017610459301663623,-3.4920559825131274,0.9509517274300376,0.10573757519207846
train,2,delta_yF,16759,0.12203453420898328,0.06916065433442332,-1.7670245657417283,0.9023211408795274,0.39125081338933093
train,2,delta_yT,16759,0.2014005798855167,0.12311206378091157,-1.0872334582089054,0.9107942001312728,0.7468161538276192
train,3,all,15754,0.10506539125768131,0.062526536089503,-2.2939065364975235,0.913087328791277,0.31555101575640637
train,3,yN,15754,0.04949940099397419,0.01689782203704221,-3.4373672909583477,0.949917481274597,0.10194298735847779
train,3,yF,15754,0.13064406351014698,0.08052027829334762,-1.6771830342907703,0.8795226609115145,0.38216585045737395
train,3,yT,15754,0.2239930399356999,0.17250133411252017,-0.9992549925781498,0.8917735178367399,0.7325835044544119
train,3,sigma_N,15754,0.057217620914309514,0.012900829829736244,-3.1209640861299115,0.9702297829122762,0.1479063618829351
train,3,sigma_F,15754,0.04079850014474993,0.019841037668884596,-2.757685834810306,0.9242732004570268,0.15998369342590385
train,3,sigma_T,15754,0.0662202650834515,0.033527463526990306,-2.375106786340721,0.8689856544369684,0.19250872099749158
train,3,delta_yN,15754,0.04884492894710045,0.016490750034645122,-3.473643602325451,0.9553129363971055,0.10183118142436358
train,3,delta_yF,15754,0.12539568015131827,0.07668255639739095,-1.7200745876419283,0.882442554271931,0.35487412455966666
train,3,delta_yT,15754,0.20297502163838108,0.1333767529049697,-1.083878613402127,0.8953281706233338,0.6661627172470335
train,0,all,50000,0.10570267507500035,0.05841279311067529,-2.31979148739285,0.9167022222222223,0.3264960644319322
train,0,yN,50000,0.046687013422009656,0.01494563959300518,-3.5651750341796875,0.9526,0.09833781486511231
train,0,yF,50000,0.12476891326870683,0.0731332470703125,-1.7387951580810548,0.88638,0.37668786712646485
train,0,yT,50000,0.20714745172751256,0.1450096118927002,-1.0818958688354492,0.8928,0.696636460571289
train,0,sigma_N,50000,0.05532091863327344,0.011996641201972962,-3.195633250732422,0.97332,0.14753034393310546
train,0,sigma_F,50000,0.039915193771306264,0.018755866422653197,-2.768629476318359,0.92574,0.1584841756439209
train,0,sigma_T,50000,0.06261111915297185,0.030931432933807373,-2.436299530029297,0.88318,0.20007510063171385
train,0,delta_yN,50000,0.056886760549416805,0.018543871443271638,-3.422759721984863,0.94982,0.10858145008087158
train,0,delta_yF,50000,0.13725531842570607,0.07819920845031739,-1.6595564352416992,0.88676,0.3968416572570801
train,0,delta_yT,50000,0.22073138672409967,0.13419961898803712,-1.0093789111328124,0.89972,0.755289709777832
validation,1,all,7079,0.13442649937379086,0.07952399210510672,-1.339650757968294,0.9500243286088745,0.7761055674412736
validation,1,yN,7079,0.09040353946886256,0.05236557368960046,-1.76034035906985,0.9245656166125159,0.4545151146981554
validation,1,yF,7079,0.11930343681147587,0.07161152485754382,-1.2198340961161533,0.9689221641474784,0.8849555504727893
validation,1,yT,7079,0.19223580134247764,0.12797974684696814,-0.9587253096885374,0.959598813391722,1.040741609136067
validation,1,sigma_N,7079,0.11939879750629552,0.05241751829131981,-1.6286219222209837,0.9447662099166549,0.5570446520408073
validation,1,sigma_F,7079,0.04968555078493211,0.022243889968835428,-1.8146198400418492,0.9796581438056222,0.5675837719805885
validation,1,sigma_T,7079,0.07981832491337633,0.042010059833593974,-1.5757891270615554,0.9684983754767622,0.6521921708836766
validation,1,delta_yN,7079,0.13784247369473776,0.08178204502623572,-1.367114221600089,0.892075151857607,0.5156661463518031
validation,1,delta_yF,7079,0.16221234738689583,0.09859168931982884,-1.0258453494159663,0.9593162876112445,1.0101705918390884
validation,1,delta_yT,7079,0.2589382224550642,0.16671388111203417,-0.7059665964996601,0.9528181946602627,1.302080499568486
validation,2,all,6038,0.13205533160648775,0.08307242906816198,-1.4012558097399916,0.9402487946707887,0.6795581201148513
validation,2,yN,6038,0.09861168666374909,0.06086602673778553,-1.678276211112175,0.8974826101358065,0.3961365463797641
validation,2,yF,6038,0.13009858211405936,0.08428755972155597,-1.2551523456908331,0.9643921828420007,0.8044359548947163
validation,2,yT,6038,0.21985065092342446,0.16533026453595004,-0.9156275392565834,0.9387214309373965,0.9943100031182718
validation,2,sigma_N,6038,0.14283787389434469,0.06585239139997869,-1.5025537521802024,0.9166942696257039,0.4797922685944746
validation,2,sigma_F,6038,0.05558685609918928,0.025707079820105398,-1.891839476285608,0.9735011593242796,0.48941368818204106
validation,2,sigma_T,6038,0.09792025935942092,0.05721137775574034,-1.5846041476896324,0.9342497515733686,0.5569455783941288
validation,2,delta_yN,6038,0.10590897019793682,0.0657086193897188,-1.67538691720018,0.9085789996687645,0.42288763722902734
validation,2,delta_yF,6038,0.12702469248599568,0.07934843305326843,-1.2268509360961308,0.9675389201722424,0.8539899767294117
validation,2,delta_yT,6038,0.2106584127202694,0.1433401091993546,-0.8810109621485799,0.9610798277575356,1.1181114275118262
validation,3,all,5069,0.13759462702045042,0.0904033097873605,-1.422886438370378,0.9344600074527081,0.6301208785074565
validation,3,yN,5069,0.10083686527223115,0.06496095610313996,-1.668945759517198,0.8989938843953442,0.38249354946657993
validation,3,yF,5069,0.13744896724509734,0.09505685402529084,-1.260241925587055,0.9621227066482541,0.7720198684906108
validation,3,yT,5069,0.23370599378695237,0.1833764499732789,-0.8843229485348287,0.9528506608798579,0.9953778180927421
validation,3,sigma_N,5069,0.14857520487751755,0.07115057070219064,-1.4630980710819597,0.907476819885579,0.44989419148080706
validation,3,sigma_F,5069,0.06237429928393299,0.029744641271468145,-1.919719142917581,0.9747484710988361,0.4588919553231807
validation,3,sigma_T,5069,0.10342720977439893,0.06202117459358702,-1.5928549782532304,0.9135924245413296,0.5090461831799294
validation,3,delta_yN,5069,0.0947876217961312,0.05765324763984552,-1.8122268529257188,0.9106332609982245,0.3763140710201177
validation,3,delta_yF,5069,0.13602203379628092,0.09078223551488482,-1.2808248008536878,0.9538370487275597,0.7474432964253459
validation,3,delta_yT,5069,0.22117344735151148,0.1588836582625587,-0.9237434656621437,0.9358847898993884,0.9796069730877947
validation,0,all,18186,0.1351650753921885,0.0837345234871738,-1.3833048306921296,0.9424404609162116,0.7033600557750216
validation,0,yN,18186,0.0961459919431853,0.05869856219499874,-1.7076194446026316,0.9084460574067964,0.4150579988032196
validation,0,yF,18186,0.12816310854383708,0.08235507880344808,-1.2428231469530562,0.9655229297261629,0.826743283340486
validation,0,yT,18186,0.2136733301285789,0.15582140053405394,-0.9236780257032582,0.9507863191465963,1.0126813928194465
validation,0,sigma_N,18186,0.13592676590281846,0.06209955977932082,-1.5406289599351621,0.9250522379852634,0.5015296638175808
validation,0,sigma_F,18186,0.055418795438852884,0.02548440732696879,-1.8695522347364988,0.976245463543385,0.5113344711661142
validation,0,sigma_T,18186,0.0929787160490488,0.052634820546907754,-1.5834726140429107,0.9418233806224569,0.5806697944885274
validation,0,delta_yN,18186,0.1167239449476138,0.06972000730794137,-1.5935316011350593,0.902727372704278,0.446020687870574
validation,0,delta_yF,18186,0.144071603155444,0.09002592979740759,-1.1636525951936327,0.9605190806114594,0.8850862844331449
validation,0,delta_yT,18186,0.23338342242031715,0.15677094509351716,-0.8247848539269562,0.9508413064995052,1.151116925236102
test,1,all,7582,0.12955179313689158,0.07654255518265075,-1.2183164018913684,0.9467891790497964,0.8360506601561981
test,1,yN,7582,0.09098875623940786,0.055656220566405686,-1.5076106682014918,0.9045106831970456,0.517533794238051
test,1,yF,7582,0.11596744338200424,0.06966041279669269,-1.1787461245855535,0.9752044315484041,0.9464426938728366
test,1,yT,7582,0.17881596748125553,0.11581857123937182,-0.9608709259355204,0.9703244526510155,1.086274473058992
test,1,sigma_N,7582,0.13817237574842772,0.06343080393873711,-1.3062486510200069,0.9147982062780269,0.6192138170510475
test,1,sigma_F,7582,0.03950933840424522,0.02025226403968185,-1.7359148411409926,0.9857557372724874,0.6306512234425425
test,1,sigma_T,7582,0.07016276589451587,0.03643402902974959,-1.5144952534057006,0.9720390398311791,0.7111469809407139
test,1,delta_yN,7582,0.13728414326246446,0.08486544279333974,-1.041962195184859,0.8653389606963862,0.5837895392868456
test,1,delta_yF,7582,0.15571323380686347,0.0936499403573944,-1.003221249460891,0.9662358216829333,1.0748870978409493
test,1,delta_yT,7582,0.23935211401283982,0.14911531188248392,-0.7157777080872982,0.9668952782906884,1.3545163216738045
test,2,all,6826,0.12536554683404666,0.07890923866172529,-1.3017304668506615,0.9398378747924602,0.7260101592862467
test,2,yN,6826,0.0967664937981575,0.06280531240215129,-1.4947382761801298,0.8822150600644594,0.444933626681802
test,2,yF,6826,0.12925529804631003,0.08317077077800775,-1.212918827829213,0.9654263111631995,0.8512484357394049
test,2,yT,6826,0.20593873560036136,0.15166219860236735,-0.9361925429694296,0.955024904775857,1.0307969217107613
test,2,sigma_N,6826,0.1489690713516195,0.07319875774479946,-1.167629333594451,0.8888075007324934,0.5267844556399953
test,2,sigma_F,6826,0.04298339924312498,0.022706789422726793,-1.8323829722411467,0.982420158218576,0.5373595799653718
test,2,sigma_T,6826,0.08007679727490385,0.04394864959169126,-1.5729590772779114,0.9520949311456197,0.6025637088896346
test,2,delta_yN,6826,0.10777407517668872,0.0694409849494914,-1.419001761748579,0.8877820099619104,0.47512832820991807
test,2,delta_yF,6826,0.12395032618517214,0.07683096031900938,-1.1879010310872993,0.9727512452387929,0.9045093040678671
test,2,delta_yT,6826,0.19257572483008184,0.12641872414528293,-0.8918503787277942,0.9720187518312335,1.160767072671465
test,3,all,6145,0.12901281237093387,0.08528828188842981,-1.3561750851189633,0.938558900641895,0.6686824085720839
test,3,yN,6145,0.09986234760475424,0.0673103344256166,-1.5427273476385701,0.8867371847030106,0.4247201287135349
test,3,yF,6145,0.1354826175095067,0.0917701737874887,-1.2306376600769888,0.9653376729048007,0.8099492360946121
test,3,yT,6145,0.21829664330434814,0.16995357726045116,-0.9127217543425843,0.9669650122050447,1.0255451109275477
test,3,sigma_N,6145,0.14434069481758577,0.07195513908993044,-1.2801657469511225,0.8978030919446705,0.488362586546759
test,3,sigma_F,6145,0.04502588453099316,0.024898444684760372,-1.871208113320384,0.9819365337672905,0.4982244086517756
test,3,sigma_T,6145,0.08429536427048409,0.04801162730590224,-1.5960886155230132,0.9383238405207486,0.5470906595178888
test,3,delta_yN,6145,0.10062981072502056,0.06424075194351841,-1.56399703246971,0.8909682668836453,0.4197526522823424
