split,horizon_months,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
test,0,all,20553,0.12846954928808127,0.07994339554829932,20553,0.15237186489247284,0.0901183976342297,-0.023902315604391572,-0.010175002085930376,0.15686830125272258,0.11290704620857131
test,0,delta_yF,20553,0.13837267206464848,0.08575811677505017,20553,0.18747947895812336,0.11421805288065717,-0.04910680689347488,-0.028459936105607,0.2619316373523936,0.24917196001707267
test,0,delta_yN,20553,0.11763445694009095,0.07357628429996842,20553,0.1432993139075354,0.08971219622833053,-0.025664856967444444,-0.016135911928362112,0.17909965000952358,0.17986308001304394
test,0,delta_yT,20553,0.21382321343542543,0.13990365135891852,20553,0.29528583437850153,0.18574777079131408,-0.0814626209430761,-0.04584411943239555,0.27587717207814366,0.2468084501746242
test,0,sigma_F,20553,0.04237447360202733,0.022456583133180233,20553,0.04237447891678531,0.022456582103663917,-5.3147579809342815e-09,1.0295163159479426e-09,1.254235595763045e-07,-4.584474659569727e-08
test,0,sigma_N,20553,0.14367409151539945,0.06922353941211154,20553,0.14367407776031715,0.06922354998495413,1.3755082295396903e-08,-1.0572842587541764e-08,-9.573809353656463e-08,1.5273476425060247e-07
test,0,sigma_T,20553,0.07791112807670306,0.042391268428512395,20553,0.0779111180452955,0.04239126508983447,1.003140755184706e-08,3.3386779244026776e-09,-1.287545064622877e-07,-7.875862910265683e-08
test,0,yF,20553,0.1264823441082892,0.08075787715074796,20553,0.13861726382588127,0.08176904767990947,-0.012134919717592063,-0.001011170529161512,0.08754262912615902,0.012366177152017327
test,0,yN,20553,0.09563248777356884,0.061514938541185546,20553,0.10278502941063855,0.0629502591714484,-0.007152541637069715,-0.0014353206302628596,0.06958738717186577,0.022800869276069013
test,0,yT,20553,0.20032107607657856,0.14390830083501918,20553,0.23992018882917718,0.1425968547779551,-0.039599112752598614,0.0013114460570640696,0.1650511903389386,-0.009196879265718655
test,1,all,7582,0.12955179313689158,0.07654255518265075,7582,0.1475028588687866,0.08407848773565602,-0.017951065731895033,-0.007535932553005262,0.12169978175042474,0.08962973473902555
test,1,delta_yF,7582,0.15571323380686347,0.0936499403573944,7582,0.2007398691888921,0.11963815604066572,-0.04502663538202864,-0.02598821568327131,0.22430340103320232,0.21722347237145448
test,1,delta_yN,7582,0.13728414326246446,0.08486544279333974,7582,0.15745170532467426,0.09602681762017791,-0.020167562062209793,-0.011161374826838169,0.12808728886500878,0.11623185172068905
test,1,delta_yT,7582,0.23935211401283982,0.14911531188248392,7582,0.3075718717361506,0.18693415813719935,-0.06821975772331076,-0.03781884625471543,0.22180102926262657,0.2023110523597217
