epoch,train_loss,validation_loss,validation_rmse_all_horizons,validation_mae_all_horizons,validation_selection_objective,validation_blend_selection_metric,epoch_seconds,best_validation_loss,best_validation_objective
1,-0.4920657230377197,-1.4449482238634865,0.15296743432630291,0.09329738678356457,0.9768017806767617,balanced,2.43642114999966,-1.4449482238634865,0.9768017806767617
2,-1.8950397290039063,-1.4201757628886493,0.1502321902096316,0.09242088878000493,0.9635437164550713,balanced,2.2773277790001885,-1.4201757628886493,0.9635437164550713
3,-2.095255088043213,-1.4242335150478618,0.1461547291756784,0.0907802705953438,0.9420044584221501,balanced,2.344654129999981,-1.4242335150478618,0.9420044584221501
4,-2.1887138540649413,-1.4619123982108886,0.14150912941134014,0.08763774220893954,0.9106962321925052,balanced,2.365395527999681,-1.4619123982108886,0.9106962321925052
5,-2.2814313207244874,-1.4489030537269145,0.13844978258171306,0.08591941220553762,0.8919448034526143,balanced,2.224550302999887,-1.4489030537269145,0.8919448034526143
6,-2.344517908706665,-1.5513607174548119,0.13808286754601026,0.0858722174871349,0.8905404062109463,balanced,2.358077689000311,-1.5513607174548119,0.8905404062109463
7,-2.460851689605713,-1.4612982405775072,0.13638456895655238,0.08433519886265342,0.8770316962679563,balanced,2.072707363000518,-1.4612982405775072,0.8770316962679563
8,-2.515028631134033,-1.5436317544952027,0.1360946280987777,0.08396912195020703,0.8741744135542733,balanced,2.167267474000255,-1.5436317544952027,0.8741744135542733
9,-2.463580569534302,-1.5563365411249754,0.1357914469121249,0.08370897016160869,0.8718385054542204,balanced,2.408159075000185,-1.5563365411249754,0.8718385054542204
10,-2.5948299799346923,-1.6278772366187182,0.13579087418275237,0.08445588419910155,0.8758066176534895,balanced,2.2692281079998793,-1.5563365411249754,0.8718385054542204
11,-2.625239783630371,-1.4771214245071798,0.13570119313367202,0.084622689151842,0.8764112499675292,balanced,2.2759084059998713,-1.5563365411249754,0.8718385054542204
12,-2.5386028736114503,-1.632036134536728,0.1351650753921885,0.0837345234871738,0.8700050587326491,balanced,2.282000281999899,-1.632036134536728,0.8700050587326491
13,-2.6110944254302977,-1.5774759031241448,0.1351927634491579,0.08390362129265963,0.8709908773831672,balanced,2.3704560240003048,-1.632036134536728,0.8700050587326491
14,-2.7159185200500486,-1.5460525641120937,0.13533501526687527,0.08416361192723082,0.872819979125919,balanced,2.3513103690002026,-1.632036134536728,0.8700050587326491
15,-2.658427035369873,-1.5662973367327526,0.1352298254145503,0.08435481295903827,0.8735055202049329,balanced,2.2661313210001026,-1.632036134536728,0.8700050587326491
16,-2.7508460063934326,-1.564188203887159,0.1352444813858341,0.08442691828639168,0.8739348435359421,balanced,2.258371850999538,-1.632036134536728,0.8700050587326491
17,-2.8014517693328855,-1.5532472233272525,0.13569969358994355,0.08414591395444315,0.8738724340360275,balanced,2.3668320050001057,-1.632036134536728,0.8700050587326491
18,-2.815469198226929,-1.5600517681561903,0.13580981046910107,0.08439320262413576,0.8755329939096098,balanced,2.37014116499995,-1.632036134536728,0.8700050587326491
19,-2.852939908065796,-1.5844942188021716,0.13591743187793912,0.08472010236213125,0.8776088479375823,balanced,2.264051857000595,-1.632036134536728,0.8700050587326491
20,-2.875213274459839,-1.6210780027583136,0.1361222121643108,0.0847717017630543,0.878526917013618,balanced,2.280016521000107,-1.632036134536728,0.8700050587326491
