split,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,all,200000,0.10450278539141006,0.055536318023867076,-2.0651756015692815,0.9152611111111111,0.3257138188256158
train,yN,200000,0.061812498069740235,0.02361122849136591,-2.663919094238281,0.930675,0.16459282699584962
train,yF,200000,0.13181576253508007,0.0739009637260437,-1.6056260559082032,0.87825,0.38962500061035155
train,yT,200000,0.1785103114700015,0.10242898507595062,-1.3342421026611329,0.88423,0.5420261828613281
train,sigma_N,200000,0.06418632785361283,0.018261738066375256,-2.5581275888061525,0.95785,0.19137565177917482
train,sigma_F,200000,0.04232875431933532,0.01822319143772125,-2.744276112060547,0.92648,0.14432401329040528
train,sigma_T,200000,0.07385733117967197,0.03410993331193924,-2.102826307373047,0.940525,0.3294501774597168
train,delta_yN,200000,0.06269988636782634,0.02655446209907532,-2.6614117443847656,0.93387,0.17198712715148926
train,delta_yF,200000,0.1326084563537112,0.083699302444458,-1.615577350463867,0.89089,0.40809878326416016
train,delta_yT,200000,0.19270574037371102,0.1190370575618744,-1.3005740582275391,0.89458,0.5899446060180664
validation,all,50000,0.11767193806450346,0.06783963556713528,-1.6350704625108508,0.9108666666666667,0.4281640284220377
validation,yN,50000,0.08302905797164627,0.04417627979278564,-1.8690246118164062,0.8968,0.2624019198608398
validation,yF,50000,0.1337902035763383,0.07724076446533203,-1.4912946557617188,0.8978,0.4806997100830078
validation,yT,50000,0.19003080439566292,0.11807752716064453,-1.20309349609375,0.88638,0.6489144580078124
validation,sigma_N,50000,0.09778473486196368,0.03993899398803711,-1.3728065502929687,0.9251,0.29180504333496093
validation,sigma_F,50000,0.046160926850507523,0.02015627908706665,-2.469406005859375,0.94026,0.20468003845214844
validation,sigma_T,50000,0.08552948353580578,0.044099082489013675,-1.7832120043945312,0.94122,0.46209130615234373
validation,delta_yN,50000,0.08510127762957197,0.048442584686279294,-1.8706625732421875,0.90202,0.27442672790527345
validation,delta_yF,50000,0.13445246832962643,0.08551762969970703,-1.4941030078125,0.90968,0.5054080895996094
validation,delta_yT,50000,0.2031684854294083,0.13290757873535156,-1.1620312573242189,0.89854,0.7230489624023437
test,all,50000,0.1213338264807499,0.07087012498431736,-1.5124349009874132,0.9001177777777778,0.44864702931722
test,yN,50000,0.09061060045219126,0.050048343353271484,-1.5783231127929687,0.87298,0.28114560028076174
test,yF,50000,0.13593143451356648,0.07835963256835937,-1.48371365234375,0.90142,0.4980437164306641
test,yT,50000,0.18877794809142276,0.11929696105957031,-1.1204603125,0.87936,0.6707238934326172
test,sigma_N,50000,0.11111729540038837,0.04802318298339844,-1.1911907592773439,0.89688,0.30962635040283204
test,sigma_F,50000,0.047676762509435144,0.021037316722869872,-2.41021693359375,0.93362,0.21504081481933593
test,sigma_T,50000,0.08309019240517398,0.043763049545288084,-1.6989905444335938,0.93456,0.4901212890625
test,delta_yN,50000,0.09287108604840268,0.05450851127624512,-1.5847776428222655,0.87804,0.2943102920532227
test,delta_yF,50000,0.1377670226197652,0.08743541275024413,-1.4770770141601564,0.91306,0.5258566259765625
test,delta_yT,50000,0.20416209628640325,0.13535871459960938,-1.0671641369628906,0.89114,0.7529546813964844
