target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
delta_yF,0.0,50000,0.13929823974609376,0.23482739192719537,balanced,1.6877139446747593
delta_yF,0.1,50000,0.13189290069580079,0.2221797740682191,balanced,1.5973830398831876
delta_yF,0.2,50000,0.12479009277343751,0.20986795388367843,balanced,1.510069716813765
delta_yF,0.35,50000,0.11469451629638673,0.1921705921209987,balanced,1.385230766002918
delta_yF,0.5,50000,0.10540543060302736,0.17564515087146074,balanced,1.2694652818426928
delta_yF,0.65,50000,0.09711524978637696,0.16065368443718367,balanced,1.1652446627148594
delta_yF,0.8,50000,0.09030876556396485,0.14766413662955374,balanced,1.0771435445464916
delta_yF,0.9,50000,0.08707538299560548,0.14039481893907813,balanced,1.0312057482238943
delta_yF,1.0,50000,0.0855176824951172,0.1344524837924135,balanced,1.0
delta_yN,0.0,50000,0.07907700485229492,0.1448596405234242,balanced,1.6672948067894051
delta_yN,0.1,50000,0.07495316864013672,0.13721684768042705,balanced,1.579826526658135
delta_yN,0.2,50000,0.07098108337402344,0.12979333530943363,balanced,1.4952128940705411
delta_yN,0.35,50000,0.06532978607177735,0.11915856982558333,balanced,1.3744000293567862
delta_yN,0.5,50000,0.060113767089843756,0.10927964379665861,balanced,1.2625207133249337
delta_yN,0.65,50000,0.055464404602050786,0.10037997021370838,balanced,1.1622435959515198
delta_yN,0.8,50000,0.05155387573242188,0.0927418830486754,balanced,1.0770046151326795
delta_yN,0.9,50000,0.04956524597167969,0.08851436512413252,balanced,1.031640813676064
delta_yN,1.0,50000,0.0484425700378418,0.08510127407155721,balanced,1.0
delta_yT,0.0,50000,0.20590619049072267,0.33905692499736956,balanced,1.6090447273601827
delta_yT,0.1,50000,0.19601510040283204,0.3220754851009734,balanced,1.5300428007832632
delta_yT,0.2,50000,0.18659119140625002,0.3055538285902137,balanced,1.4539299478410261
delta_yT,0.35,50000,0.17331908142089844,0.28180977280228414,balanced,1.345565706095094
delta_yT,0.5,50000,0.16116028778076172,0.25961459175445256,balanced,1.2452015734504602
delta_yT,0.65,50000,0.15008523040771485,0.2393994690662128,balanced,1.1537874168656566
delta_yT,0.8,50000,0.1407840072631836,0.22170668888420147,balanced,1.075253961578478
delta_yT,0.9,50000,0.13610950851440431,0.21162916801480525,balanced,1.0328675436955896
delta_yT,1.0,50000,0.1329075427246094,0.2031685375328806,balanced,1.0
sigma_F,0.0,50000,0.020156282424926758,0.0461609353468388,balanced,1.0017538104055803
sigma_F,0.1,50000,0.020575956535339356,0.046022357493498076,balanced,1.0106580196634627
sigma_F,0.2,50000,0.021203905334472656,0.04599958624083568,balanced,1.0259875032374604
sigma_F,0.35,50000,0.022389232749938967,0.04618270264257659,balanced,1.0573813402824594
sigma_F,0.5,50000,0.023745326309204104,0.04662349144691408,balanced,1.0958120420714592
sigma_F,0.65,50000,0.025203223228454592,0.04731475231599644,balanced,1.1394906413958321
sigma_F,0.8,50000,0.026733016471862794,0.048245719428251524,balanced,1.1875582386382357
sigma_F,0.9,50000,0.02778326049804688,0.04899293258360779,balanced,1.2217327168972254
sigma_F,1.0,50000,0.028854539184570316,0.04983617613837394,balanced,1.2574728024188815
sigma_N,0.0,50000,0.03993899047851563,0.09778474566318178,balanced,1.0
sigma_N,0.1,50000,0.04049553501129151,0.09782983932126306,balanced,1.0071980097928395
sigma_N,0.2,50000,0.04117222587585449,0.09795761463697246,balanced,1.016322916682227
