epoch,train_loss,validation_loss,validation_rmse_all,validation_mae_all,validation_selection_objective,validation_blend_selection_metric,epoch_seconds,best_validation_loss,best_validation_objective
1,-0.8856460541534423,-1.7736896522521972,0.1254564945330708,0.07442880778630574,0.8479814321843471,balanced,1.8800340279994998,-1.7736896522521972,0.8479814321843471
2,-2.2030235177612303,-1.997946954421997,0.11906074130307975,0.0702118029636807,0.8022578349137708,balanced,1.877148676001525,-1.997946954421997,0.8022578349137708
3,-2.3644781272888182,-1.9971745922470092,0.1184039242671761,0.06964466620763143,0.7967711855707962,balanced,1.8006369579998136,-1.9971745922470092,0.7967711855707962
4,-2.396096404876709,-1.998431363143921,0.11813701675463645,0.06906608846664428,0.7924876671829835,balanced,1.763695773002837,-1.998431363143921,0.7924876671829835
5,-2.414400926055908,-1.9989225596618652,0.11801648276454059,0.06869653369267782,0.7899144263463255,balanced,1.9781381210013933,-1.9989225596618652,0.7899144263463255
6,-2.426199515686035,-1.995129404144287,0.11762244999821636,0.06850546444151136,0.7875030086491455,balanced,1.967727309998736,-1.995129404144287,0.7875030086491455
7,-2.438117254638672,-1.9919849017333984,0.11748252552460198,0.0683691620487637,0.7862428128122826,balanced,1.8421189270011382,-1.9919849017333984,0.7862428128122826
8,-2.4501461876678468,-1.9790549784088134,0.11727881957630208,0.06816420534981621,0.7843696924442187,balanced,1.9230840330019419,-1.9790549784088134,0.7843696924442187
9,-2.4595582509613036,-1.9600688326644897,0.11714350780665707,0.06817459110895792,0.7839900172040084,balanced,1.8775399070000276,-1.9600688326644897,0.7839900172040084
10,-2.4670920194244386,-1.9685219842529298,0.11747206762694219,0.06800309521357219,0.7840488668574298,balanced,1.8255828550027218,-1.9600688326644897,0.7839900172040084
11,-2.479569562072754,-1.982220288848877,0.11767193806450346,0.06783963556713528,0.7837357596995854,balanced,1.758446774998447,-1.982220288848877,0.7837357596995854
12,-2.4914206770324707,-2.000716320724487,0.11774142544950804,0.06797748618867662,0.7847755503934684,balanced,1.913784158998169,-1.982220288848877,0.7837357596995854
13,-2.501154182052612,-1.9935614435577393,0.11773357109007931,0.06807225487391154,0.7853091084003373,balanced,2.0022293160000117,-1.982220288848877,0.7837357596995854
14,-2.5110737287139893,-2.007928974838257,0.1177679231272935,0.0681859246465895,0.786091728486456,balanced,1.9401150040030188,-1.982220288848877,0.7837357596995854
15,-2.5197621894073485,-2.006454906845093,0.11769741579816727,0.06825880149205527,0.7862919472119885,balanced,1.8544575449996046,-1.982220288848877,0.7837357596995854
16,-2.5282855486297606,-1.9655991423034669,0.11776110544403677,0.06811637358135647,0.785659146190629,balanced,1.8785984950009151,-1.982220288848877,0.7837357596995854
17,-2.5314477404022218,-2.0082192069244384,0.11774095437484261,0.06826719587749905,0.7864833589985497,balanced,1.855184674001066,-1.982220288848877,0.7837357596995854
18,-2.5393321562194826,-1.9903336973571777,0.11789475382265718,0.06825693508783975,0.7869240191265896,balanced,1.8880354489992897,-1.982220288848877,0.7837357596995854
19,-2.539352743148804,-1.9790600885772704,0.11786104320251559,0.06827866402732001,0.7869423681302299,balanced,1.752559715998359,-1.982220288848877,0.7837357596995854
20,-2.5502010849761962,-2.01512366645813,0.11788456722166403,0.06823093676037258,0.7867374278783593,balanced,1.9519655360018078,-1.982220288848877,0.7837357596995854
