split,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,all,112470,0.09425778015565772,0.04984810677838886,-2.609545795192737,0.912571253568853,0.24580814644255491
train,yN,112470,0.04228762618732959,0.013928289111162744,-3.9849697256507985,0.9677247265937583,0.07870703566876731
train,yF,112470,0.11043709006904813,0.06418155040318695,-1.899586967766057,0.8780474793278208,0.29728150651371615
train,yT,112470,0.19300373921099997,0.1040537478288481,-1.1640667784846792,0.8546901395927803,0.5295807044856059
train,sigma_N,112470,0.05374777733847469,0.011115001311479827,-3.8769199573825155,0.9766426602649595,0.08826888311573841
train,sigma_F,112470,0.03764126208835089,0.01707387577218671,-2.889977307750817,0.9116920067573575,0.11074584678744193
train,sigma_T,112470,0.05762440442698235,0.02756609662729994,-2.5481909563904543,0.873948608517827,0.15066008731885794
train,delta_yN,112470,0.044088464152878856,0.015377812480104015,-3.9527981517727646,0.9684360273850805,0.08056208469014046
train,delta_yF,112470,0.11433991652221881,0.06975363891389917,-1.9104031637169216,0.8931804036631991,0.3125134391849111
train,delta_yT,112470,0.19514974140463612,0.1255829485573323,-1.258999147819627,0.8887792300168934,0.563953730217815
validation,all,7079,0.11870625946160646,0.07313077835356278,-1.7548953220677406,0.9119932193812686,0.424026076120189
validation,yN,7079,0.08674930785969555,0.05236489632352292,-2.064983619574622,0.9399632716485379,0.3699399708590108
validation,yF,7079,0.11343381854562846,0.07186557270238116,-1.573978161640062,0.9468851532702359,0.5273301272359266
validation,yT,7079,0.1989394813358823,0.12027282434628667,-1.0987565554810002,0.8282243254696992,0.5604176742913679
validation,sigma_N,7079,0.11939878093424948,0.052417520716258034,-1.8119915432639673,0.9401045345387766,0.4204091539422003
validation,sigma_F,7079,0.04957305399625393,0.0222873377890923,-2.550114458808624,0.9163723689786692,0.16721947426546055
validation,sigma_T,7079,0.07946862679926543,0.0421898156543424,-2.0142455313195278,0.8663653058341574,0.2611010805128119
validation,delta_yN,7079,0.09354590988240263,0.05976950500893515,-2.0232714747183573,0.9408108489899704,0.3823646236095814
validation,delta_yF,7079,0.11807024237835324,0.08029638452876134,-1.5584102910291442,0.9540895606724114,0.539544366480082
validation,delta_yT,7079,0.20917711342272705,0.156713148112485,-1.098306262774359,0.8751236050289589,0.5879082138852593
test,all,7582,0.11481241445162607,0.07104266102482612,-1.546298700639716,0.9172748322049298,0.43442685846084833
test,yN,7582,0.0870540293341994,0.05509468648151306,-1.4630231100095983,0.9184911632814561,0.38400475842378534
test,yF,7582,0.11111233440502706,0.07054383406944748,-1.5729495858303384,0.9560801899235031,0.5402733740659416
test,yT,7582,0.18600272976890544,0.1092052515060598,-1.186580125652244,0.8629649169084674,0.5654239075946732
test,sigma_N,7582,0.13817236925127035,0.06343081128908569,-0.6779284767788842,0.8994988129781061,0.43875835703470184
test,sigma_F,7582,0.03942055127359646,0.020324732439085915,-2.6491104484201893,0.9142706409918228,0.17164483620038104
test,sigma_T,7582,0.06986711785317701,0.03658801979139404,-2.1139430894099513,0.9188868372461092,0.2694202162476713
test,delta_yN,7582,0.09381976291187676,0.06391202161381912,-1.4907327107092663,0.924690055394355,0.4013321498427093
test,delta_yF,7582,0.11571306133030544,0.0796580283190889,-1.558162736502778,0.9643893431812187,0.551136641727529
test,delta_yT,7582,0.19214977393627666,0.1406265637139411,-1.2042580224441934,0.89620152993933,0.5878474850102422
