split,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
test,all,7582,0.11481241445162607,0.07104266102482612,7582,0.14750285896434898,0.08407848801705714,-0.032690444512722905,-0.01303582699223102,0.22162583655835508,0.1550435468057706
test,delta_yF,7582,0.11571306133030544,0.0796580283190889,7582,0.20073986918889436,0.11963815604066572,-0.08502680785858892,-0.039980127721576816,0.42356711799278635,0.3341753922384706
test,delta_yN,7582,0.09381976291187676,0.06391202161381912,7582,0.15745170532467637,0.09602681762017791,-0.06363194241279961,-0.03211479600635879,0.4041362542348215,0.3344357003830415
test,delta_yT,7582,0.19214977393627666,0.1406265637139411,7582,0.30757187173614936,0.18693415813719935,-0.1154220977998727,-0.04630759442325824,0.3752687043465652,0.24772141637843964
test,sigma_F,7582,0.03942055127359646,0.020324732439085915,7582,0.039509345228048616,0.02025226815310351,-8.879395445215293e-05,7.246428598240567e-05,0.0022474165020866005,-0.00357808248609927
test,sigma_N,7582,0.13817236925127035,0.06343081128908569,7582,0.1381723700255101,0.06343081246374732,-7.742397556409486e-10,-1.1746616318530911e-09,5.603433996956152e-09,1.8518785842833824e-08
test,sigma_T,7582,0.06986711785317701,0.03658801979139404,7582,0.07016275779036485,0.03643402677543646,-0.00029563993718784154,0.00015399301595758058,0.004213630514227599,-0.004226626304765234
test,yF,7582,0.11111233440502706,0.07054383406944748,7582,0.12235731782178053,0.06972551372946802,-0.011244983416753465,0.0008183203399794586,0.0919028270391832,-0.011736311375983636
test,yN,7582,0.0870540293341994,0.05509468648151306,7582,0.09553779330623863,0.05668835822061447,-0.008483763972039232,-0.00159367173910141,0.0888000829665933,0.028112857544741493
test,yT,7582,0.18600272976890544,0.1092052515060598,7582,0.19602270025747787,0.10757628101310136,-0.010019970488572422,0.0016289704929584314,0.05111637823278164,-0.015142468931046654
train,all,112470,0.09425778015565772,0.04984810677838886,112470,0.12480269243796228,0.06121762086460509,-0.030544912282304562,-0.011369514086216226,0.24474561955053992,0.18572290013298887
train,delta_yF,112470,0.11433991652221881,0.06975363891389917,112470,0.20312358988929077,0.11235339921721355,-0.08878367336707196,-0.042599760303314374,0.43709188782781,0.3791586244841243
train,delta_yN,112470,0.044088464152878856,0.015377812480104015,112470,0.07833244217771304,0.02252227810991598,-0.034243978024834185,-0.007144465629811964,0.43716213962976885,0.3172177163848465
train,delta_yT,112470,0.19514974140463612,0.1255829485573323,112470,0.3195911181305937,0.1796232074597173,-0.12444137672595759,-0.05404025890238501,0.3893768307888564,0.30085343462372033
train,sigma_F,112470,0.03764126208835089,0.01707387577218671,112470,0.037719046445623614,0.01700122501947359,-7.77843572727227e-05,7.265075271311802e-05,0.002062203703501834,-0.004273265757608772
train,sigma_N,112470,0.05374777733847469,0.011115001311479827,112470,0.05374778923353848,0.011115003533744946,-1.1895063788125437e-08,-2.222265118451139e-09,2.2131261504432166e-07,1.9993382023715809e-07
train,sigma_T,112470,0.05762440442698235,0.02756609662729994,112470,0.057936608107166054,0.02747537763605778,-0.000312203680183705,9.071899124215785e-05,0.0053887117382884755,-0.003301828729847965
train,yF,112470,0.11043709006904813,0.06418155040318695,112470,0.12303416850179363,0.06435533474262656,-0.012597078432745504,-0.00017378433943961158,0.10238682949738356,0.0027003874680260713
train,yN,112470,0.04228762618732959,0.013928289111162744,112470,0.04671574890235536,0.012828231162046384,-0.004428122715025767,0.00110005794911636,0.09478864877626966,-0.08575289416135502
train,yT,112470,0.19300373921099997,0.1040537478288481,112470,0.20302372055358595,0.10368453090064969,-0.01001998134258597,0.00036921692819841256,0.04935374701667584,-0.0035609644465884258
validation,all,7079,0.11870625946160646,0.07313077835356278,7079,0.15285879993141757,0.08700496754554611,-0.034152540469811116,-0.013874189191983327,0.22342541276743094,0.15946433385795297
validation,delta_yF,7079,0.11807024237835324,0.08029638452876134,7079,0.20865455511896802,0.12637161249738238,-0.09058431274061478,-0.04607522796862104,0.43413532328094423,0.36460109242948396
validation,delta_yN,7079,0.09354590988240263,0.05976950500893515,7079,0.15875524487033807,0.09300383590745932,-0.06520933498793544,-0.03323433089852417,0.4107538937765148,0.3573436576486264
validation,delta_yT,7079,0.20917711342272705,0.156713148112485,7079,0.3293605282824525,0.20399671741411973,-0.12018341485972545,-0.04728356930163474,0.36489926551447216,0.23178593215128857
validation,sigma_F,7079,0.04957305399625393,0.0222873377890923,7079,0.049685549207374356,0.022243895153124468,-0.00011249521112042388,4.3442635967831655e-05,0.0022641434564987617,-0.0019530138794836716
validation,sigma_N,7079,0.11939878093424948,0.052417520716258034,7079,0.11939879356576141,0.05241752965408295,-1.263151193364731e-08,-8.937824917676362e-09,1.0579262617666432e-07,1.7051213547565895e-07
validation,sigma_T,7079,0.07946862679926543,0.0421898156543424,7079,0.0798183286950686,0.04201006240027146,-0.0003497018958031617,0.00017975325407093568,0.004381222978736302,-0.004278814260218145
validation,yF,7079,0.11343381854562846,0.07186557270238116,7079,0.12597896583275048,0.07259873645060445,-0.012545147287122013,-0.0007331637482232978,0.09958128489304266,0.010098849980979159
validation,yN,7079,0.08674930785969555,0.05236489632352292,7079,0.09483473592883976,0.053117398770957835,-0.00808542806914421,-0.0007525024474349176,0.0852580859740169,0.014166778962194804
validation,yT,7079,0.1989394813358823,0.12027282434628667,7079,0.20924249788120478,0.11728491966191246,-0.01030301654532248,0.0029879046843742096,0.04923959831129482,-0.025475608398651723
