split,target,rows,rmse,mae
train,all,112470,0.12480269243796228,0.06121762086460509
train,yN,112470,0.04671574890235536,0.012828231162046384
train,yF,112470,0.12303416850179363,0.06435533474262656
train,yT,112470,0.20302372055358595,0.10368453090064969
train,sigma_N,112470,0.05374778923353848,0.011115003533744946
train,sigma_F,112470,0.037719046445623614,0.01700122501947359
train,sigma_T,112470,0.057936608107166054,0.02747537763605778
train,delta_yN,112470,0.07833244217771304,0.02252227810991598
train,delta_yF,112470,0.20312358988929077,0.11235339921721355
train,delta_yT,112470,0.3195911181305937,0.1796232074597173
validation,all,7079,0.15285879993141757,0.08700496754554611
validation,yN,7079,0.09483473592883976,0.053117398770957835
validation,yF,7079,0.12597896583275048,0.07259873645060445
validation,yT,7079,0.20924249788120478,0.11728491966191246
validation,sigma_N,7079,0.11939879356576141,0.05241752965408295
validation,sigma_F,7079,0.049685549207374356,0.022243895153124468
validation,sigma_T,7079,0.0798183286950686,0.04201006240027146
validation,delta_yN,7079,0.15875524487033807,0.09300383590745932
validation,delta_yF,7079,0.20865455511896802,0.12637161249738238
validation,delta_yT,7079,0.3293605282824525,0.20399671741411973
test,all,7582,0.14750285896434898,0.08407848801705714
test,yN,7582,0.09553779330623863,0.05668835822061447
test,yF,7582,0.12235731782178053,0.06972551372946802
test,yT,7582,0.19602270025747787,0.10757628101310136
test,sigma_N,7582,0.1381723700255101,0.06343081246374732
test,sigma_F,7582,0.039509345228048616,0.02025226815310351
test,sigma_T,7582,0.07016275779036485,0.03643402677543646
test,delta_yN,7582,0.15745170532467637,0.09602681762017791
test,delta_yF,7582,0.20073986918889436,0.11963815604066572
test,delta_yT,7582,0.30757187173614936,0.18693415813719935
