target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
delta_yF,0.0,7079,0.1263716161916242,0.2086545518192466,balanced,1.7928185663731124
delta_yF,0.1,7079,0.11781884613877755,0.19545847044783124,balanced,1.6755958602101741
delta_yF,0.2,7079,0.10965474302914541,0.1826745934528091,balanced,1.56286678869126
delta_yF,0.35,7079,0.09836905574138462,0.16448122162844012,balanced,1.4047169063164362
delta_yF,0.5,7079,0.08850775345652634,0.14785202590514657,balanced,1.2632732402364062
delta_yF,0.65,7079,0.08055356485491032,0.13337337491518308,balanced,1.1444476932201209
delta_yF,0.8,7079,0.07520692633747263,0.12181451924278387,balanced,1.0564558111892444
delta_yF,0.9,7079,0.07342878703529475,0.11617101729230957,balanced,1.0191935309930398
delta_yF,1.0,7079,0.07302311750299632,0.11247816735416394,balanced,1.0
delta_yN,0.0,7079,0.09300383411401543,0.15875524748196743,balanced,1.745082852288649
delta_yN,0.1,7079,0.08678452230001645,0.14886169269458158,balanced,1.632468493603997
delta_yN,0.2,7079,0.0808095542669532,0.13930806835724246,balanced,1.5240030505222624
delta_yN,0.35,7079,0.07241094669795235,0.12578378743511967,balanced,1.3710016517413823
delta_yN,0.5,7079,0.06505829366120026,0.11353277367458982,balanced,1.2347331002024453
delta_yN,0.65,7079,0.0591731846778806,0.10301032635258024,balanced,1.1216147217626218
delta_yN,0.8,7079,0.0556524912336651,0.09479382934659192,balanced,1.0430886935584516
delta_yN,0.9,7079,0.054816184466227685,0.0909137714215094,balanced,1.0135431882054884
delta_yN,1.0,7079,0.055001685773944056,0.08851618861813364,balanced,1.001692030460736
delta_yT,0.0,7079,0.20399671032664837,0.32936052738207194,balanced,1.6706994679025424
delta_yT,0.1,7079,0.19296361645966503,0.31136451275263477,balanced,1.5798605606505256
delta_yT,0.2,7079,0.18259478753730224,0.2938956127942466,balanced,1.4930296864547772
delta_yT,0.35,7079,0.168126297697608,0.2689046121555949,balanced,1.370251789105815
delta_yT,0.5,7079,0.15491485919028222,0.24576129860810944,balanced,1.2572913247639073
delta_yT,0.65,7079,0.14334903765000906,0.22503647750240088,balanced,1.1571820791777216
delta_yT,0.8,7079,0.13378437644159882,0.2074562214871643,balanced,1.0732351510998956
delta_yT,0.9,7079,0.1290746484878525,0.1979035001282472,balanced,1.0295458132258368
delta_yT,1.0,7079,0.12658563261736683,0.19039637624298617,balanced,1.0
sigma_F,0.0,7079,0.02224389380832095,0.04968554902674053,balanced,1.0233697259228718
sigma_F,0.1,7079,0.022203742893659256,0.04933159024686706,balanced,1.018743544966362
sigma_F,0.2,7079,0.02222100117900712,0.049007445666127455,balanced,1.0157236555719935
sigma_F,0.35,7079,0.022353684098930376,0.04857842724151039,balanced,1.0142001869156116
sigma_F,0.5,7079,0.022594443012856714,0.04821965018174521,balanced,1.015849071039984
sigma_F,0.65,7079,0.022937835551096332,0.047932691083774216,balanced,1.02056433132977
sigma_F,0.8,7079,0.02335828642906451,0.047718847987400295,balanced,1.027783694425871
sigma_F,0.9,7079,0.023675882474465768,0.04761740457677457,balanced,1.0338688302741441
sigma_F,1.0,7079,0.024017885792539995,0.047549112394319984,balanced,1.0408521866689153
sigma_N,0.0,7079,0.05241752933826061,0.11939879334565438,balanced,1.0008938473721463
sigma_N,0.1,7079,0.05248038427592974,0.11934079148431004,balanced,1.0012500821204564
sigma_N,0.2,7079,0.052566177243145024,0.11929195048568496,balanced,1.0018635490408414
sigma_N,0.35,7079,0.05273278477939951,0.1192358795553431,balanced,1.0032175589384673
sigma_N,0.5,7079,0.05294591529437724,0.1192004625019813,balanced,1.0051019876996237
sigma_N,0.65,7079,0.0531934473302038,0.11918572565031461,balanced,1.007401321673672
sigma_N,0.8,7079,0.0534741455155723,0.11919167101968925,balanced,1.010103785379966
sigma_N,0.9,7079,0.05368022484906667,0.11920712363691228,balanced,1.0121343594216563
sigma_N,1.0,7079,0.05390306751107341,0.11923176852122677,balanced,1.0143633981814644
sigma_T,0.0,7079,0.04201006145021945,0.0798183263902169,balanced,1.0549129109291009
