split,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,all,50000,0.11218358551327699,0.06056467863082885,-1.9320685275099012,0.9086311111111112,0.35913584053887265
train,yN,50000,0.04553617574220203,0.018415678901672363,-2.644470720214844,0.93644,0.13674063201904296
train,yF,50000,0.11774369008678162,0.06741980072021485,-1.6563194604492188,0.89982,0.38960383972167967
train,yT,50000,0.19502021762992633,0.10935937118530273,-1.1264618115234375,0.85932,0.5695898315429687
train,sigma_N,50000,0.05286351197257995,0.010948922004699707,-2.4980680493164065,0.9629,0.15646657501220704
train,sigma_F,50000,0.03744501600938043,0.016813701152801515,-2.805063759765625,0.9036,0.12425870956420898
train,sigma_T,50000,0.05769523706347287,0.027418987312316893,-2.37621384765625,0.87814,0.17614796417236328
train,delta_yN,50000,0.0750646445986776,0.031136108283996582,-2.144995990753174,0.93416,0.232794013671875
train,delta_yF,50000,0.17545061156632946,0.10081290328979492,-1.2616140539550782,0.90554,0.5795840521240234
train,delta_yT,50000,0.2528331649501427,0.16275663482666017,-0.8754090539550782,0.89776,0.8670369470214844
validation,all,7079,0.13894311305652238,0.08226653184666366,-1.2463796503364866,0.8449875217780289,0.378900454218017
validation,yN,7079,0.09163813509471425,0.05388562196660705,-1.0530722281710208,0.7621132928379715,0.14897553236037597
validation,yF,7079,0.12065981310126553,0.07357895753194693,-1.6137568224182,0.896878090125724,0.41064869136624393
validation,yT,7079,0.1997732609424786,0.12106949199574667,-1.098331542485918,0.845317135188586,0.598461967518916
validation,sigma_N,7079,0.11939878093424948,0.052417520716258034,-0.3033226456138976,0.8484249187738381,0.1701619869942954
validation,sigma_F,7079,0.049685536571116455,0.022243881548911035,-2.5107594315051562,0.8917926260771295,0.13777077765531467
validation,sigma_T,7079,0.07981834580011898,0.042010034506461395,-1.895579271657367,0.8063285774826953,0.19161647597785925
validation,delta_yN,7079,0.14846588409522266,0.08935886150801446,-0.6868587859792719,0.7587229834722419,0.2512190089014934
validation,delta_yF,7079,0.18160619602769937,0.11246282257153366,-1.2110043722519954,0.8978669303573951,0.6063759140012492
validation,delta_yT,7079,0.25944206494183597,0.17337159427449367,-0.844731752945552,0.8974431416866789,0.8948737331864052
test,all,7582,0.13428252855560047,0.07955348119565493,-1.2140632400640152,0.8528092851490372,0.3827493646862589
test,yN,7582,0.09246532065623127,0.05667324866131597,-1.023105018593585,0.7439989448694276,0.15143362219872622
test,yF,7582,0.11763406158872454,0.07051435594853044,-1.6355887221585663,0.9034555526246373,0.41375252641432836
test,yT,7582,0.18739814510770514,0.11102822801111494,-1.1681658946816886,0.8793194407807966,0.6043942591597492
test,sigma_N,7582,0.13817236925127035,0.06343081128908569,0.558978773804838,0.8322342389870746,0.17274463223895306
test,sigma_F,7582,0.03950932524086219,0.0202522489144726,-2.7042415038289698,0.8873648113954102,0.13993649494047375
test,sigma_T,7582,0.07016274925594089,0.03643400855883229,-2.0924294123829466,0.8551833289369559,0.19424810789405625
test,delta_yN,7582,0.14762381552187337,0.0916305215966887,-0.7090111010246307,0.7439989448694276,0.25485922195325894
test,delta_yF,7582,0.17426681096865654,0.10602449534342491,-1.2487882162832202,0.9125560538116592,0.6116250012236011
test,delta_yT,7582,0.24131015940913997,0.1599934124374289,-0.904218065427369,0.9171722500659457,0.9017504161531835
