target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
delta_yF,0.0,7079,0.1263716161916242,0.2086545518192466,balanced,1.1363071962823406
delta_yF,0.1,7079,0.12471808638170558,0.20579191581718478,balanced,1.1210743060915265
delta_yF,0.2,7079,0.12314818353029205,0.2029605270772293,balanced,1.106299244475178
delta_yF,0.35,7079,0.12090390428073461,0.19877493458179532,balanced,1.084797555734947
delta_yF,0.5,7079,0.11878154876963333,0.19466736265267326,balanced,1.0640527365055608
delta_yF,0.65,7079,0.11676362510925802,0.19064285937317718,balanced,1.0440009177853287
delta_yF,0.8,7079,0.11484875701244714,0.18670679073348448,balanced,1.0246507544174361
delta_yF,0.9,7079,0.11362920923579259,0.18413468636209063,balanced,1.0121472057997225
delta_yF,1.0,7079,0.11246280424977817,0.18160619454406285,balanced,1.0
delta_yN,0.0,7079,0.09300383411401543,0.15875524748196743,balanced,1.0550476674401632
delta_yN,0.1,7079,0.09260264155655565,0.15767912945369006,balanced,1.0491787011512046
delta_yN,0.2,7079,0.09220894313596167,0.1566129372639829,balanced,1.0433850957040982
delta_yN,0.35,7079,0.0916340258485568,0.15503269852320165,balanced,1.0348463004581068
delta_yN,0.5,7079,0.09107735271860708,0.1534759554332754,balanced,1.0264887170175832
delta_yN,0.65,7079,0.09053863652565163,0.15194341776016015,balanced,1.018313128598434
delta_yN,0.8,7079,0.09001768058025664,0.15043583153921286,balanced,1.0103209471227088
delta_yN,0.9,7079,0.089684286062319,0.149445011494992,balanced,1.0051186038132238
delta_yN,1.0,7079,0.08935884426400931,0.1484658432619603,balanced,1.0
delta_yT,0.0,7079,0.20399671032664837,0.32936052738207194,balanced,1.2230699459103638
delta_yT,0.1,7079,0.20000338025611072,0.3215771836822086,balanced,1.1965531087695591
delta_yT,0.2,7079,0.19636330656419956,0.3139369964235074,balanced,1.171330948485991
delta_yT,0.35,7079,0.19134123578956022,0.3027688281193316,balanced,1.1353239685551229
delta_yT,0.5,7079,0.18667918966557115,0.29198685599710295,balanced,1.1010995742561434
delta_yT,0.65,7079,0.18233341368464936,0.28163542681962106,balanced,1.0686170441424492
