split,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,all,50000,0.13293850065644003,0.06920356842041016,-0.9983475294325087,0.9804377777777779,1.1199140805392793
train,yN,50000,0.064106970485117,0.02344753625869751,-1.19150568359375,0.99904,1.0244789672851562
train,yF,50000,0.13709159769734325,0.07388369857788087,-1.0223325610351564,0.98974,1.1116999084472656
train,yT,50000,0.1958988674596478,0.0995408430480957,-0.9431182409667969,0.96758,1.111499588623047
train,sigma_N,50000,0.06434135420694195,0.018257228050231934,-1.0822053491210937,0.99836,1.1265353393554687
train,sigma_F,50000,0.04252718178255814,0.01827860876083374,-1.0667133361816405,0.99998,1.1498220288085939
train,sigma_T,50000,0.07296933538622757,0.03375910621643066,-1.0214033740234374,0.99976,1.1895776135253906
train,delta_yN,50000,0.10923093605002934,0.042741581687927244,-1.0691164892578124,0.99256,1.1079133068847655
train,delta_yF,50000,0.22685517094658672,0.13515234130859374,-0.8506252966308594,0.956,1.135602626953125
train,delta_yT,50000,0.2834250918935085,0.177771171875,-0.7381074340820313,0.92092,1.122097344970703
validation,all,20000,0.14998390427790476,0.08548870135943096,-0.9369708889431424,0.9777055555555556,1.1751327928331163
validation,yN,20000,0.08632293340339804,0.044252057075500485,-1.1275472351074218,0.99775,1.0811681884765625
validation,yF,20000,0.1392937516628773,0.07727716102600098,-0.9816123779296875,0.9899,1.1619640197753907
validation,yT,20000,0.2082195697180311,0.1169923713684082,-0.88293583984375,0.96645,1.1644415588378907
validation,sigma_N,20000,0.09909148697688556,0.040356632232666015,-1.0149031005859375,0.9952,1.1854904907226562
validation,sigma_F,20000,0.04677539265491778,0.020435525369644165,-1.0249163635253906,1.0,1.2029735961914063
validation,sigma_T,20000,0.08585467005465387,0.04460732707977295,-0.9712380004882812,0.99975,1.2466212219238282
validation,delta_yN,20000,0.14685205126100284,0.07975648002624512,-0.9839316467285156,0.9882,1.1651172485351562
validation,delta_yF,20000,0.23491493065138352,0.14269805755615234,-0.7951801940917969,0.94905,1.1873307861328124
validation,delta_yT,20000,0.30253035211799284,0.2030227005004883,-0.6504732421875,0.91305,1.1810880249023437
test,all,20000,0.15501984117126688,0.0894313044865926,-0.9398378699408637,0.9759611111111111,1.1535275885687932
test,yN,20000,0.09354245877231454,0.04978587875366211,-1.1373734436035157,0.99695,1.0529004760742187
test,yF,20000,0.1410456661444286,0.07787457809448242,-0.9944888916015625,0.98805,1.1348357788085937
test,yT,20000,0.20671787253126553,0.11699547653198242,-0.888356982421875,0.9682,1.151319696044922
test,sigma_N,20000,0.11176628744664202,0.048146953773498535,-1.012761212158203,0.99525,1.1713805114746094
test,sigma_F,20000,0.04908807422067973,0.021406218719482423,-1.0336969482421876,1.0,1.1866212768554687
test,sigma_T,20000,0.08372908715437884,0.04411043891906738,-0.9905877014160156,0.9999,1.217795135498047
test,delta_yN,20000,0.16060865920250886,0.09090156784057617,-0.9757199340820313,0.98425,1.140360516357422
test,delta_yF,20000,0.2385172365385929,0.14503777770996093,-0.7978905212402344,0.9482,1.163969384765625
test,delta_yT,20000,0.31016322853059086,0.2106228500366211,-0.6276651947021484,0.90285,1.1625655212402344
