target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
delta_yF,0.0,20000,0.14167491149902345,0.23837025205287515,balanced,1.0155867107522107
delta_yF,0.1,20000,0.1418866279602051,0.23650934103327947,balanced,1.0123088148821375
delta_yF,0.2,20000,0.14269796447753907,0.23491491725451122,balanced,1.0117235047300537
delta_yF,0.35,20000,0.14460630493164064,0.2330346625335127,balanced,1.0143915052964985
delta_yF,0.5,20000,0.14720084228515626,0.23178098762356433,balanced,1.0208365070536316
delta_yF,0.65,20000,0.15029761428833008,0.23116407684859352,balanced,1.030431297602632
delta_yF,0.8,20000,0.15386538543701173,0.2311890388761374,balanced,1.0430766902766442
delta_yF,0.9,20000,0.1564809326171875,0.23156238138913968,balanced,1.0531150231430926
delta_yF,1.0,20000,0.15926770324707032,0.23221964761177827,balanced,1.0643717561818535
delta_yN,0.0,20000,0.07975651779174806,0.14685205775511911,balanced,1.0009243714577234
delta_yN,0.1,20000,0.08202013893127441,0.14658106704587942,balanced,1.0141908222813645
delta_yN,0.2,20000,0.08453769264221192,0.14660772670976746,balanced,1.0300645064900327
delta_yN,0.35,20000,0.08870156593322755,0.147204960072956,balanced,1.0582053735689
delta_yN,0.5,20000,0.09326226882934571,0.14846304840271815,balanced,1.0910882275392253
delta_yN,0.65,20000,0.09816531295776368,0.15036540569542567,balanced,1.1283149002124113
delta_yN,0.8,20000,0.10338375473022461,0.152887982095634,balanced,1.1696344440524442
delta_yN,0.9,20000,0.10701896896362305,0.15489960988034399,balanced,1.1992857201163405
delta_yN,1.0,20000,0.11077309951782227,0.1571635355039134,balanced,1.2305431006717784
delta_yT,0.0,20000,0.20756412353515627,0.34021252777697136,balanced,1.073511943039759
delta_yT,0.1,20000,0.20636733245849612,0.3357194877615695,balanced,1.0631384612584762
delta_yT,0.2,20000,0.20543609619140626,0.33137177960281816,balanced,1.0536592388983297
delta_yT,0.35,20000,0.20441851654052737,0.32513539237749073,balanced,1.0408458812543313
delta_yT,0.5,20000,0.2037397445678711,0.3192589607624187,balanced,1.0294619203705708
delta_yT,0.65,20000,0.20330519256591797,0.313762714994629,balanced,1.0193078203164796
delta_yT,0.8,20000,0.20306637115478515,0.30866696372405794,balanced,1.0102977156483859
delta_yT,0.9,20000,0.2030031951904297,0.3055022503759035,balanced,1.0049117062315671
delta_yT,1.0,20000,0.20302263946533203,0.30253036977101827,balanced,1.000047891548909
sigma_F,0.0,20000,0.020435526371002197,0.046775398739573495,balanced,1.0
sigma_F,0.1,20000,0.036895617866516114,0.05344165529302233,balanced,1.4739904091723974
sigma_F,0.2,20000,0.057923854446411134,0.0689480885927468,balanced,2.154246519261705
sigma_F,0.35,20000,0.09151392135620118,0.09953076468788054,balanced,3.303011060690082
sigma_F,0.5,20000,0.12709326553344727,0.1335135157169092,balanced,4.5367923282293265
sigma_F,0.65,20000,0.16345309906005862,0.1688558334214982,balanced,5.804202905032702
sigma_F,0.8,20000,0.20014776611328125,0.2048552704691516,balanced,7.086830117080428
sigma_F,0.9,20000,0.22471148529052734,0.22906723371457016,balanced,7.9466462833009555
sigma_F,1.0,20000,0.24931641082763673,0.25339233146450885,balanced,8.808679991227502
sigma_N,0.0,20000,0.040356623840332034,0.09909150129285244,balanced,1.0
sigma_N,0.1,20000,0.05240820941925049,0.10121842115583762,balanced,1.1600457003078017
sigma_N,0.2,20000,0.06850481300354004,0.10804647714537481,balanced,1.3939284997719745
sigma_N,0.35,20000,0.09604955749511719,0.1252902814617066,balanced,1.8222047115794355
sigma_N,0.5,20000,0.12542477798461915,0.14824855978718104,balanced,2.301994008297208
