split,target,rows,rmse,mae
train,all,50000,0.13738878420591666,0.06844279825909566
train,yN,50000,0.06410696867445723,0.023447535877227782
train,yF,50000,0.1370916089125517,0.07388369039207697
train,yT,50000,0.19834965152729697,0.09770885374873876
train,sigma_N,50000,0.06434135727142962,0.018257230808874286
train,sigma_F,50000,0.04252718878781509,0.01827861435613313
train,sigma_T,50000,0.07296933363827729,0.03375911526766793
train,delta_yN,50000,0.10923093589884396,0.042741595909893515
train,delta_yF,50000,0.23029339825852163,0.13336237840861082
train,delta_yT,50000,0.31758861488405654,0.1745461695626378
validation,all,20000,0.1548431251441629,0.08573908366293634
validation,yN,20000,0.08632292844558674,0.04425206560492516
validation,yF,20000,0.13929375165189872,0.07727715088576079
validation,yT,20000,0.21081504927997688,0.11572747796997428
validation,sigma_N,20000,0.09909150316961803,0.04035662374633785
validation,sigma_F,20000,0.04677539885653948,0.020435526761472943
validation,sigma_T,20000,0.08585466011445708,0.044607353288521584
validation,delta_yN,20000,0.14685205932354628,0.07975651793256402
validation,delta_yF,20000,0.23837025208094617,0.1416749140009284
validation,delta_yT,20000,0.34021252337489655,0.20756412277594208
test,all,20000,0.1602512180012054,0.08985026933544565
test,yN,20000,0.09354245549669542,0.049785893383622166
test,yF,20000,0.14104565857529983,0.07787456675544381
test,yT,20000,0.20962436734412473,0.11593363234773278
test,sigma_N,20000,0.11176628379574163,0.04814695638866519
test,sigma_F,20000,0.04908808161567347,0.021406220018770253
test,sigma_T,20000,0.0837290767173266,0.04411045580457967
test,delta_yN,20000,0.16060867919357277,0.0909015991024673
test,delta_yF,20000,0.2420286939195877,0.14411562083140014
test,delta_yT,20000,0.35082766535282667,0.21637747938632965
