split,horizon_months,target,rows,rmse,mae
train,1,all,56,0.009522081964693467,0.00745131551761121
train,1,yN,56,0.012961961160931778,0.010629056287663323
train,1,yF,56,0.006279569189058445,0.004364161619118282
train,1,yT,56,0.02118667496373666,0.016132406890392303
train,1,sigma_N,56,0.0013085879259741688,0.001083542193685259
train,1,sigma_F,56,0.0015391852168835831,0.0014074656314083508
train,1,sigma_T,56,0.0010609055163244244,0.0008181207148092133
train,1,delta_yN,56,0.012961963077292337,0.010629058283354555
train,1,delta_yF,56,0.006279568128058648,0.004364159656688571
train,1,delta_yT,56,0.022120322503981157,0.017633868381381035
train,2,all,48,0.017407217780744874,0.013869103669464863
train,2,yN,48,0.023854431719708052,0.01875004234413306
train,2,yF,48,0.01252475918334509,0.008694397906462351
train,2,yT,48,0.03682912052419681,0.030063454061746597
train,2,sigma_N,48,0.002614856701252516,0.002166247616211573
train,2,sigma_F,48,0.003075642759633715,0.002813844010233879
train,2,sigma_T,48,0.0021199307449076828,0.0016356096602976322
train,2,delta_yN,48,0.023854435668761362,0.018750045409736533
train,2,delta_yF,48,0.012524755687427142,0.008694394414002696
train,2,delta_yT,48,0.03926702703747152,0.03325389760235945
train,3,all,40,0.02501820082175567,0.02011072054091427
train,3,yN,40,0.034489498077407456,0.02677147313952446
train,3,yF,40,0.018716600604127626,0.012983087450265884
train,3,yT,40,0.05125428283154274,0.04329308122396469
train,3,sigma_N,40,0.003919714997482033,0.0032486189156770706
train,3,sigma_F,40,0.004610440230631794,0.004219787567853928
train,3,sigma_T,40,0.003177811920260161,0.002452845685184002
train,3,delta_yN,40,0.034489503044727705,0.026771479425951837
train,3,delta_yF,40,0.01871659280315728,0.012983081536367536
train,3,delta_yT,40,0.055789362886464244,0.04827302992343903
train,0,all,144,0.017615212318506636,0.013107079630257722
train,0,yN,144,0.02419586503257354,0.01782005632089244
train,0,yF,144,0.012842646341341891,0.008201719779107306
train,0,yT,144,0.036829516111799174,0.0283207210401694
train,0,sigma_N,144,0.0026856873549736516,0.0020458542017473113
train,0,sigma_F,144,0.0031589546779624508,0.002657458962251743
train,0,sigma_T,144,0.002177354725144202,0.001544707299520572
train,0,delta_yN,144,0.0241958686964112,0.017820059865092237
train,0,delta_yF,144,0.01284264184508203,0.008201716209037436
train,0,delta_yT,144,0.039608376081271573,0.03135142299450106
validation,1,all,56,0.011091129013011158,0.00934507136809684
validation,1,yN,56,0.01609576394430727,0.01406848430633545
validation,1,yF,56,0.0102203691542867,0.009126811687435423
validation,1,yT,56,0.02151786882107571,0.0170120256287711
validation,1,sigma_N,56,0.0010964328293756591,0.000990273297897407
validation,1,sigma_F,56,0.0013552135088172152,0.0011945768658603942
validation,1,sigma_T,56,0.0017005076032604051,0.0015061453783086368
validation,1,delta_yN,56,0.01609576518902601,0.014068485270919544
validation,1,delta_yF,56,0.010220366838382353,0.009126809458913547
validation,1,delta_yT,56,0.021517873228569087,0.017012030418430055
validation,2,all,48,0.020846261862464646,0.017982495038908114
validation,2,yN,48,0.03140915896218743,0.027304695298274357
validation,2,yF,48,0.020359341059598312,0.018239337330063183
validation,2,yT,48,0.03789119966022245,0.03168761978546778
validation,2,sigma_N,48,0.0021909224076287603,0.0019797817803919315
validation,2,sigma_F,48,0.002708025868454835,0.002388231766720613
validation,2,sigma_T,48,0.0033980017686369296,0.003011127933859825
validation,2,delta_yN,48,0.0314091618065027,0.02730470065337916
validation,2,delta_yF,48,0.020359336221934178,0.018239332013763487
validation,2,delta_yT,48,0.037891209007016195,0.031687628788252674
validation,3,all,40,0.030379029624249487,0.026713783226700292
validation,3,yN,40,0.04646223847043486,0.041031578183174135
validation,3,yF,40,0.03039814040401073,0.02730770632624626
validation,3,yT,40,0.05362661285448095,0.046339656412601474
validation,3,sigma_N,40,0.0032842298006221624,0.002968984469771385
validation,3,sigma_F,40,0.0040593762022237655,0.0035815173760056496
validation,3,sigma_T,40,0.005093662010478761,0.00451564509421587
validation,3,delta_yN,40,0.04646224334125439,0.04103158740326762
validation,3,delta_yF,40,0.030398135238437388,0.0273077002260834
validation,3,delta_yT,40,0.0536266282963024,0.046339673548936845
validation,0,all,144,0.021197239405922663,0.017048854774646002
validation,0,yN,144,0.03208186138384947,0.02597030293610361
validation,0,yF,144,0.020867895237987637,0.017214568745758798
validation,0,yT,144,0.038176968661728,0.03005045445428954
validation,0,sigma_N,144,0.0022502694596586185,0.0018697514509161313
validation,0,sigma_F,144,0.002781379813076309,0.0022555008634097045
validation,0,sigma_T,144,0.0034900457038089536,0.002843778373466598
validation,0,delta_yN,144,0.03208186451440711,0.02597030765739166
validation,0,delta_yF,144,0.02086789113345076,0.01721456441252182
validation,0,delta_yT,144,0.03817697874533713,0.030050464077956147
test,1,all,56,0.01123700254035037,0.009279421823550134
test,1,yN,56,0.015258268291927175,0.013512028115136283
test,1,yF,56,0.010595212542522443,0.008786685764789581
test,1,yT,56,0.0227655194708912,0.017847102667604173
test,1,sigma_N,56,0.0013639596545493061,0.0012620446671332633
test,1,sigma_F,56,0.001084555652455131,0.0007594930274145943
test,1,sigma_T,56,0.001446506672861654,0.0012016255142433302
test,1,delta_yN,56,0.015258267457471499,0.013512026618367859
test,1,delta_yF,56,0.010595210286014834,0.008786684708736305
test,1,delta_yT,56,0.022765522834460098,0.017847105328525816
test,2,all,48,0.02116535940552192,0.017744099663104862
test,2,yN,48,0.029611772109255436,0.02592030291755994
test,2,yF,48,0.021116055768607277,0.017562972692151863
test,2,yT,48,0.04062471625625739,0.03314325213432312
test,2,sigma_N,48,0.0027255025395553838,0.0025231152152021727
test,2,sigma_F,48,0.002167189139595042,0.0015183996098736923
test,2,sigma_T,48,0.0028904499916033648,0.0024023231429358325
test,2,delta_yN,48,0.029611771774268224,0.025920301753406722
test,2,delta_yF,48,0.021116053766232375,0.01756297271155442
test,2,delta_yT,48,0.04062472330432278,0.03314325679093599
test,3,all,40,0.030879640062229128,0.0263823808507166
test,3,yN,40,0.0437071319346976,0.03946588560938835
test,3,yF,40,0.031547344438257297,0.026306264474987982
test,3,yT,40,0.0578703698348294,0.04811680018901825
test,3,sigma_N,40,0.004085574407152126,0.0037837957963347433
test,3,sigma_F,40,0.003248652945564635,0.00227707140147686
test,3,sigma_T,40,0.004332833254398305,0.00360264927148819
test,3,delta_yN,40,0.043707134166009444,0.0394658871460706
test,3,delta_yF,40,0.031547340609520996,0.02630626445170492
test,3,delta_yT,40,0.057870378969632354,0.04811680931597948
test,0,all,144,0.021529446388173896,0.016851803055392394
test,0,yN,144,0.030223622524780176,0.02485752457545863
test,0,yF,144,0.021650392958476896,0.016578664382298786
test,0,yT,144,0.04101150657435117,0.0313540684680144
test,0,sigma_N,144,0.0027993300519478185,0.0023828879412677553
test,0,sigma_F,144,0.0022258931933446867,0.001434011436584923
test,0,sigma_T,144,0.00296874550627301,0.0022688091008199584
test,0,delta_yN,144,0.030223623147871505,0.02485752403218713
test,0,delta_yF,144,0.021650390328339583,0.016578663971611403
test,0,delta_yT,144,0.04101151320818021,0.03135407359028856
