target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
delta_yF,0.0,304,0.005699684108166318,0.00726525073190609,balanced,1.0
delta_yF,0.1,304,0.006591294058843663,0.008093042858342238,balanced,1.135185008363071
delta_yF,0.2,304,0.007799348450805011,0.009081039654723911,balanced,1.3091552449322896
delta_yF,0.35,304,0.009773896320870048,0.010765420913211988,balanced,1.5982911784832492
delta_yF,0.5,304,0.01175937752582525,0.01260538845396917,balanced,1.8990937941954105
delta_yF,0.65,304,0.013745389878749847,0.014542003923100372,balanced,2.2065943872763025
delta_yF,0.8,304,0.01573140291791213,0.016541356995520128,balanced,2.5184126894311403
delta_yF,0.9,304,0.017055411479975045,0.017898759486924126,balanced,2.72797768492438
delta_yF,1.0,304,0.01837941925776632,0.019270941599256425,balanced,2.938559756206287
delta_yN,0.0,304,0.016935210086797412,0.019718441377391913,balanced,4.190581310442712
delta_yN,0.1,304,0.015473647337210805,0.018037791673633823,balanced,3.8310329753008703
delta_yN,0.2,304,0.014012189091820466,0.016368347274104068,balanced,3.4726192523277524
delta_yN,0.35,304,0.011826234428506149,0.01389402565621076,balanced,2.9388005284471825
delta_yN,0.5,304,0.009670282665051912,0.011476100261969293,balanced,2.414552960613179
delta_yN,0.65,304,0.007565346399420186,0.009159345557780245,balanced,1.907107639703289
delta_yN,0.8,304,0.005638495283691506,0.00704429452159267,balanced,1.44316400366026
delta_yN,0.9,304,0.004583998044070444,0.005856133165986685,balanced,1.186196137300453
delta_yN,1.0,304,0.0038176022077861583,0.004998239869674422,balanced,1.0
delta_yT,0.0,304,0.021531695598050165,0.02897110141273179,balanced,2.6616813183563393
delta_yT,0.1,304,0.01936572358796471,0.026127505731087956,balanced,2.3973367229101417
delta_yT,0.2,304,0.017293404591710942,0.023341350542483968,balanced,2.1412675597417548
delta_yT,0.35,304,0.014530450105667114,0.01932410882107046,balanced,1.78529111080047
delta_yT,0.5,304,0.01216828117245122,0.015634483083851118,balanced,1.468667856607119
delta_yT,0.65,304,0.01017199535118906,0.0125644741713348,balanced,1.2034042631833395
delta_yT,0.8,304,0.008843460071243738,0.010663402982652304,balanced,1.033709158840355
delta_yT,0.9,304,0.00849895257698862,0.010384243072621558,balanced,1.0
delta_yT,1.0,304,0.008969925343990326,0.010991230715705066,balanced,1.056934073522001
sigma_F,0.0,304,0.0010289314055913373,0.001275075569202106,balanced,1.0
sigma_F,0.1,304,0.0013501041715866641,0.0016885848466557016,balanced,1.318221919048469
sigma_F,0.2,304,0.0018682628870010376,0.002356306930206593,balanced,1.8318527838952983
sigma_F,0.35,304,0.002762961495471628,0.0035170688645719222,balanced,2.7217973389526993
sigma_F,0.5,304,0.003736140598592005,0.004744146427914348,balanced,3.6758833751239033
sigma_F,0.65,304,0.004746493148176293,0.005996968089967971,balanced,4.658128641273931
sigma_F,0.8,304,0.005767486793430227,0.007262223423622285,balanced,5.650420513215212
sigma_F,0.9,304,0.006449256092309952,0.008109763447857217,balanced,6.314069135773291
sigma_F,1.0,304,0.007131024999053854,0.008959463975014124,balanced,6.978564773610456
sigma_N,0.0,304,0.0010648023484176711,0.001212962783019243,balanced,1.0
sigma_N,0.1,304,0.002085462286088027,0.0024320986140839045,balanced,1.981816632229207
sigma_N,0.2,304,0.004004983574544129,0.004313043289289177,balanced,3.6585189711474966
sigma_N,0.35,304,0.0069435788808684595,0.00728626151112479,balanced,6.2639988562520745
sigma_N,0.5,304,0.009882173844073947,0.010301676514428267,balanced,8.886872675942673
sigma_N,0.65,304,0.01282076890531339,0.013330684561749068,balanced,11.515349782016983
sigma_N,0.8,304,0.015759364162620745,0.016365741185881553,balanced,14.146320287000915
sigma_N,0.9,304,0.017718429236035598,0.01839099244839085,balanced,15.901076396243097
sigma_N,1.0,304,0.01967749058416015,0.02041722662188435,balanced,17.65623592567149
sigma_T,0.0,304,0.0010603840805982288,0.0012885194366969283,balanced,1.0
sigma_T,0.1,304,0.0015941781334971126,0.0019852520228217734,balanced,1.5220601375653908
sigma_T,0.2,304,0.00249085212616544,0.0031200935424672725,balanced,2.3852328414524244
sigma_T,0.35,304,0.003963771031091088,0.0050012140606135215,balanced,3.8097085223534677
sigma_T,0.5,304,0.005494517715353715,0.006942126432074428,balanced,5.284653343748939
sigma_T,0.65,304,0.007042557785385533,0.008903816873796691,balanced,6.775815237386162
sigma_T,0.8,304,0.008600953182107523,0.0108750454444442,balanced,8.275561146990045
sigma_T,0.9,304,0.009641422841109727,0.012192212634529893,balanced,9.277287493438038
sigma_T,1.0,304,0.010683831415678325,0.01351097057798829,balanced,10.280545370971215
yF,0.0,304,0.005699684108166318,0.007265251548897757,balanced,1.3325241743681446
yF,0.1,304,0.005132064517391355,0.006590423080063269,balanced,1.204305713760155
yF,0.2,304,0.004686102663215837,0.006035590445385663,balanced,1.1012992873915237
yF,0.35,304,0.004295181188928453,0.005506094571755418,balanced,1.0070332419313166
yF,0.5,304,0.004315054485280263,0.005429717537633639,balanced,1.002313440979281
yF,0.65,304,0.004757418885434929,0.005824310552028892,balanced,1.0901452923642507
yF,0.8,304,0.00544115204952265,0.006606010967867889,balanced,1.241721869869663
yF,0.9,304,0.005970384533468045,0.007283431547391266,balanced,1.365710402265524
yF,1.0,304,0.006582801573370632,0.008049985065957882,balanced,1.5075902891841815
yN,0.0,304,0.016935212047476517,0.019718442309583552,balanced,2.9186098968727237
yN,0.1,304,0.01564759388566017,0.018177835652457,balanced,2.6937370947474677
yN,0.2,304,0.014368937791962372,0.01665730444704365,balanced,2.471099693454092
yN,0.35,304,0.012461249961664802,0.014428024545742013,balanced,2.141750834291691
yN,0.5,304,0.010601753074871866,0.012290432642332464,balanced,1.8232567969290705
yN,0.65,304,0.00880746935543261,0.01030175885249128,balanced,1.521232175487747
yN,0.8,304,0.007144962094332042,0.00856635544434186,balanced,1.2490726271118018
yN,0.9,304,0.006231473072579032,0.007636923638639115,balanced,1.1012584717729985
yN,1.0,304,0.005624444469025261,0.0069769713061145445,balanced,1.0
yT,0.0,304,0.013518426567316055,0.02219240321839321,balanced,2.381758395652253
yT,0.1,304,0.012322668378290377,0.020292155122709484,balanced,2.174439618913985
yT,0.2,304,0.01121720495192628,0.018438482813854965,balanced,1.9775915439044
yT,0.35,304,0.00969445156423669,0.015781123846529115,balanced,1.7008759218466691
yT,0.5,304,0.008271391454495881,0.013349853736844533,balanced,1.4450644062370444
yT,0.65,304,0.007006877150974775,0.011291679886956453,balanced,1.2232216995180885
yT,0.8,304,0.006142574705575642,0.009843474972882623,balanced,1.0693746406819407
yT,0.9,304,0.005793413049296328,0.0093626999767804,balanced,1.0128013048400444
yT,1.0,304,0.005658151091713654,0.009346839061695018,balanced,1.0
